"","X","Name","ID","group","num_detections_mean","num23_mean","area_mean","FOSmm2"
"75",75,"MnPO",NA,"A1",641.666666666667,8,304038.566666667,26.3124513699303
"76",76,"MnPO",NA,"A1",784.5,9,313409.55,28.7164191391105
"77",77,"MnPO",NA,"ENT",597.333333333333,6.66666666666667,302046.033333333,22.071690838295
"78",78,"MnPO",NA,"ENT",745.666666666667,17,318047.166666667,53.4511914637399
"79",79,"MnPO",NA,"IBE2",698,8,299047.3,26.7516208974299
"80",80,"OVLT",NA,"T40",187.666666666667,0.333333333333333,51372.9,6.48850528845623
"81",81,"OVLT",NA,"IBE1",219,0,53627.2,0
"82",82,"OVLT",NA,"T40",370.333333333333,1.66666666666667,88042.3,18.9302944910193
"83",83,"OVLT",NA,"IBE2",283.333333333333,0,73949.6333333333,0
"84",84,"OVLT",NA,"ENT",258,0.5,58211.25,8.58940496897077
"85",85,"OVLT",NA,"A2",302.5,0.5,78353.525,6.38133383277906
"86",86,"OVLT",NA,"T40",243,0,43480.4,0
"87",87,"OVLT",NA,"IBE2",356.5,0,104892,0
"88",88,"OVLT",NA,"A2",208.5,0,70937.05,0
"89",89,"OVLT",NA,"ENT",316.5,0,99023.5,0
"90",90,"OVLT",NA,"IBE2",256.666666666667,0,63462.0666666667,0
"91",91,"OVLT",NA,"IBE1",243,2.33333333333333,64850.4666666667,35.980208829132
"92",92,"OVLT",NA,"A1",262,0,52419.5,0
"93",93,"OVLT",NA,"A1",309.333333333333,0.666666666666667,81395.9666666667,8.19041402133357
"94",94,"OVLT",NA,"A1",372,2,89460.8,22.3561604635773
"95",95,"OVLT",NA,"IBE1",381,1,83025.8,12.0444488339769
"96",96,"OVLT",NA,"A2",390.666666666667,0.333333333333333,102717.9,3.24513384067755
"97",97,"OVLT",NA,"A2",277,0.5,81268.2,6.15246800101393
"98",98,"OVLT",NA,"st64",278.333333333333,2.66666666666667,65348.4333333333,40.8068951410721
"99",99,"OVLT",NA,"T40",323,6,87480.8,68.5864784044042
"100",100,"OVLT",NA,"A1",238.333333333333,4,57649.3,69.3850575809247
"101",101,"OVLT",NA,"A1",356.5,1,76506.95,13.0707079552903
"102",102,"OVLT",NA,"ENT",308,0,69091.8,0
"103",103,"OVLT",NA,"ENT",450.5,2,101706.8,19.6643685574613
"104",104,"OVLT",NA,"ENT",172,0,47255.05,0
"105",105,"OVLT",NA,"IBE2",143,0,35242.4,0
"106",106,"ARC",NA,"T40",246,3.5,105276.8,33.2456913584
"107",107,"ARC",NA,"IBE1",280,0.5,95227.45,5.250586884349
"108",108,"ARC",NA,"ENT",211.2,2,109080.9,18.335015571012
"109",109,"ARC",NA,"IBE2",238.666666666667,0.666666666666667,106214.1,6.27663056662596
"110",110,"ARC",NA,"IBE2",174.666666666667,1.66666666666667,105711.2,15.7662259691184
"111",111,"ARC",NA,"ENT",224.333333333333,1.33333333333333,104561.866666667,12.751621368657
"112",112,"ARC",NA,"T40",330,2.66666666666667,104631.566666667,25.4862538297078
"113",113,"ARC",NA,"A1",335,5.66666666666667,104450.9,54.2519659157238
"114",114,"ARC",NA,"IBE2",246,1,104553.5,9.56448134208802
"115",115,"ARC",NA,"IBE1",189.333333333333,0,104654.266666667,0
"116",116,"ARC",NA,"ENT",182.333333333333,0,101490.766666667,0
"117",117,"ARC",NA,"A2",196,1,112434,8.89410676485761
"118",118,"ARC",NA,"A1",210,2.33333333333333,105078.233333333,22.2056772303303
"119",119,"ARC",NA,"A1",246.666666666667,2.33333333333333,102041.033333333,22.8666180369923
"120",120,"ARC",NA,"ENT",254,2,105390.1,18.97711454871
"121",121,"ARC",NA,"IBE1",287.666666666667,0.333333333333333,102864.833333333,3.24049845347212
"122",122,"ARC",NA,"IBE1",258,0,101941.433333333,0
"123",123,"ARC",NA,"T40",255,3.66666666666667,101709.233333333,36.0504798482735
"124",124,"ARC",NA,"A2",173.333333333333,0.333333333333333,102798.3,3.24259577574078
"125",125,"ARC",NA,"A1",283.333333333333,1,105715.566666667,9.45934483947016
"126",126,"ARC",NA,"A2",242,2.25,104262.45,21.5801566143899
"127",127,"ARC",NA,"T40",329.333333333333,3.33333333333333,99204.8666666667,33.6005021259037
"128",128,"ARC",NA,"A1",277.333333333333,3.66666666666667,106792.9,34.334367422054
"129",129,"ARC",NA,"A1",200.333333333333,4.33333333333333,104567.166666667,41.440668916151
"130",130,"ARC",NA,"IBE1",290,1.66666666666667,102427.6,16.2716559468998
"131",131,"ARC",NA,"ENT",279.666666666667,1.66666666666667,102463.7,16.2659231187891
"132",132,"ARC",NA,"IBE1",214.666666666667,0,106952.966666667,0
"133",133,"ARC",NA,"ENT",217.5,0.5,106008.3,4.71661181247129
"134",134,"ATAN",NA,"T40",146.333333333333,0,20199.8666666667,0
"135",135,"ATAN",NA,"IBE1",130,19,20364.05,933.016762382728
"136",136,"ATAN",NA,"ENT",220.333333333333,0,27924.7333333333,0
"137",137,"ATAN",NA,"IBE2",159.666666666667,0,21072.0666666667,0
"138",138,"ATAN",NA,"IBE2",147.666666666667,0,20569.2666666667,0
"139",139,"ATAN",NA,"ENT",122.666666666667,0,19060.4,0
"140",140,"ATAN",NA,"T40",181,0,23647,0
"141",141,"ATAN",NA,"A1",170.333333333333,0,24673.3333333333,0
"142",142,"ATAN",NA,"IBE2",153,0,24058.2,0
"143",143,"ATAN",NA,"IBE1",174.666666666667,0.333333333333333,24176.0666666667,13.7877404926635
"144",144,"ATAN",NA,"ENT",214.333333333333,0,33083.4,0
"145",145,"ATAN",NA,"A2",187,0,27561.8666666667,0
"146",146,"ATAN",NA,"A1",225.333333333333,0,35786.7666666667,0
"147",147,"ATAN",NA,"A1",86.6666666666667,0.666666666666667,12975.3,51.3796726601055
"148",148,"ATAN",NA,"ENT",175.333333333333,0,25891.5333333333,0
"149",149,"ATAN",NA,"IBE1",184.666666666667,43.6666666666667,24103.4666666667,1811.63428773731
"150",150,"ATAN",NA,"IBE1",159,19.6666666666667,25685.6666666667,765.666973798617
"151",151,"ATAN",NA,"T40",151.666666666667,0,20081,0
"152",152,"ATAN",NA,"A2",184,0.333333333333333,25883.6,12.8781673852684
"153",153,"ATAN",NA,"A1",145.666666666667,0,19164.4333333333,0
"154",154,"ATAN",NA,"A2",176,0,22132.75,0
"155",155,"ATAN",NA,"T40",131,0,16221.1333333333,0
"156",156,"ATAN",NA,"A1",195.666666666667,0,24679.8333333333,0
"157",157,"ATAN",NA,"A1",221.333333333333,0,31510.6666666667,0
"158",158,"ATAN",NA,"IBE1",121,13.3333333333333,17764.8333333333,750.546491664243
"159",159,"ATAN",NA,"ENT",147.5,0,20594.35,0
"160",160,"ATAN",NA,"IBE1",160.666666666667,1,23290.1333333333,42.9366369735969
"161",161,"ATAN",NA,"ENT",233,0,39984.5,0
"162",162,"BTAN",NA,"IBE1",212,0,34101.4,0
"163",163,"BTAN",NA,"A2",208,1,32459,30.8080963677254
"164",164,"DMH",NA,"T40",479,49.75,204280.225,243.538012551141
"165",165,"DMH",NA,"IBE1",515.5,14.5,206921.5,70.0748834703015
"166",166,"DMH",NA,"ENT",563.6,55,203458.72,270.325105751181
"167",167,"DMH",NA,"IBE2",569.666666666667,0.666666666666667,203872.066666667,3.27002456769457
