Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max
H254-39.vsi - 20x,2118c3df-90fd-4817-8fde-ef6b2dd0e234,FOS,FOS,DMH,Polygon,2526.1,8276.5,0.3421,,,
H254-39.vsi - 20x,2e24aff7-be31-4f1a-83bb-2140029d9a54,FOS,FOS,DMH,Polygon,2481.4,8292.3,0.3297,,,
H254-39.vsi - 20x,c7a8cb9b-d347-434a-88a2-f5768fc46091,FOS,FOS,DMH,Polygon,2510.4,8313.2,0.3219,,,
H254-39.vsi - 20x,4ec3fb76-0b93-43bb-9a60-5235caad363b,FOS,FOS,DMH,Polygon,2618.7,8314.8,0.3324,,,
H254-39.vsi - 20x,c332e47c-d911-428c-9889-76c8364560a7,FOS,FOS,DMH,Polygon,2772.5,8336.2,0.3705,,,
H254-39.vsi - 20x,89a6e7b9-d852-40e3-b96a-e89b5ce515dd,FOS,FOS,DMH,Polygon,2713.4,8362.4,0.3696,,,
H254-39.vsi - 20x,6550ff20-725b-4f21-ae83-11c98eeecdbe,FOS,FOS,DMH,Polygon,2724.3,8373.5,0.3518,,,
H254-39.vsi - 20x,a1926360-25c0-435b-b6ef-4fd8976e6b64,FOS,FOS,DMH,Polygon,2613.4,8386.3,0.3229,,,
H254-39.vsi - 20x,539c9679-8bad-41ca-a1a4-15d3c355dbf5,FOS,FOS,DMH,Polygon,2757.2,8395.6,0.3427,,,
H254-39.vsi - 20x,0ba08b7e-4e38-4041-b37a-24b7bd99ce44,FOS,FOS,DMH,Polygon,2596.5,8419.6,0.3626,,,
H254-39.vsi - 20x,3a62dc42-b7b2-4a8f-acf4-b374290cd72b,FOS,FOS,DMH,Polygon,2641.6,8439.8,0.3309,,,
H254-39.vsi - 20x,8448c379-3b30-45f9-b6cd-a102ed85a95a,FOS,FOS,DMH,Polygon,2657.5,8473.3,0.3634,,,
H254-39.vsi - 20x,911ddb8f-eb2b-4abc-8930-ee5af8352cc4,FOS,FOS,DMH,Polygon,2634.4,8481.5,0.3418,,,
H254-39.vsi - 20x,20125608-f094-44fb-b602-5a765c0a2530,FOS,FOS,DMH,Polygon,2662.7,8488.4,0.3487,,,
H254-39.vsi - 20x,bf31c32a-e5b4-4267-bfc6-6a3bf8cbdef9,FOS,FOS,DMH,Polygon,2763.9,8494.6,0.3482,,,
H254-39.vsi - 20x,cc4a1ac3-67e6-45e2-98c3-4ec2c593db3b,FOS,FOS,DMH,Polygon,2632.3,8513.4,0.3609,,,
H254-39.vsi - 20x,302adc11-c758-4565-8e7c-3923d550a7e8,FOS,FOS,ARC,Polygon,3252.6,8825.4,0.3396,,,
H254-39.vsi - 20x,b6664a05-b2de-4429-8809-a279285ca153,FOS,FOS,ARC,Polygon,2963.1,8881.4,0.3586,,,
H254-39.vsi - 20x,fc8ba629-6a1b-4046-b260-c93efdb944ad,FOS,FOS,ARC,Polygon,2937.3,8928.7,0.3395,,,
H254-39.vsi - 20x,6188f4ab-98f9-42e3-9e74-504bea3b5bce,FOS,FOS,ARC,Polygon,2517.6,9054.6,0.335,,,
H254-39.vsi - 20x,be1806c5-0763-4d0f-ab29-f9fc51f0ce88,FOS,FOS,PH,Polygon,2752,7060.6,0.3417,,,
