Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_17.vsi - 40x_01 #1,a5e9ab5f-ce6c-4482-ba5b-6853ba707e90,AVPE,,Image,Polygon,1157,1312.5,1392,62,10,11,1309,5.963,8.261,2,1,3,694822.2,4050.1
Image_17.vsi - 40x_01 #1,5e2735e9-1fee-42f8-9dc8-aa94b55c01b1,LPO,,Image,Rectangle,2053.9,495.19,953,12,7,0,934,1.994,2.728,2,1,3,606602.9,3115.7
Image_17.vsi - 40x_02 #3,a8a09cb8-7631-4f48-9dd1-fa75f6a89143,AVPE,,Image,Polygon,1325.5,1734.6,1650,111,37,63,1439,12.79,22.67,3,2,5,693721.9,4191.3
Image_17.vsi - 40x_02 #3,940ae37f-9c84-449c-baea-0c7e74e040c5,MnPO,,Image,Polygon,1317.9,907.88,768,32,12,13,711,7.422,12.37,2,1,3,297633.8,2664.9
Image_17.vsi - 40x_02 #3,ba336b67-4c63-4129-ab3a-ae440ba08320,OVLT,,Image,Polygon,1340.6,1810.5,212,6,0,0,206,2.83,2.83,2,1,3,45377.1,844.54
Image_17.vsi - 40x_02 #3,a3975b21-4128-49b8-bb40-4de883ae8a3b,LPO,,Image,Rectangle,396.42,881.65,1106,21,8,4,1073,2.984,4.43,2,1,3,606309.3,3116.8
Image_17.vsi - 40x_03 #5,158356e3-540b-4eea-bc8e-80f96950411d,OVLT,,Image,Polygon,1808.4,1659.4,454,10,2,2,440,3.084,4.405,2,1,3,87139.6,1530.7
Image_17.vsi - 40x_03 #5,4a6cf2b3-cd45-443c-bfd8-838175f959d3,AVPE,,Image,Polygon,1791.1,1530.5,1904,113,55,56,1680,11.76,20.54,3,2,5,709353.4,4714.4
Image_17.vsi - 40x_03 #5,a0472e48-8798-4b21-817e-e5daf85694a5,MnPO,,Image,Polygon,1783.6,681.51,835,40,19,48,728,12.81,26.59,3,2,5,287789.6,2841.8
Image_17.vsi - 40x_03 #5,9224f990-1f42-4ab6-913f-bb6f1b9f1138,LPO,,Image,Rectangle,752.57,636.58,1166,19,4,1,1142,2.058,2.573,2,1,3,605326.4,3123.6
Image_18.vsi - 40x_01 #1,871b08b8-ad0a-49b3-ba20-71ec0330bf68,AVPE_x05,,Image,Polygon,1116.8,1186.4,481,23,9,22,427,11.23,22.25,3,2,5,350353.9,2551
Image_18.vsi - 40x_01 #1,3b21e6c6-d13c-41dc-8daf-17bb8646a824,OVLT,,Image,Geometry,783.69,1443.4,348,0,0,2,346,0.5747,1.724,1,3,4,52419.5,3012.9
Image_18.vsi - 40x_01 #1,8badef19-4f4d-4068-941d-f6553aaa64d4,LPO,,Image,Rectangle,1723.1,433.42,345,7,7,8,323,6.377,13.04,2,2,4,603855.7,3116.7
Image_18.vsi - 40x_02 #3,ecc2bb50-d3b5-46bf-8308-b287554da516,AVPE_x05,,Image,Polygon,1004.2,1288.1,306,7,7,19,273,10.78,25.49,3,3,6,351670.5,2592.9
Image_18.vsi - 40x_02 #3,9aee4a89-2875-49eb-9819-977c6e276344,LPO,,Image,Rectangle,1615.9,638.68,510,14,5,13,478,6.275,12.35,2,2,4,605725.6,3120.6
