"","Name","Image","group","num_detections_mean","num1_mean","num2_mean","num3_mean","num_neg_mean","tot_num_pos_mean","num23_mean","fraq_pos_mean","area_mean","ID","numFOSmm2"
"1","AVPE","Image_01.vsi","T40",1574.66666666667,22.3333333333333,86,41.3333333333333,1425,149.666666666667,127.333333333333,9.36966666666667,729766.633333333,NA,174.485003173846
"2","AVPE","Image_02.vsi","IBE1",1198,139.333333333333,101,9.66666666666667,948,250,110.666666666667,20.5566666666667,695048.166666667,NA,159.221579127969
"3","AVPE","Image_04.vsi","T40",1443,15.6666666666667,76.3333333333333,52,1299,144,128.333333333333,9.94966666666667,696139.866666667,NA,184.349926614364
"4","AVPE","Image_05.vsi","IBE2",1504.66666666667,9,25.3333333333333,11.6666666666667,1458.66666666667,46,37,3.05466666666667,712615.333333333,NA,51.9214199713169
"5","AVPE","Image_06.vsi","ENT",1576,39,26,8.5,1502.5,73.5,34.5,4.6405,707165.35,NA,48.7863269884476
"6","AVPE","Image_07.vsi","A2",1190,28.6666666666667,31.3333333333333,29.3333333333333,1100.66666666667,89.3333333333333,60.6666666666667,14.0486666666667,709074.666666667,NA,85.5575153345393
"7","AVPE","Image_08.vsi","T40",1785.66666666667,26.3333333333333,82,38.3333333333333,1639,146.666666666667,120.333333333333,8.21866666666667,689951.2,NA,174.408470241567
"8","AVPE","Image_09_01.vsi","IBE2",1481.66666666667,23.3333333333333,23.6666666666667,27.3333333333333,1407.33333333333,74.3333333333333,51,4.98866666666667,704375.333333333,NA,72.4045797553009
"9","AVPE","Image_12.vsi","A2",1211.66666666667,17,17,5.33333333333333,1172.33333333333,39.3333333333333,22.3333333333333,3.231,697292.933333333,NA,32.0286242204854
"10","AVPE","Image_13.vsi","ENT",1359,1,4,1,1353,6,5,0.838,725567.7,NA,6.8911557115897
"11","AVPE","Image_14.vsi","IBE1",1277,16.3333333333333,55.3333333333333,34,1171.33333333333,105.666666666667,89.3333333333333,8.177,803717.833333333,NA,111.150119641906
"12","AVPE","Image_16.vsi","IBE2",1547.66666666667,30,12.3333333333333,34.6666666666667,1470.66666666667,77,47,5.35233333333333,702665.4,NA,66.8881661171875
"13","AVPE","Image_17.vsi","IBE1",1403.66666666667,15,84.3333333333333,41,1263.33333333333,140.333333333333,125.333333333333,9.75166666666667,699299.166666667,NA,179.227059472639
"14","AVPE","Image_18.vsi","A1",1097.33333333333,24.6666666666667,19.3333333333333,35.3333333333333,1018,79.3333333333333,54.6666666666667,14.4066666666667,705679.533333333,NA,77.466702780006
"15","AVPE","Image_19.vsi","A1",1239,49,31,18.3333333333333,1140.66666666667,98.3333333333333,49.3333333333333,7.88533333333333,704330.466666667,NA,70.0428785465005
"16","AVPE","Image_20.vsi","A1",1457,59,29,31,1338,119,60,16.212,698487.2,NA,85.8999277295275
"17","AVPE","Image_22_01.vsi","IBE1",1480.66666666667,20.6666666666667,105.333333333333,31.3333333333333,1323.33333333333,157.333333333333,136.666666666667,21.2066666666667,706157.133333333,NA,193.535773010672
"18","AVPE","Image_23.vsi","A2",1370,30.6666666666667,21.6666666666667,11.3333333333333,1306.33333333333,63.6666666666667,33,4.53866666666667,701555.133333333,NA,47.0383558355642
"19","AVPE","Image_25_01.vsi","A2",1399.66666666667,49.6666666666667,32.6666666666667,12.6666666666667,1304.66666666667,95,45.3333333333333,6.789,691133.6,NA,65.5927209056734
"20","AVPE","Image_26.vsi","st64",1581,64,55.3333333333333,19.3333333333333,1442.33333333333,138.666666666667,74.6666666666667,8.741,696712.866666667,NA,107.169926434544
"21","AVPE","Image_27.vsi","T40",1508,158,112.666666666667,15.6666666666667,1221.66666666667,286.333333333333,128.333333333333,18.597,703731.233333333,NA,182.361286887129
"22","AVPE","Image_29.vsi","A1",1564,39,15.3333333333333,6,1503.66666666667,60.3333333333333,21.3333333333333,3.851,706574.7,NA,30.1926085569344
"23","AVPE","Image_31.vsi","A1",1617.5,92,17.5,7,1504.5,162,32,6.799,704864.35,NA,45.3988061674562
"24","AVPE","Image_32.vsi","ENT",1542.33333333333,29.3333333333333,23,9.66666666666667,1480.33333333333,62,32.6666666666667,4.09566666666667,706644.266666667,NA,46.2278804309269
"25","AVPE","Image_34.vsi","ENT",1690.33333333333,164,21.3333333333333,34,1471,219.333333333333,55.3333333333333,13.025,689855.2,NA,80.2100692048612
"26","AVPE","Image_36.vsi","ENT",1748.33333333333,7.33333333333333,21.6666666666667,7.5,1714.33333333333,47,38,1.98106666666667,700241.066666667,NA,54.2670257557017
"27","AVPE","Image_37.vsi","IBE2",1400.5,29,27.5,4,1342,112,56,3.7719,719126.9,NA,77.872208646346
"28","LPO","Image_01.vsi","T40",941,14.6666666666667,15,14.3333333333333,897,44,29.3333333333333,4.67933333333333,672145.533333333,NA,43.6413423561147
"29","LPO","Image_02.vsi","IBE1",975,42,19,2,912,63,21,6.462,615362.1,NA,34.1262485941204
"30","LPO","Image_04.vsi","T40",859,15.3333333333333,17.6666666666667,15.3333333333333,810.666666666667,48.3333333333333,33,5.53833333333333,630034.566666667,NA,52.3780785149513
"31","LPO","Image_05.vsi","IBE2",902.666666666667,7.66666666666667,7,2.33333333333333,885.666666666667,17,9.33333333333333,1.8549,613658.933333333,NA,15.2093171407701
"32","LPO","Image_06.vsi","ENT",962.333333333333,6,8.33333333333333,6,942,20.3333333333333,14.3333333333333,2.12766666666667,615110.2,NA,23.3020576367183
"33","LPO","Image_07.vsi","A2",656.75,5.5,7.75,4.5,639,17.75,12.25,2.684,605476.425,NA,20.2320016010532
