Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num FOS,Num Negative,Positive %,Area µm^2,Perimeter µm
Image_15.vsi - 20x_02,19af610b-dce2-4c5a-8895-60cb84eb50e9,MPO,,Image,Geometry,3762,6196.1,2176,55,2121,0,2105351.3,9015.6
Image_15.vsi - 20x_02,79334b0d-088b-4bd8-a472-6f065fd1b273,TS,,Image,Polygon,3224.2,4001.6,428,15,413,0,416766,2388.6
Image_15.vsi - 20x_02,70a0166e-8a86-490e-a4dc-5e54512a8af4,Cg,,Image,Polygon,3914.4,1748.6,583,14,569,0,472535.5,2783.1
Image_15.vsi - 20x_03,945f11e6-ece6-43a2-80fe-4803687598b0,AVPE,,Image,Geometry,3735.7,6641,739,27,712,0,498906.9,4361.6
Image_15.vsi - 20x_03,13e0044a-d39b-4702-aa84-e71a377f425c,MnPO,,Image,Polygon,3773.2,5838.2,457,13,444,0,342530.6,2499.9
Image_15.vsi - 20x_03,1a76a168-1644-4c8e-b29b-3da9270fbdfb,MPO,,Image,Geometry,3612.9,6077.2,2345,77,2268,0,2148057.8,8727
Image_15.vsi - 20x_03,3c6bd32a-680f-4c3d-b5b6-6332d984e3cf,TS,,Image,Polygon,3361.1,3754.5,308,3,305,0,289489.2,2015
Image_15.vsi - 20x_03,fe9fe333-8573-45cf-9319-f93411cdb112,Cg,,Image,Polygon,4047.5,1368.4,461,9,452,0,402792.3,2758.6
Image_16.vsi - 20x_01,ba8a56a1-2498-43ca-bb93-0e6c8e37b2fe,AVPE,,Image,Polygon,3772.1,7695,770,22,748,0,473085.3,3297.2
Image_16.vsi - 20x_01,80688e97-e974-4714-b61c-99b113caf1d7,MnPO,,Image,Polygon,3753.4,6875.9,607,12,595,0,438321.3,2949.8
Image_16.vsi - 20x_01,30710653-33c3-4063-ad15-2f6648743a96,MPO,,Image,Geometry,3767,7181.6,2751,48,2703,0,2460100.6,9319.8
Image_16.vsi - 20x_01,d9c3e1ac-43c4-41c1-ad66-8d2b32a0969a,TS,,Image,Polygon,3182.1,5288.4,454,11,443,0,294655.6,2015.8
Image_16.vsi - 20x_01,576def49-8198-42a6-8fe5-52ae4d7dfeb8,Cg,,Image,Polygon,4142,1085.3,522,4,518,0,418242.4,2489.3
Image_16.vsi - 20x_02,6e691842-9972-48b0-8308-faf52107d1ba,AVPE,,Image,Polygon,3233,8190.7,784,27,757,0,494941.9,3680.7
Image_16.vsi - 20x_02,0a14ea8b-5f0f-4da9-9929-fdd3b1951fef,MnPO,,Image,Polygon,3272.7,7412.8,543,16,527,0,366499.3,2738.8
Image_16.vsi - 20x_02,d55b93d8-e53c-4687-8d86-14792f4ad66c,TS,,Image,Polygon,2967,4920.4,471,63,408,0,368029,2267.6
Image_16.vsi - 20x_02,7d644333-2540-49d2-9378-748a32dffa7c,MPO,,Image,Geometry,3075.5,7656.6,2489,54,2435,0,2189951.4,9239
Image_16.vsi - 20x_02,8fd81d13-eb5b-4464-b21c-ef38b9cc9092,Cg,,Image,Polygon,2525.5,1364.7,1149,3,1146,0,853645.2,3873.4
Image_16.vsi - 20x_04,e5028ed2-01d4-4e9c-872c-8e96689a4728,AVPE,,Image,Geometry,2859.8,8310.7,1089,40,1049,0,918421.1,6799.8
Image_16.vsi - 20x_04,5ebc4d5b-4ea9-48aa-97fe-de2ac483d826,MnPO,,Image,Polygon,2885.1,7217.6,137,4,133,0,99134.9,1213.3
Image_16.vsi - 20x_04,8f16b217-a32c-43a6-8d12-56b80252948e,MPO,,Image,Geometry,2970.3,7868.8,2457,105,2352,0,2288543.7,9330.9
Image_16.vsi - 20x_04,cb25e8a3-3581-4dd1-980f-13b75506636f,TS,,Image,Polygon,2885.2,5957.9,400,41,359,0,292851.2,1994.2
Image_16.vsi - 20x_04,19791702-5dea-4710-a262-bc46d69b4d69,Cg,,Image,Polygon,3269,1338.1,1204,4,1200,0,925842.7,3957.5
Image_17.vsi - 20x_01,c02b0215-11c2-48cf-b1f3-c126d1e62d88,AVPE,,Image,Polygon,4138.8,5718.4,1336,69,1267,0,906075.7,4350.7
Image_17.vsi - 20x_01,5397e5d6-19ce-4e98-8034-081871dcc030,MnPO,,Image,Polygon,4082.8,4764,571,6,565,0,505504.3,3485.2
Image_17.vsi - 20x_01,cf54c65c-8a86-48b6-b526-d5384e653fc5,MPO,,Image,Geometry,3988.6,5351.2,2395,42,2353,0,2258867,9611.8
Image_17.vsi - 20x_01,ace10dd3-e5a9-4e24-a9eb-b5a2a4c4436b,TS,,Image,Polygon,4110,3088.8,520,8,512,0,430524.7,2395.3
Image_17.vsi - 20x_01,2ceb4cee-4ac3-4090-b106-289542bc665e,Cg,,Image,Polygon,3314.7,1423.3,638,10,628,0,492278.2,2789.3
Image_17.vsi - 20x_02,83bca982-5649-4110-bb40-613f85b4d169,MnPO,,Image,Polygon,3133.7,5426.4,455,8,447,0,373924.3,2579
Image_17.vsi - 20x_02,1e89b686-8bcf-4de2-bc5c-48ad0dad1e77,AVPE,,Image,Polygon,3189.9,6288.1,1123,63,1060,0,658552.7,4121.8
Image_17.vsi - 20x_02,658c2213-bd9e-42b7-bda1-d72a5d44ec0d,TS,,Image,Polygon,3600,3540.5,267,3,264,0,252440.8,1862.6
Image_17.vsi - 20x_02,61560403-8c2f-4207-ab81-747ec9112e79,MPO,,Image,Geometry,3106.6,5824.9,2655,72,2583,0,2460220.2,9416.2
Image_17.vsi - 20x_02,77375d3a-db26-45a4-9906-09743223c2a6,Cg,,Image,Polygon,2423.4,1746.6,627,4,623,0,448300.9,2680.4
Image_17.vsi - 20x_03,98c5c258-842d-40fe-81b8-e85d3301a5b4,MPO,,Image,Geometry,3957.5,6073.4,2997,73,2924,0,2976595.9,10081.5
Image_17.vsi - 20x_03,27d84a6c-63ff-4d3d-80a2-52679f7dbe6c,MnPO,,Image,Polygon,3907.5,5689.3,561,12,549,0,448248.5,2910.1
Image_17.vsi - 20x_03,07141e66-e64e-452f-ac6d-3849d667f3db,AVPE,,Image,Polygon,4008.9,6587.7,1079,61,1018,0,764846.4,3993.2
Image_17.vsi - 20x_03,f4e79590-951b-41ce-b1b3-19a63bdda829,TS,,Image,Polygon,3265.9,3783,224,3,221,0,231894.8,1957.9
Image_17.vsi - 20x_03,24149802-5bbc-4a2f-b75d-11f157b226ae,Cg,,Image,Polygon,2889.9,1719.1,367,2,365,0,307821.3,2142.7
Image_18.vsi - 20x_01,0409040f-77f6-45e6-963f-1a02f28fa7b5,AVPE,,Image,Polygon,3934.8,5895.3,532,21,511,0,324846.9,2333.5
Image_18.vsi - 20x_01,b1f4e9cd-bc7f-4b84-b736-2b46557ed663,MnPO,,Image,Polygon,3881.1,5221.8,447,14,433,0,316741.8,2835.7
Image_18.vsi - 20x_01,2019e99e-e301-40e0-ac53-a99ce32d1181,MPO,,Image,Geometry,3813.6,5445.6,2568,48,2520,0,2499841.3,8991
Image_18.vsi - 20x_01,26d6822f-fd21-4481-89ca-0947d897f5cf,TS,,Image,Polygon,2890.2,2736.5,390,11,379,0,372886.8,2267.5
Image_18.vsi - 20x_01,b12fa722-b4da-44e4-9f5f-b9c75c6b3110,Cg,,Image,Polygon,3441.4,590.61,635,6,629,0,545897.4,2955
Image_18.vsi - 20x_02,7305e778-f881-4f16-b816-338b259f0a9b,AVPE,,Image,Polygon,3314.4,6232.2,808,26,782,0,511937.9,3428.8
Image_18.vsi - 20x_02,da3c9fc5-61ed-497e-a028-3c672cc30505,MnPO,,Image,Polygon,3238.9,5381.8,412,8,404,0,291071.7,2488.2
Image_18.vsi - 20x_02,cd503249-21f6-4ada-9e89-63c8b43f2a48,MPO,,Image,Geometry,3207.2,5757.4,2346,52,2294,0,2257380.8,9013.8
Image_18.vsi - 20x_02,0d66e1ca-bd31-4bd1-9695-d8cc50dbf12d,TS,,Image,Polygon,3518.6,2930.4,613,7,606,0,633028.9,2927.8
Image_18.vsi - 20x_02,58e74d69-ac03-4681-bcfb-6178d64a5390,Cg,,Image,Polygon,3070.2,365.48,782,8,774,0,672320.9,3230.4
Image_18.vsi - 20x_03,c150c420-d739-44e2-b668-5f94d3622814,AVPE,,Image,Polygon,3493,6641.3,1040,56,984,0,639370.8,3379
Image_18.vsi - 20x_03,4758d8a9-a1ad-4418-95d9-93485d62bbb4,MnPO,,Image,Polygon,3399.5,5863.4,346,7,339,0,242687.6,2463.4
Image_18.vsi - 20x_03,5a74955b-6d82-44cc-9cdd-a711a49b8d36,MPO,,Image,Geometry,3395.8,6181.1,2417,55,2362,0,2199093,8888.5
Image_18.vsi - 20x_03,19f13211-b54b-448e-8cae-e0185d571fa8,TS,,Image,Polygon,3361.4,3312.7,604,5,599,0,635411.2,2879.4
Image_18.vsi - 20x_03,0013682b-f2dc-4e2a-92c2-ea9d06e112ca,Cg,,Image,Polygon,1796,705.81,658,6,652,0,570210.7,2800.6
Image_19.vsi - 20x_01,827ebaa3-f0f8-4e31-8839-15c4b313a490,MnPO,,Image,Polygon,3524.4,5242.1,202,8,194,0,146124.4,1884.7
Image_19.vsi - 20x_01,a3274a3d-b494-4fdb-ad52-085ec017025c,TS,,Image,Polygon,3953.3,3836.9,161,1,160,0,156854.8,1442.6
Image_19.vsi - 20x_01,22cbc92a-354e-4239-95a1-c4ac4b012ae9,Cg,,Image,Polygon,4417.5,1666.9,360,21,339,0,246416.8,1989.3
Image_19.vsi - 20x_01,58b2448c-78f1-40ef-81a8-57267e7426e9,MPO,,Image,Geometry,3622.1,5990.6,3549,58,3491,0,1583942.6,7895.1
Image_19.vsi - 20x_01,5c772a98-4036-47a7-a925-f74d4d22d1c0,AVPE,,Image,Geometry,3619.2,6334.8,2442,297,2145,0,799806.3,8544.1
Image_19.vsi - 20x_02,35c74eed-c937-4eb5-a6a7-53b18e1517dd,MnPO,,Image,Geometry,3581.2,6236.2,385,9,376,0,331322.4,4272.9
Image_19.vsi - 20x_02,25c7d9db-fdcb-4918-835b-79c6931b42a4,TS,,Image,Polygon,4441.1,3735.8,367,9,358,0,352260.1,2344.4
Image_19.vsi - 20x_02,ea649ef0-ef5a-4bb1-9316-79f99a57e566,Cg,,Image,Polygon,5074.4,1621.7,608,46,562,0,362465.2,2388.3
Image_19.vsi - 20x_02,805b8f34-a1de-4e69-8d50-14eaaee546e6,AVPE,,Image,Geometry,3339.6,7165.2,2321,185,2136,0,789637.3,6243.7
Image_19.vsi - 20x_03,4b24b29d-74a9-496f-a0e7-4b71235f4bb1,MnPO,,Image,Polygon,3186,5936.3,449,16,433,0,325909.2,2602.5
Image_19.vsi - 20x_03,fa681095-7da8-49b3-bf87-49b4ef48b91b,MPO,,Image,Geometry,3234.1,6370.1,2309,55,2254,0,2074796.3,9212
Image_19.vsi - 20x_03,392e2b72-dc08-49fa-82c5-48b1d18cd08d,S,,Image,Polygon,2531.9,3963.3,341,6,335,0,313432.7,2068.4
Image_19.vsi - 20x_03,2ab98cc9-c89e-45af-89df-f3abab997051,Cg,,Image,Polygon,3937.4,1822.3,1102,54,1048,0,725245,3261.3
Image_19.vsi - 20x_03,ad47c0ea-977f-4507-8617-fb09164e1aec,AVPE,,Image,Geometry,3140.5,6924.8,1881,148,1733,0,707886.7,6795.1
Image_20.vsi - 20x_01,8f0df313-fe96-48f7-95ac-f8c2cd1d7125,AVPE,,Image,Polygon,3622.4,7221.1,554,24,530,0,386964.2,3732.5
Image_20.vsi - 20x_01,2246c1a6-65fa-4e0a-8462-5d25f92c41de,MnPO,,Image,Polygon,3472.1,6507.5,293,29,264,0,211107.1,2151.5
Image_20.vsi - 20x_01,8662c59d-ce97-4fd8-ac41-216bd8c1443c,MPO,,Image,Polygon,4178.8,6544.5,1267,34,1233,0,1099710.5,4389.7
Image_20.vsi - 20x_01,942ba189-864c-4d3f-9266-f5e0ef9c94b2,TS,,Image,Polygon,2752.6,4621,335,0,335,0,281901.8,1962.6
Image_20.vsi - 20x_01,754d0e46-9b48-4b50-be8e-c68dc276f5e3,Cg,,Image,Polygon,2033.7,2364.8,860,20,840,0,601527.5,2829.9
Image_20.vsi - 20x_02,e46e6f92-a8ec-4bbe-88e8-63f7c407737f,MnPO,,Image,Polygon,3160.6,5431.4,535,46,489,0,432614.8,2615.7
Image_20.vsi - 20x_02,8a6d4704-55f6-4c5f-b53d-db6576805fb4,MPO,,Image,Polygon,3984.4,5461.2,1460,42,1418,0,1305223.3,4515.3
Image_20.vsi - 20x_02,cb1458ba-04a5-4c99-8d98-aa2c3e30453b,TS,,Image,Polygon,2372.9,3814.2,903,15,888,0,772903.1,3161.2
Image_20.vsi - 20x_02,1fe14b9d-9e12-43bd-9e78-d33ecb747f92,Cg,,Image,Polygon,1232.1,2184.1,927,21,906,0,658248.9,3272.2
Image_20.vsi - 20x_02,ae2b605f-be23-4ee2-ad39-dcee25f8d289,AVPE,,Image,Geometry,3393,6299.9,1511,83,1428,0,808794.1,4426.7
Image_20.vsi - 20x_03,821e4b70-af40-45f0-b97d-d63b922e19ca,AVPE,,Image,Polygon,2351.2,6341.3,1192,73,1119,0,858507.2,4155
Image_20.vsi - 20x_03,3908b02b-4ee0-49bf-be5c-5e21f35dab5c,MnPO,,Image,Polygon,1998.5,5138.4,758,53,705,0,531080.6,3193.1
Image_20.vsi - 20x_03,a1f3d7bf-25e3-4b0e-8f8c-c42577c490e5,MPO,,Image,Polygon,2978.7,5574,1538,48,1490,0,1311988.7,4795.4
Image_20.vsi - 20x_03,e8578ce6-fcde-4efa-b001-4e8dfc98b3dd,S,,Image,Polygon,1157.2,3449.8,571,12,559,0,519627.9,2624.2
Image_20.vsi - 20x_03,7bef4179-bc70-4786-a2b3-a91fe678b9d1,Cg,,Image,Polygon,1054.1,1047.5,1062,12,1050,0,724481,3391.2
Image_22.vsi - 20x_01,ea4d02a5-3315-4eac-a4cf-61582955da9a,MnPO,,Image,Polygon,4778.9,6588.2,469,8,461,0,354315.4,2630.5
Image_22.vsi - 20x_01,186b2236-f5cf-452a-97c6-4a14c7939f00,MPO,,Image,Polygon,5502.7,7010.3,985,6,979,0,918935.8,4232.4
Image_22.vsi - 20x_01,c520dbfe-a8da-4d5b-ab5a-55e0479ae510,TS,,Image,Polygon,4994.4,3958.7,973,12,961,0,816150.9,3329.2
Image_22.vsi - 20x_01,c1ac5e1e-8a3e-4f9c-bbff-362d81e2b01f,Cg,,Image,Polygon,5926.5,1206.2,1235,5,1230,0,1003795.9,3955.3
Image_22.vsi - 20x_01,ee8b948f-0b7e-470d-8474-5fec798acee8,AVPE,,Image,Polygon,4675.3,7338.8,829,43,786,0,562965.6,3290.3
Image_22.vsi - 20x_02,dc88735b-b878-4557-9bf9-a4f1ea007bc0,MnPO,,Image,Polygon,3570.2,6472.5,465,16,449,0,308404.4,2561.5
Image_22.vsi - 20x_02,8007fd64-03cd-424f-8195-7c45d2af60b0,MPO,,Image,Polygon,4262,6787.6,1220,9,1211,0,1111602.4,4477.6
Image_22.vsi - 20x_02,343c76ca-5566-4c38-b33f-d7abf163616d,TS,,Image,Polygon,3687.9,4154.7,450,4,446,0,373317.8,2274.3
Image_22.vsi - 20x_02,87313320-eaa8-45f3-9a10-28fc26c6bc29,Cg,,Image,Polygon,4538.4,1560.5,1040,1,1039,0,811442.7,3749.5
Image_22.vsi - 20x_02,aa0a1db4-0da5-4d7d-969c-39250798b7a9,AVPE,,Image,Polygon,3522.4,7257.5,753,50,703,0,474096.4,3477.7
Image_22.vsi - 20x_03,dac0902b-9c38-4ace-a3d9-ce18c88a26d5,MnPO,,Image,Polygon,3075.9,6708.2,450,8,442,0,309863.8,2724.8
Image_22.vsi - 20x_03,37e20b52-eb7c-4144-aa80-06c1af57ecda,MPO,,Image,Polygon,3825.4,7245.6,1229,14,1215,0,1155744,4436.5
Image_22.vsi - 20x_03,6eb93a92-8585-476c-a7b5-b5aa68ad8ccb,TS,,Image,Polygon,3421.4,4417.8,919,3,916,0,740960,3116.3
Image_22.vsi - 20x_03,40b9407d-e046-42a6-9dbe-e2cc3d306953,Cg,,Image,Polygon,4232.8,1651.5,908,3,905,0,698633.9,3223.7
Image_22.vsi - 20x_03,64ae1603-bc6f-40e4-8600-a7eecf410383,AVPE,,Image,Geometry,2972.2,7568.9,960,59,901,0,682640.4,4601.9
Image_23.vsi - 20x_01,9c053b7e-5500-466c-8d47-406508f9c741,MnPO,,Image,Polygon,4621.9,6538.9,380,5,375,0,312862.9,2434.9
Image_23.vsi - 20x_01,56066c96-945c-490e-b56e-a3b368ab2a23,LPO,,Image,Polygon,3845.9,6863.5,1104,12,1092,0,1044360.8,4237.9
Image_23.vsi - 20x_01,1babdfdb-23a9-4492-ba10-92c0850c19d8,TS,,Image,Polygon,4587,4144.3,393,4,389,0,330746.2,2098.3
Image_23.vsi - 20x_01,51ff8c74-d787-4ca4-82f6-8cabd47f8b73,Cg,,Image,Polygon,5667.3,1389.1,718,1,717,0,570360.3,2964.2
Image_23.vsi - 20x_01,5dd8f0ef-5a50-4887-9562-56dda62c05e3,AVPE,,Image,Polygon,4626.6,7205,640,33,607,0,434699.8,3086.6
Image_23.vsi - 20x_02,ff6b4688-39ab-40f6-9c93-4f3bc131808c,AVPE,,Image,Polygon,4325.8,7148.5,950,50,900,0,573734.1,3178.5
Image_23.vsi - 20x_02,da46c862-5a7e-41d9-9c57-b53e68f696ae,MnPO,,Image,Polygon,4348.9,6297.2,732,14,718,0,554985.2,3228.8
Image_23.vsi - 20x_02,9e159cd7-5d68-4814-a12d-c67734b1ad89,MPO,,Image,Polygon,5091.7,6657.2,986,11,975,0,885545.7,4215.8
Image_23.vsi - 20x_02,d7604d2d-c6ef-4dd3-897c-8d011311205e,TS,,Image,Polygon,4489.9,3881.2,462,1,461,0,420571.6,2358.3
Image_23.vsi - 20x_02,0ae23460-3899-4281-8c79-cc6a7b74fdb6,Cg,,Image,Polygon,5505.2,1241.8,582,2,580,0,433149.7,2564.2
Image_23.vsi - 20x_03,426a47b3-bfd3-4786-bef5-9e7dfe9ad8d8,AVPE,,Image,Polygon,4229,7193.8,826,33,793,0,474677.7,3675.9
Image_23.vsi - 20x_03,604363f7-4599-4e2c-8354-d66b69bf6a63,MnPO,,Image,Polygon,4165,6388.7,570,22,548,0,384433.2,2756.7
Image_23.vsi - 20x_03,87206e06-a51c-49f8-a2ec-931eb9afae89,MPO,,Image,Geometry,3449.1,6579.3,1186,13,1173,0,993088.1,4256.8
Image_23.vsi - 20x_03,4bce075b-37be-4580-bd4c-ee53c7544046,TS,,Image,Polygon,4427.7,4053.8,354,1,353,0,308064.7,2307.5
Image_23.vsi - 20x_03,6e60d31b-8fe1-49ed-b8f1-884191c17ebe,Cg,,Image,Polygon,5025.5,1250.3,702,7,695,0,496297.6,2814.1
