Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,sp6-thresh: pS6 area µm^2,PS6_GAT_GLUT_FULL: DAPI %,PS6_GAT_GLUT_FULL: DAPI area µm^2,PS6_GAT_GLUT_FULL: GAT %,PS6_GAT_GLUT_FULL: GAT area µm^2,PS6_GAT_GLUT_FULL: GLUT %,PS6_GAT_GLUT_FULL: GLUT area µm^2,PS6_GAT_GLUT_FULL: pS6 %,PS6_GAT_GLUT_FULL: pS6 area µm^2,Num pS6
Image_12.vsi - 40x_04,0b129d5f-9281-4361-a373-1e32fca4d28f,MnPO,,Image,Polygon,1268.7,644.42,620,483,101,15,21,96.61,117.74,5,1,6,325897.2,2760.6,1467.4369,95.5613,46053.6328,1.117,538.3039,3.1184,1502.8201,0.2034,98.0175,
Image_12.vsi - 40x_04,b9be2b37-4d1c-49eb-8f9d-548dbd211ffb,MPO_x05,,Image,Polygon,563.45,863.92,1247,814,271,106,56,95.51,134.24,5,1,6,910846.4,3670.5,6578.7109,94.098,98453.6328,1.4991,1568.5171,3.3512,3506.3689,1.0516,1100.2672,
Image_12.vsi - 40x_06,ec19400a-c059-4cff-b4ad-1ff7d8bb634f,Cg,,Image,Rectangle,397.04,451.54,677,311,172,157,37,94.53,166.32,5,2,7,502324.6,2864,16329.5234,90.8863,49017.793,0.4637,250.0871,2.6483,1428.3036,6.0017,3236.9265,
Image_12.vsi - 40x_07,a2d2e4df-73e2-422c-a6f3-0cebcaadc610,Cg,,Image,Rectangle,245.37,314.06,467,186,136,141,4,99.14,188.65,5,2,7,308244.5,2237.7,10499.252,84.8491,33922.625,0.2297,91.8386,9.2361,3692.5811,5.6851,2272.8857,
Image_12.vsi - 40x_08,7a2a8682-5741-403d-866f-72488fd26399,Cg,,Image,Rectangle,287.43,504.9,791,306,193,255,37,95.32,184.2,5,2,7,580498,3169.3,18831.6367,90.4314,55751.8984,0.4367,269.2312,2.6645,1642.6904,6.4674,3987.188,
Image_13.vsi - 40x_02,363e42f0-e598-4851-b82c-56e400160c3b,AVPE,,Image,Polygon,1707.4,1677,1142,793,257,89,3,99.74,137.83,5,1,6,733332.4,4195.7,12010.5752,36.087,86639.5234,2.8169,6762.9414,59.7879,143541.7188,1.3082,3140.7839,
Image_13.vsi - 40x_02,01561e9d-81b8-47a5-9013-42fd2a75e5d6,MnPO,,Image,Polygon,1486,713.56,520,387,109,20,4,99.23,127.88,5,1,6,320382.2,2801.8,3845.9189,51.4688,39544.9258,0.8948,687.4954,47.0504,36150.1484,0.586,450.2677,
Image_13.vsi - 40x_02,f5a57473-2416-493d-b6d2-41994c87ba89,MPO,,Image,Geometry,1601.4,964.35,2234,1204,648,364,18,99.19,160.79,5,1,6,1792159.3,7372.2,38740.3828,48.3553,171813.8438,1.8877,6707.4102,46.8574,166491.6406,2.8996,10302.5547,
Image_13.vsi - 40x_03,534ad34a-dfd2-49fb-9e54-3980039d0ec9,AVPE,,Image,Polygon,1627.9,1670.2,1139,932,147,43,17,98.51,118.96,5,1,6,724083.8,5071.1,4497.2651,50.7812,93823.0469,3.2043,5920.2339,45.565,84185.5469,0.4495,830.5607,
Image_13.vsi - 40x_03,1d65b53f-882b-46ab-bc0d-e37f607aac91,MnPO,,Image,Polygon,1557.4,657.08,563,487,47,14,15,97.34,110.66,5,1,6,322671.6,2778.7,1308.8978,69.4433,43736.0977,1.1705,737.1907,28.7795,18125.5996,0.6068,382.1414,
Image_13.vsi - 40x_03,ae5641e4-8c0b-48b1-84c7-bf9295ca45ef,MPO,,Image,Geometry,1623.9,984.72,2143,1470,414,189,70,96.73,133.69,5,1,6,1744987.7,7009.9,18324.1484,67.3636,174164.0469,2.4193,6254.9507,28.1656,72820.3281,2.0515,5303.9014,
Image_13.vsi - 40x_04,1f95f767-1505-423f-99f5-c9ba7105e038,AVPE,,Image,Polygon,1924.6,1890.7,953,745,132,44,32,96.64,119.73,5,1,6,717011.7,5429.1,3619.5703,44.685,69291.9062,1.4367,2227.8113,53.3429,82717.4766,0.5354,830.2967,
Image_13.vsi - 40x_04,8cb8048a-bb11-4ca5-9e04-2c2abd4bd2de,MnPO,,Image,Polygon,1686.5,891.5,493,408,55,12,18,96.35,112.37,5,1,6,308680.9,2729.1,882.8176,56.3807,35310.5039,1.2312,771.069,42.1511,26398.6758,0.237,148.4521,
Image_13.vsi - 40x_04,b081aa97-5a5a-429e-914a-d8fe43008710,MPO,,Image,Geometry,1825.1,1149.2,2077,1405,446,188,38,98.17,137.75,5,1,6,1759341.3,7505,18219.8457,57.4199,151927.7812,1.0858,2872.9521,39.5276,104586.4609,1.9667,5203.8247,
Image_13.vsi - 40x_06,160da246-1537-46a6-81eb-669a9157e85f,Cg,,Image,Rectangle,369.59,644.9,813,421,245,117,30,96.31,155.23,5,1,6,509166.4,2870.5,14472.8418,81.2813,47778.7109,0.0794,46.685,13.7759,8097.7163,4.8634,2858.7988,
Image_13.vsi - 40x_07,eed3cd52-3fc1-4bb1-b340-085f58a198e1,Cg,,Image,Rectangle,377.39,396.99,629,289,193,111,36,94.28,160.25,5,2,7,431306.6,2674.4,15561.834,77.5963,39845.5781,0.1115,57.2737,14.8445,7622.6538,7.4476,3824.3447,
Image_13.vsi - 40x_09,6ed273f4-ee44-4b9f-b7d0-772d9cfd5a3a,Cg,,Image,Rectangle,497.49,524.72,741,353,190,82,116,84.35,132.12,5,1,6,477412.1,3008.7,17096.6582,87.1544,53541.0117,0.0982,60.3367,6.6669,4095.6091,6.0805,3735.4109,
Image_14.vsi - 40x_02,42c26be2-f086-4128-9830-2daa96fa3cb3,AVPE,,Image,Geometry,1537.2,1530.3,1301,937,306,55,3,99.77,131.74,5,1,6,717102.1,5942,5718.708,62.4133,95294.5547,12.5321,19134.3457,24.7012,37714.5977,0.3534,539.6242,
Image_14.vsi - 40x_02,1f30b693-c16c-4520-aa5e-31f04c6ce1e4,MnPO_x05,,Image,Polygon,1533.5,571.14,368,265,83,18,2,99.46,131.79,5,1,6,219275.5,1904,1372.9843,39.5619,27718.373,14.9979,10508.0166,45.32,31752.6699,0.1201,84.181,
Image_14.vsi - 40x_02,8c876215-7fb4-4a61-8566-12854c4b979b,MPO_x05,,Image,Polygon,757.2,929.37,1336,808,407,117,4,99.7,147.68,5,1,6,984138.4,3952.8,11116.958,50.0243,93140.1719,14.9293,27796.9043,34.2292,63731.3438,0.8171,1521.4095,
Image_14.vsi - 40x_03,0a2ede0d-2bae-4131-8e75-cd5c2b4cc43a,AVPE,,Image,Geometry,1557.9,1582.7,1030,777,212,32,9,99.13,125.92,5,1,6,679216.1,5347.6,4368.5908,45.1849,70858.6016,10.7848,16912.6348,43.7529,68612.9922,0.2774,435.0317,
Image_14.vsi - 40x_03,1c7ac534-96c6-4427-9cae-a1f96b364b56,MnPO,,Image,Polygon,1626.9,767.25,493,335,124,29,5,98.99,135.9,5,1,6,308795.5,2165.8,2870.5234,37.8758,32694.291,12.0808,10428.1396,49.6297,42840.2617,0.4137,357.1353,
Image_14.vsi - 40x_03,f70c4872-fb2d-4fe6-b851-b0e1467cda5d,MPO_x05,,Image,Polygon,810.01,1046.8,1127,782,269,65,11,99.02,134.43,5,1,6,841413.8,3688.4,7564.9062,62.0414,78361.4766,14.4002,18188.2344,22.5429,28472.834,1.0155,1282.624,
Image_14.vsi - 40x_04,07ba8977-9c5a-471d-89a2-d2271bca613c,Cg,,Image,Rectangle,359.76,406.93,798,195,143,460,,100,233.21,5,2,7,502121.2,2834.8,68278.7422,20.9341,46616.8633,1.7159,3821.0176,63.7357,141929.2188,13.6143,30316.9199,
Image_14.vsi - 40x_05,f098d35c-1a95-41f3-9254-a2d6e76e859a,Cg,,Image,Rectangle,330.4,444.62,748,239,187,321,1,99.87,210.7,5,2,7,503117.9,2849.8,45714.332,33.2404,47683.4375,2.247,3223.354,52.091,74724.75,12.4216,17818.8203,
Image_14.vsi - 40x_06,69fa14ca-5d93-4324-9f2c-fb1c5ca534c7,Cg,,Image,Rectangle,361.61,361.46,751,236,161,354,,100,215.71,5,2,7,504725.4,2842.2,51801.4492,28.9493,41114.5781,1.1962,1698.8815,53.7773,76375.9688,16.0772,22833.3164,
Image_15.vsi - 40x_02,4ae98a78-4326-4468-9140-9409d4c17ca1,AVPE,,Image,Geometry,1672.1,1422.4,1104,846,77,26,155,85.96,97.64,5,1,6,670854.6,5433.9,2561.3406,44.6887,103365.8906,37.8602,87571.2969,17.1489,39665.8086,0.3022,699.0082,
Image_15.vsi - 40x_02,12cb169c-34f9-4e3f-bb0b-baa35a23fbf7,MnPO,,Image,Geometry,1460.4,457.24,483,387,23,5,68,85.92,92.75,5,1,6,299129.1,4178.6,620.9799,46.9002,44593.8828,31.3428,29801.4824,21.6521,20587.3906,0.1048,99.681,
Image_15.vsi - 40x_02,9ec3862b-15cc-44c6-98c2-bfc59898cf89,MPO,,Image,Geometry,1398.1,810.31,2326,1690,298,209,129,94.45,125.24,5,1,6,1800879.8,7612,21567.834,49.8893,213024.0156,24.6824,105392.2031,23.5887,100722.0547,1.8397,7855.2339,
Image_15.vsi - 40x_03,c378b802-1610-448d-bd0e-018f69fd8f66,AVPE,,Image,Geometry,1467.1,1584.1,1184,899,70,39,176,85.14,97.64,5,1,6,690664,6389.6,4600.0093,31.2319,87158.6562,28.3207,79034.375,39.8918,111325.8984,0.5556,1550.6406,
Image_15.vsi - 40x_03,b70e5950-5990-4122-a549-274033b070b3,MnPO,,Image,Geometry,1491.4,562.72,489,303,17,4,165,66.26,71.37,4,1,5,285504.1,3522.2,579.0479,40.7315,39552.1602,21.1808,20567.5078,37.966,36866.7148,0.1217,118.1649,
Image_15.vsi - 40x_03,f65d56cc-759c-4cbd-b0f9-494fa4c2de6f,MPO_x05,,Image,Polygon,2287.7,1001.5,1158,759,120,95,184,84.11,110.88,5,1,6,927133.3,3749.9,10450.3486,43.9186,89196.3984,19.3298,39257.8984,34.7832,70642.8438,1.9684,3997.803,
Image_15.vsi - 40x_04,232cbaa0-4c5c-46a5-9c47-0fda52ad7b3c,AVPE,,Image,Geometry,1495.4,1551.7,1119,863,63,32,161,85.61,96.96,5,1,6,680890.5,6734.6,2582.4915,32.8976,80646.4062,19.5504,47926.5547,47.3008,115954.8516,0.2512,615.7515,
Image_15.vsi - 40x_04,607bbbda-6470-484f-a7f0-8eedeaaee45b,MnPO,,Image,Geometry,1463.7,668.1,493,345,16,3,129,73.83,78.3,5,1,6,320433.4,4147.5,704.2631,26.52,36023.8242,21.735,29524.0117,51.6259,70126.8281,0.1191,161.7869,
Image_15.vsi - 40x_04,e2c5f0fa-cd8d-4444-adfd-625968050abd,MPO,,Image,Geometry,1361.3,800.14,2324,1537,260,173,354,84.77,110.84,5,1,6,1796605.1,7292.2,19670.1445,38.5996,166345.9375,11.5392,49728.3125,48.2331,207861.6719,1.6281,7016.3027,
Image_15.vsi - 40x_07,f14c626a-87b4-48d5-9b20-387383cd6faa,Cg,,Image,Rectangle,342.19,518.61,759,272,216,184,87,88.54,165.48,5,2,7,509012.4,2856.3,25147.7969,49.3769,49120.0352,1.0506,1045.1588,40.6696,40458.082,8.9028,8856.5332,
Image_15.vsi - 40x_08,70319f9c-96ef-4fd9-bd15-c91dc897a182,Cg,,Image,Rectangle,490.02,348.64,760,325,216,188,31,95.92,173.82,5,2,7,516270.5,2915.9,24940.8555,63.3296,57328.3359,1.1206,1014.3699,27.3383,24747.6406,8.2116,7433.4048,
Image_17.vsi - 40x_02,7853c20f-e82f-466a-b77e-5983cf2d69cd,AVPE,,Image,Polygon,1522.3,1529.3,1332,999,193,50,90,93.24,115.24,5,1,6,719723.7,4085.9,3963.6877,79.779,127215.1875,18.177,28984.916,1.9115,3048.021,0.1326,211.4558,
Image_17.vsi - 40x_02,58ad77f7-e9cd-43da-b9ce-507305a3b6c5,MnPO,,Image,Polygon,1505.4,670.18,565,446,37,6,76,86.55,95.22,5,1,6,308974.1,2644.8,533.6566,78.4875,53491.793,20.2062,13771.1641,1.2638,861.2968,0.0426,29.0461,
Image_17.vsi - 40x_02,18b6de4a-ef26-48ad-9062-8de1d6c0a733,MPO,,Image,Geometry,1534.1,1021.5,2438,1669,284,50,435,82.16,97.91,5,1,6,1757668.5,7043.1,4328.7451,81.4911,239390.4688,16.9121,49681.5195,1.4798,4347.0957,0.117,343.6949,
Image_17.vsi - 40x_03,3957da84-d95a-41b4-8026-9d8034834cfc,AVPE,,Image,Polygon,1676.4,1462.5,1309,957,274,71,7,99.47,131.25,5,1,6,713539.1,4594,9352.748,73.4954,116635.2656,6.9213,10983.8711,19.2369,30528.4531,0.3464,549.7903,
Image_17.vsi - 40x_03,3d7d2673-5fff-43fd-9ad0-5e10863890bf,MnPO,,Image,Polygon,1636.8,562.03,665,559,67,5,34,94.89,106.47,5,1,6,334810.4,2588.1,1918.1273,87.0184,59031.3906,6.0842,4127.4014,6.7577,4584.2705,0.1397,94.7696,
Image_17.vsi - 40x_03,8a495168-eb2f-4ea9-8fe4-6a3bd2ef4ae7,MPO,,Image,Geometry,1569.9,1002.2,2696,2029,394,74,199,92.62,112.72,5,1,6,1780812.7,7477.2,9225.8174,83.8346,245641.25,8.6605,25375.9355,7.3034,21399.4941,0.2015,590.2701,
Image_17.vsi - 40x_04,7b872ae6-4e3b-44a3-a96d-e97c8c8fc4f1,AVPE,,Image,Geometry,1399.1,1379.8,1113,822,212,46,33,97.04,124.35,5,1,6,697904.7,5057.1,4949.3813,74.2484,100309.3125,5.882,7946.6235,19.7059,26622.5684,0.1637,221.0938,
Image_17.vsi - 40x_04,1b31e085-9eec-480b-bbcc-6179482c9c3f,MnPO,,Image,Polygon,1406.9,528.21,600,490,65,7,38,93.67,106.83,5,1,6,302719.8,2227.2,938.7446,81.152,55932.457,13.4781,9289.5576,5.3123,3661.396,0.0576,39.6876,
Image_17.vsi - 40x_05,5325a606-f385-432b-8324-5eefd54ea8c9,Cg,,Image,Rectangle,231.2,517.82,669,235,233,200,1,99.85,194.47,5,2,7,478883,2996.1,27714.9473,78.047,52403.5391,1.5992,1073.7825,8.4045,5643.0811,11.9492,8023.147,
Image_17.vsi - 40x_06,1e9d1919-1ad8-40cd-85f3-6133c3e0240b,Cg,,Image,Rectangle,129.9,414.25,320,73,131,115,1,99.69,212.5,5,2,7,215254.1,2176.6,14338.834,86.3281,25738.2988,1.1437,340.9751,2.3286,694.2552,10.1996,3040.9707,
Image_17.vsi - 40x_07,60fc39ec-9cf5-405f-98b0-efce7ce1e68f,Cg,,Image,Rectangle,367.76,476.17,849,302,283,263,1,99.88,195.17,5,2,7,612512.8,3136.6,40513.832,76.4428,67874.9062,1.439,1277.6862,8.8632,7869.8364,13.255,11769.3574,
Image_18.vsi - 40x_02,f6635e3d-57f8-4e00-a4d4-edc526818572,AVPE,,Image,Polygon,1814.5,1752,1275,877,260,111,27,97.88,135.69,5,1,6,671830.9,4369.9,10352.3311,55.544,102329.6016,12.5747,23166.5293,30.2715,55769.7461,1.6098,2965.7148,
Image_18.vsi - 40x_02,acb43978-48ef-44b4-a8e8-0adbc409f66c,MnPO,,Image,Polygon,1800.2,885.85,498,380,73,23,22,95.58,119.48,5,1,6,344482.9,2657.7,1727.5582,83.8001,44016.6289,5.3233,2796.0857,9.9293,5215.4429,0.9473,497.5865,
Image_18.vsi - 40x_02,194c395c-ecc1-48d4-8f5c-55d00233b8a0,MPO,,Image,Geometry,1913.6,1223.2,2219,1430,344,262,183,91.75,130.87,5,1,6,1849198,7518.4,21541.7988,74.3889,178070.4062,9.2767,22206.4492,13.3563,31972.0723,2.978,7128.6846,
Image_18.vsi - 40x_03,720ce8e6-43d4-4dca-9f93-ffba47735dcc,AVPE,,Image,Polygon,1729.8,1760.6,1250,806,297,140,7,99.44,145.6,5,1,6,722400.5,5218.4,12188.0732,51.0367,97114.0547,10.4784,19938.6602,36.931,70273.3516,1.5539,2956.7107,
Image_18.vsi - 40x_03,5a2e735f-977e-420f-bd17-1d59ecb60927,MnPO,,Image,Polygon,1731.5,811.32,435,357,40,10,28,93.56,107.36,5,1,6,292753,2421.8,965.1237,91.0442,34569.7461,4.031,1530.5724,4.6445,1763.5487,0.2803,106.4144,
Image_18.vsi - 40x_03,ea480927-dadc-468d-bbfd-9a35078c7401,MPO,,Image,Geometry,1891,1002.6,2224,1568,338,129,189,91.5,118.3,5,1,6,1772299,7339.8,11862.1758,90.8674,185915.9531,4.4468,9098.1436,3.4449,7048.3062,1.2409,2538.9482,
Image_18.vsi - 40x_04,b1247d3e-6762-4d68-a881-96ed406712f3,AVPE,,Image,Polygon,1366.4,1744.7,989,713,185,65,26,97.37,129.22,5,1,6,696371.4,5186.8,4872.6997,66.0988,76148.3203,10.322,11891.3252,22.5003,25921.1582,1.0789,1242.9893,
Image_18.vsi - 40x_04,9ca79807-2f60-4cea-b16b-f715583b2758,MnPO,,Image,Polygon,1387.4,763.18,513,409,39,8,57,88.89,99.61,5,1,6,338445.6,2790.3,509.0467,95.6354,41604.0859,2.8523,1240.8505,1.4674,638.3546,0.0449,19.5137,
Image_18.vsi - 40x_04,07460948-1dee-4b09-bd3a-c76ea11cf577,MPO,,Image,Geometry,1262.8,995.29,2396,1707,290,99,300,87.48,107.85,5,1,6,1901217.4,7563.6,8557.043,94.0175,187760.4844,3.7641,7517.1372,1.5036,3002.8411,0.7148,1427.4586,
Image_18.vsi - 40x_05,06497048-d5ce-48f6-8270-676058c4d954,Cg,,Image,Rectangle,375.26,465.47,654,275,147,116,116,82.26,140.21,5,2,7,507064.3,2855.3,9750.126,94.5698,45055.5312,0.45,214.4132,0.6489,309.1564,4.3312,2063.5159,
Image_18.vsi - 40x_06,8d079883-cf24-495d-9b14-f875e7b3d218,Cg,,Image,Rectangle,389.66,399.86,688,281,144,177,86,87.5,159.88,5,2,7,504930.2,2842.9,16988.7656,88.9872,45104.3008,0.9956,504.6368,0.7471,378.6559,9.2701,4698.686,
Image_18.vsi - 40x_07,71dfe584-fc73-4030-9ee2-0eb48bbe3aac,Cg,,Image,Rectangle,346.88,516.78,680,296,150,181,53,92.21,167.5,5,2,7,508774.5,2862.5,18551.6309,88.1352,46115.8438,0.4428,231.6824,1.0507,549.7903,10.3713,5426.6611,
