Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,sp6-thresh: pS6 area µm^2,PS6_GAT_GLUT_FULL: DAPI %,PS6_GAT_GLUT_FULL: DAPI area µm^2,PS6_GAT_GLUT_FULL: GAT %,PS6_GAT_GLUT_FULL: GAT area µm^2,PS6_GAT_GLUT_FULL: GLUT %,PS6_GAT_GLUT_FULL: GLUT area µm^2,PS6_GAT_GLUT_FULL: pS6 %,PS6_GAT_GLUT_FULL: pS6 area µm^2,Num pS6
Image_06.vsi - 40x_03,46ff2e50-d46c-4762-9e6d-fa53b313fa09,MPO_x05,,Image,Geometry,1305.3,713.67,1169,654,235,265,15,98.72,164.16,5,1,6,876560.5,3693.7,20268.2051,25.5049,88526.8828,47.7765,165831.0781,24.448,84858.4609,2.2706,7881.27,
Image_06.vsi - 40x_03,6e712dc1-24b2-44df-a9d7-865f57b7e91b,MnPO_x05,,Image,Polygon,367.76,535.01,313,216,72,24,1,99.68,138.02,5,1,6,180755.2,1966.5,2059.2388,18.0697,20349.3984,52.7036,59352.6914,28.7708,32400.5293,0.4558,513.3242,
Image_06.vsi - 40x_05,28ba85fe-29d6-4e78-a9cd-89fd84206a7d,MnPO,,Image,Polygon,380.97,670.22,459,371,54,15,19,95.86,114.16,5,1,6,273292.8,2496.9,1923.7781,18.5704,27953.0664,12.357,18600.3984,68.5766,103224.75,0.496,746.6174,
Image_06.vsi - 40x_05,e2d5ba8b-17ae-4393-a5d5-6c2fa7dd32e4,AVPE,,Image,Geometry,650.31,1637.6,1042,787,140,85,30,97.12,126.87,5,1,6,705910.8,5431.9,6497.9365,9.9889,51011.8867,8.238,42070.7227,81.3051,415215.1562,0.468,2390.1528,
Image_06.vsi - 40x_05,970578dc-cce4-42a9-baa9-902381fbca1e,MPO_x05,,Image,Geometry,1195,963.93,1330,848,213,207,62,95.34,142.48,5,1,6,999212.6,4084.4,19906.502,17.4332,87984.4062,8.4177,42483.8398,72.6018,366417.9062,1.5473,7809.1299,
Image_06.vsi - 40x_06,f9b880b5-bb86-4989-a119-2729af4bbac1,Cg,,Image,Rectangle,581.09,626.02,729,408,174,104,43,94.1,146.5,5,1,6,508009.6,2853.9,14701.5146,64.0036,58291.293,24.615,22418.0898,7.9635,7252.7119,3.4179,3112.873,
Image_06.vsi - 40x_07,0476059e-47c0-4895-90d0-e9b1071af3c1,Cg,,Image,Rectangle,570.36,799.75,756,367,172,148,69,90.87,152.78,5,2,7,504231.8,2841,14275.54,71.42,61980.4414,16.2046,14062.8662,9.4309,8184.4585,2.9445,2555.2932,
Image_07.vsi - 40x_01,95f6694b-8943-46f4-ba91-33f01a9e521d,AVPE,,Image,Geometry,1461.2,1590.2,1323,733,385,205,0,100,160.09,5,1,6,702573.9,3616.6,14887.6738,55.3023,100607.0078,2.4155,4394.3091,40.2851,73287.4141,1.9972,3633.3269,
Image_07.vsi - 40x_01,0e0df55a-2f62-4dc1-aa4d-0380f28da190,MnPO,,Image,Polygon,1398.5,747.06,495,374,80,31,10,97.98,126.67,5,1,6,320491.7,2716.6,2134.6794,74.6875,39019.7734,1.583,827.0224,22.5419,11776.8037,1.1876,620.4252,
Image_07.vsi - 40x_01,8ff1faad-dfbd-43a6-bb3a-d8b5e3abbb25,MPO,,Image,Geometry,1416.3,920.98,2235,1418,409,333,75,96.64,144.74,5,1,6,1766312.4,7807.8,23647.0625,74.3652,175710.8906,1.5174,3585.2424,20.559,48576.9219,3.5585,8407.9814,
Image_07.vsi - 40x_01,c992d1e4-85e1-4c96-a448-70ae3c1410ab,NDB,,Image,Polygon,335.64,2109.7,378,98,103,177,0,100,220.9,5,2,7,261688.6,1958.9,21994.7598,26.7861,21886.043,2.5511,2084.4556,55.4145,45277.3906,15.2483,12458.9395,
Image_07.vsi - 40x_02,a840eea0-e280-48e0-a31a-0a804ad92ac4,AVPE,,Image,Polygon,2106,1735.9,1601,1011,472,113,5,99.69,143.29,5,1,6,718764.5,4274.3,9229.1436,75.6932,136776.75,7.0338,12710.0029,16.5297,29868.9746,0.7434,1343.2512,
Image_07.vsi - 40x_02,60480498-171e-4613-bb2d-754e070cd341,MnPO,,Image,Polygon,1914,895.05,519,413,83,19,4,99.23,122.54,5,1,6,290324.2,2616.5,748.7036,85.8049,44237.4609,3.7798,1948.7045,10.321,5321.0918,0.0942,48.5862,
Image_07.vsi - 40x_02,62396ee8-432d-448d-88d7-1c9273db005f,MPO,,Image,Geometry,2006.8,1035.4,2585,1952,407,166,60,97.68,126.27,5,1,6,1742598.7,7498.2,10955.2764,87.6205,212360.0156,3.7086,8988.3496,7.614,18453.6367,1.0568,2561.261,
Image_07.vsi - 40x_02,f7925d78-10f8-42e9-81e8-126114194976,NDB,,Image,Polygon,402.02,2278.9,344,196,69,79,0,100,165.99,5,1,6,235643.3,1884.4,8612.415,77.0246,27466.9922,3.3917,1209.4806,7.4639,2661.6284,12.1198,4321.9312,
Image_07.vsi - 40x_03,dd58e770-fd65-40a3-8095-3b9ee7651163,AVPE,,Image,Polygon,1981.3,1784.6,1324,1057,177,53,37,97.21,118.58,5,1,6,701356.4,4705.4,5045.8408,85.4877,100172.7734,4.0855,4787.2769,9.6696,11330.6816,0.7571,887.2007,
Image_07.vsi - 40x_03,112e761c-f0a6-47c6-99bc-ee558f3ca02c,MnPO,,Image,Polygon,1909.3,904.67,608,511,28,5,64,89.47,95.72,5,1,6,325978.5,2676.6,685.4623,95.9855,46112.4141,0.7899,379.4744,2.8455,1367.0162,0.379,182.0928,
Image_07.vsi - 40x_03,28122e0b-9b78-4945-83df-f613ee60e347,MPO,,Image,Geometry,1915.3,994.1,2455,1855,208,57,335,86.35,99.47,5,1,6,1770924.8,7431.9,6276.6841,95.7573,188978.3125,1.0304,2033.4136,2.605,5140.9263,0.6074,1198.6543,
Image_07.vsi - 40x_03,f45d792d-67f5-4e59-a98b-5dfe3c08d39a,NDB,,Image,Polygon,335.25,2287.1,393,240,67,82,4,98.98,157.76,5,1,6,291918.3,2019.8,9139.0479,74.9323,26433.5586,3.7359,1317.9019,8.3108,2931.7837,13.021,4593.354,
Image_07.vsi - 40x_05,2fdd57ee-3bff-4cf9-a9e5-43459d4cd1b6,Cg,,Image,Polygon,494.97,491.45,708,354,180,138,36,94.92,159.32,5,2,7,492182.2,3084.2,12234.3623,93.3809,56743.0039,0.4479,272.1886,1.5919,967.3416,4.5793,2782.5923,
Image_07.vsi - 40x_06,ffba1538-ed62-4b90-9895-c0ad6b77d68d,Cg,,Image,Rectangle,488.14,339.36,727,256,164,302,5,99.31,204.95,5,2,7,510488.1,2868,33260.0625,77.7081,55608.3555,0.2204,157.7205,3.443,2463.8508,18.6284,13330.6133,
Image_07.vsi - 40x_07,0cbeedf0-fa49-4245-99de-f4f8bd114036,Cg,,Image,Rectangle,278.41,649.9,789,438,165,89,97,87.71,131.18,5,1,6,508049,2938.5,10432.7363,94.0308,66866.5547,1.3543,963.0903,1.0991,781.552,3.5158,2500.1321,
Image_08.vsi - 40x_02,aec25035-e58b-41e8-a1cf-3ed059a280c1,AVPE_x05,,Image,Geometry,709.35,1086.2,672,166,292,214,0,100,207.14,5,2,7,394093.9,3155.1,20851.7422,13.231,35183.1211,13.895,36948.8359,70.8415,188377.5781,2.0325,5404.7446,
Image_08.vsi - 40x_02,7413d37d-c2ea-42e6-b2dd-44ac96cc5ce9,MPO_x05,,Image,Geometry,1295.6,578.13,1025,431,250,339,5,99.51,190.05,5,2,7,872537.3,3752.6,29190.4629,20.5999,63624.1367,19.6822,60789.7891,55.5502,171570.7344,4.1677,12872.3447,
Image_08.vsi - 40x_03,ef4988ab-bcc3-4811-bcd7-20561b734985,AVPE_x05,,Image,Polygon,767.78,1452.9,601,349,179,73,0,100,154.08,5,1,6,359717.9,2740.7,8257.0488,21.6388,38850.9883,18.1023,32501.5039,59.1097,106127.4062,1.1492,2063.2253,
Image_08.vsi - 40x_03,c6b6b1de-cf3f-441e-a136-519d667ebf95,MPO_x05,,Image,Polygon,1327.5,975,1022,475,313,229,5,99.51,174.95,5,2,7,871060.7,3615.3,20497.9609,32.2247,69210.2891,26.5318,56983.4805,38.0527,81727.1875,3.1908,6852.958,
Image_08.vsi - 40x_04,3fb5b5a0-5a1c-4459-a014-99df1b8af6d8,AVPE_x05,,Image,Geometry,653.76,1268.4,662,450,163,46,3,99.55,138.07,5,1,6,358769.2,2608.8,7670.8984,23.0811,37925.8672,5.7345,9422.6953,69.9379,114919.0625,1.2466,2048.3591,
Image_08.vsi - 40x_04,466d9937-2809-4f95-9fc7-d8082f95ee2c,MnPO_x05,,Image,Polygon,364.06,413.46,273,200,58,15,0,100,132.23,5,1,6,150144.1,1836.2,2604.5137,18.9695,14698.9238,3.6438,2823.4946,76.6413,59387.1523,0.7454,577.569,
Image_08.vsi - 40x_04,2a658ea9-2d14-460d-9254-47cb7936cdcd,MPO_x05,,Image,Polygon,1034.1,565.61,1214,726,334,143,11,99.09,150.16,5,1,6,916926.3,3776.9,15180.4326,31.8188,71181.9609,11.9882,26818.8672,54.5681,122074.6328,1.6249,3634.9905,
Image_08.vsi - 40x_05,b233264e-2db1-4b2e-8e3a-f5e3739c5dfb,AVPE_x05,,Image,Geometry,596.07,1339.2,592,359,170,58,5,99.16,147.47,5,1,6,341668.6,2563.8,7090.9526,16.4522,26500.4961,1.8067,2910.2104,80.6406,129892.4766,1.1004,1772.5001,
Image_08.vsi - 40x_05,b22e7e20-a198-4b47-9e55-e23a87dce364,MPO_x05,,Image,Geometry,1179.6,593.17,963,566,193,124,80,91.69,137.49,5,1,6,778105.5,3412.7,11829.2217,50.0091,51945.1406,6.9402,7208.8784,39.3794,40903.9414,3.6712,3813.3601,
Image_08.vsi - 40x_06,bf3f44d7-50f6-4f78-ba41-183257b98430,Cg,,Image,Rectangle,347.9,1004.1,705,197,125,383,,100,226.38,5,2,7,482132.3,2856.9,55464.457,14.293,30079.1367,5.7346,12068.2686,67.3099,141650.9844,12.6625,26647.6797,
Image_08.vsi - 40x_07,8f49236f-0699-4223-8c75-d2295852f181,Cg,,Image,Rectangle,332.95,720.75,709,200,125,383,1,99.86,225.53,5,2,7,503806.8,2858.3,48376.6992,29.6095,40561.8828,16.8098,23027.582,37.6559,51584.5977,15.9248,21815.2773,
Image_09.vsi - 40x_01,a08157c7-014a-46cb-b93b-766fb9584aff,AVPE,,Image,Polygon,1049.9,1570.5,1151,290,471,390,,100,208.69,5,2,7,705075.2,3668.1,56264.2578,9.0459,54894.7734,1.9383,11762.2285,86.0866,522413.8438,2.9292,17775.7793,
Image_09.vsi - 40x_01,001a3939-dfb2-4b18-81d9-027b6b8d4318,MnPO,,Image,Polygon,1211,647.22,604,194,251,159,,100,194.21,5,2,7,322783.4,2676.3,21430.7637,15.527,35489.3984,5.8432,13355.5664,76.109,173959.4531,2.5208,5761.7739,
Image_09.vsi - 40x_01,5f337832-8dda-404f-a56f-7ae88d119a39,MPO_x05,,Image,Geometry,438.2,744.15,1144,231,382,531,,100,226.22,5,2,7,845659.5,3692.2,71174.4297,6.7905,48586.8516,1.1693,8366.5781,88.851,635743.4375,3.1893,22819.6914,
Image_09.vsi - 40x_02,6b2a4d10-8b4a-47c5-92b4-5842744d8792,AVPE,,Image,Polygon,1076.8,1451.8,1201,607,399,194,1,99.92,165.45,5,1,6,719705.2,4036.4,24602.3105,24.7842,95797.5781,13.1882,50975.9766,60.0649,232166.8906,1.9627,7586.1875,
Image_09.vsi - 40x_02,454522af-0e75-487a-8c57-9b36d86ed001,MnPO,,Image,Polygon,1352.3,617.5,555,338,150,66,1,99.82,150.63,5,1,6,339944.8,2480.3,6886.0981,37.6354,51807.0625,35.9773,49524.6445,25.1158,34573.2344,1.2715,1750.3195,
Image_09.vsi - 40x_02,97138380-5cb3-4174-8a86-55846e10a270,MPO_x05,,Image,Geometry,450.09,644.07,1183,521,343,318,1,99.92,182.67,5,2,7,920697.6,3896.8,32374.3418,27.0786,93770.1562,19.1132,66186.6641,50.4777,174798.4219,3.3305,11532.9746,
Image_09.vsi - 40x_03,3b8c98d2-00c8-4c3a-b6d9-dd8d2d8f703e,AVPE,,Image,Polygon,1358.4,1532.4,1118,817,181,78,42,96.24,126.39,5,1,6,702038.2,4849.9,8489.3125,44.9399,86464.4219,39.4142,75832.8828,14.302,27517.0312,1.3439,2585.7388,
Image_09.vsi - 40x_03,a7c88e9e-02c4-4566-b4b1-37d7c888b5dd,MnPO,,Image,Polygon,1481.3,729.82,482,385,73,10,14,97.1,116.39,5,1,6,307808.1,2453.3,1468.8364,49.2908,42847.8906,48.6217,42266.2852,1.8631,1619.5591,0.2244,195.0843,
Image_09.vsi - 40x_03,21ecb7cc-7b4a-4817-9edf-acf7d54e410b,MPO_x05,,Image,Geometry,642.61,778.15,1120,678,305,113,24,97.86,145.27,5,1,6,844026.6,3795.1,11772.1328,47.9369,100070.0547,49.0234,102338.2344,1.7398,3631.7954,1.2999,2713.6211,
Image_09.vsi - 40x_05,ef40429a-c11c-41a2-945e-a83a7fbfa1bd,Cg,,Image,Rectangle,543.25,677.38,919,567,279,73,,100,146.25,5,1,6,506834.2,2877.4,17230.9297,19.3452,68783.4922,1.5347,5456.8428,78.7645,280054.3438,0.3556,1264.2986,
Image_09.vsi - 40x_06,f6200eab-ffde-4627-8961-62871271546b,Cg,,Image,Rectangle,530.87,472.86,827,597,146,24,60,92.74,116.2,5,1,6,516957.4,2984.7,3398.5029,84.1978,91541.3203,13.462,14636.1309,2.0559,2235.2578,0.2843,309.0508,
Image_09.vsi - 40x_07,eee7376e-9c4c-4015-9d8b-e2a87ff04e5e,Cg,,Image,Rectangle,386.53,462.95,734,371,158,137,68,90.74,149.59,5,1,6,504788.5,2849.4,12732.8467,79.7183,67407.8672,15.9556,13491.6875,1.3124,1109.694,3.0137,2548.3486,
Image_11.vsi - 40x_02,420f2629-d806-4c50-8fd5-fbb06bfd6679,MPO,,Image,Geometry,1307.4,623.71,2437,844,1064,529,0,100,187.07,5,2,7,1669088.3,7693.8,67140.9219,7.9194,105603.6562,0.2545,3394.2246,91.403,1218837.375,0.423,5640.9688,
Image_11.vsi - 40x_02,7634609e-0d8a-4c6c-b3ae-62eec1e5ef9d,MnPO,,Image,Polygon,1292.3,436.24,528,279,193,56,0,100,157.77,5,1,6,281588.1,2588.8,6825.7085,15.5707,28922.1504,0.7148,1327.7776,83.5968,155278.7656,0.1176,218.4797,
