Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,sp6-thresh: pS6 area µm^2,Num Detections,Num pS6,Area µm^2,Perimeter µm
26306.vsi - 40x_03,744dddfe-cb57-4461-bd59-da82c7fc4d63,MPO,,Image,Geometry,1460.4,947.99,12917.3691,122,122,1694697,7313.6
26306.vsi - 40x_03,fb8c9860-75fc-4934-bfa8-01f5e9f67abc,NDB,,Image,Geometry,1275.7,1818.2,8733.6172,62,62,349424.7,3363.3
26306.vsi - 40x_08,6a02209e-dae3-4d8d-b17a-1c02457c22ca,Cg,,Image,Rectangle,517.87,591.82,12343.2852,98,98,509487.7,3004.2
26306.vsi - 40x_09,d3b71cf6-df8d-4ad9-8edb-61b4876b958e,Cg,,Image,Rectangle,545.57,868.62,17395.0684,149,149,508045.2,2995.9
26306.vsi - 40x_10,220120f9-283e-429f-8ce4-d8897cb9d5f8,Cg,,Image,Rectangle,665.15,498.08,13251.9541,117,117,502368.5,2874
26806.vsi - 40x_01,d654d723-5f80-477c-b60b-b8f3c58833d1,MnPO,,Image,Polygon,1376.5,743.72,6447.3169,44,44,307580,2558.2
26806.vsi - 40x_01,db8bcc70-cbe0-44f7-a5ab-8a6dc06860d6,AVPE,,Image,Polygon,1080.8,1655.4,20240.6914,179,179,705062.2,5743.8
26806.vsi - 40x_01,1c7694da-5103-4dfb-a949-3b7e0035d7b0,MPO,,Image,Geometry,1413.7,1179.5,19509.7852,120,120,1768503.4,7697.3
26806.vsi - 40x_02,04ff500b-90e3-4a59-a797-f9d26344c77a,AVPE,,Image,Polygon,1289.8,2080.6,11669.917,104,104,749647.8,5349.1
26806.vsi - 40x_02,4b924e26-1a7c-46c7-a5fa-a2bbcd82512f,MnPO,,Image,Polygon,1579.9,1172.6,5626.4468,44,44,304207.8,2597.5
26806.vsi - 40x_02,8df63760-ee65-4a79-a674-a89a2f4e16f3,MPO,,Image,Geometry,1426,1480.2,16816.3105,99,99,1704192.5,7259.8
26806.vsi - 40x_03,672a099e-d10d-4a82-9264-6eca0fd0462a,MnPO,,Image,Polygon,1603.5,598.8,6975.481,49,49,306266.4,2473.5
26806.vsi - 40x_03,69cbd953-e68a-4cbf-beae-6a77e68c06b7,AVPE,,Image,Geometry,1326,1696.5,17572.5664,137,137,710867.7,5910.8
26806.vsi - 40x_03,6eebb43b-8f81-48d6-b8d7-7a6d2e308685,MPO,,Image,Geometry,1342,1247.4,32025.1543,218,218,1756935.2,7805.1
26806.vsi - 40x_04,c3c698fb-8e6f-4cbe-8e6e-eb7ddbd7d14f,Cg,,Image,Rectangle,462.28,470.22,23432.4902,164,164,479388.5,2897.4
26806.vsi - 40x_05,d8509d71-4bda-49d0-846a-45bf356eeb3c,Cg,,Image,Rectangle,552.26,485.49,34495.6094,210,210,502254.6,2861.6
26806.vsi - 40x_06,6ed19f75-f828-46ed-848c-144be437a8fc,Cg,,Image,Rectangle,471.21,494.75,35393.3164,224,224,503781.5,2905.2
27606.vsi - 40x_01,77efa71a-4727-4a4b-9302-547ffd3d1e3f,MnPO,,Image,Polygon,1874,841.41,1447.4744,14,14,303164.3,2426.6
27606.vsi - 40x_01,71c5938b-2edd-4200-8355-597705fde2b0,AVPE,,Image,Polygon,1877.1,1669.7,9118.5312,76,76,703363.1,4228.7
27606.vsi - 40x_01,9f02bc6c-c0ae-4284-8f83-3e58ec80805f,MPO,,Image,Geometry,1806.6,947.24,27972.7969,227,227,1764900.4,7438.4
27606.vsi - 40x_01,fce3abf4-db85-4298-bd20-73354046fbb2,NDB,,Image,Polygon,497.5,2285.6,15995.5459,97,97,330286.5,2332.4
27606.vsi - 40x_02,4ec1cbea-6579-4a49-b64c-d9cc43c3f71b,AVPE,,Image,Polygon,1601.7,1620.5,11384.5518,108,108,700412.5,4672.6
27606.vsi - 40x_02,86dfb0e1-6e46-458f-b0c9-f2700b0daf80,MnPO,,Image,Polygon,1525.1,816.71,2114.4526,22,22,290870.7,2452.6
27606.vsi - 40x_02,df99e49f-189c-4c4e-9bce-c11016a595a1,MPO,,Image,Geometry,1564,908.19,26151.5527,227,227,1703219.8,7121
27606.vsi - 40x_02,86cf552a-71cf-4850-9d1d-eb70282cfba0,NDB,,Image,Polygon,267.75,2091.2,7875.7266,61,61,187841.6,1674.2
27606.vsi - 40x_07,eb47a3db-adc5-47e1-9b9f-2158340329c8,Cg,,Image,Rectangle,335.73,530.25,13324.4902,97,97,509733.9,2871.9
