Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,sp6-thresh: pS6 area µm^2,Num Detections,Num pS6,Area µm^2,Perimeter µm
Image_08.vsi - 40x_02,7413d37d-c2ea-42e6-b2dd-44ac96cc5ce9,MPO_x05,,Image,Geometry,1295.6,578.13,29190.4629,249,249,872537.3,3752.6
Image_08.vsi - 40x_03,ef4988ab-bcc3-4811-bcd7-20561b734985,AVPE_x05,,Image,Polygon,767.78,1452.9,8257.0488,61,61,359717.9,2740.7
Image_08.vsi - 40x_03,c6b6b1de-cf3f-441e-a136-519d667ebf95,MPO_x05,,Image,Polygon,1327.5,975,20497.9609,186,186,871060.7,3615.3
Image_08.vsi - 40x_04,3fb5b5a0-5a1c-4459-a014-99df1b8af6d8,AVPE_x05,,Image,Geometry,653.76,1268.4,7670.8984,65,65,358769.2,2608.8
Image_08.vsi - 40x_04,466d9937-2809-4f95-9fc7-d8082f95ee2c,MnPO_x05,,Image,Polygon,364.06,413.46,2604.5137,29,29,150144.1,1836.2
Image_08.vsi - 40x_04,2a658ea9-2d14-460d-9254-47cb7936cdcd,MPO_x05,,Image,Polygon,1034.1,565.61,15180.4326,147,147,916926.3,3776.9
Image_08.vsi - 40x_05,b233264e-2db1-4b2e-8e3a-f5e3739c5dfb,AVPE_x05,,Image,Geometry,596.07,1339.2,7090.9526,56,56,341668.6,2563.8
Image_08.vsi - 40x_05,b22e7e20-a198-4b47-9e55-e23a87dce364,MPO_x05,,Image,Geometry,1179.6,593.17,11829.2217,125,125,778105.5,3412.7
Image_08.vsi - 40x_06,bf3f44d7-50f6-4f78-ba41-183257b98430,Cg,,Image,Rectangle,347.9,1004.1,55464.457,307,307,482132.3,2856.9
Image_08.vsi - 40x_07,8f49236f-0699-4223-8c75-d2295852f181,Cg,,Image,Rectangle,332.95,720.75,48376.6992,306,306,503806.8,2858.3
Image_09.vsi - 40x_01,a08157c7-014a-46cb-b93b-766fb9584aff,AVPE,,Image,Polygon,1049.9,1570.5,56264.2578,347,347,705075.2,3668.1
Image_09.vsi - 40x_01,001a3939-dfb2-4b18-81d9-027b6b8d4318,MnPO,,Image,Polygon,1211,647.22,21430.7637,153,153,322783.4,2676.3
Image_09.vsi - 40x_01,5f337832-8dda-404f-a56f-7ae88d119a39,MPO_x05,,Image,Geometry,438.2,744.15,71174.4297,436,436,845659.5,3692.2
Image_09.vsi - 40x_02,6b2a4d10-8b4a-47c5-92b4-5842744d8792,AVPE,,Image,Polygon,1076.8,1451.8,24602.3105,186,186,719705.2,4036.4
Image_09.vsi - 40x_02,454522af-0e75-487a-8c57-9b36d86ed001,MnPO,,Image,Polygon,1352.3,617.5,6886.0981,66,66,339944.8,2480.3
Image_09.vsi - 40x_02,97138380-5cb3-4174-8a86-55846e10a270,MPO_x05,,Image,Geometry,450.09,644.07,32374.3418,267,267,920697.6,3896.8
Image_09.vsi - 40x_03,3b8c98d2-00c8-4c3a-b6d9-dd8d2d8f703e,AVPE,,Image,Polygon,1358.4,1532.4,8489.3125,73,73,702038.2,4849.9
Image_09.vsi - 40x_03,a7c88e9e-02c4-4566-b4b1-37d7c888b5dd,MnPO,,Image,Polygon,1481.3,729.82,1468.8364,10,10,307808.1,2453.3
Image_09.vsi - 40x_03,21ecb7cc-7b4a-4817-9edf-acf7d54e410b,MPO_x05,,Image,Geometry,642.61,778.15,11772.1328,112,112,844026.6,3795.1
Image_09.vsi - 40x_05,ef40429a-c11c-41a2-945e-a83a7fbfa1bd,Cg,,Image,Rectangle,543.25,677.38,17230.9297,153,153,506834.2,2877.4
Image_09.vsi - 40x_06,f6200eab-ffde-4627-8961-62871271546b,Cg,,Image,Rectangle,530.87,472.86,3398.5029,24,24,516957.4,2984.7
Image_09.vsi - 40x_07,eee7376e-9c4c-4015-9d8b-e2a87ff04e5e,Cg,,Image,Rectangle,386.53,462.95,12732.8467,122,122,504788.5,2849.4
Image_11.vsi - 40x_02,420f2629-d806-4c50-8fd5-fbb06bfd6679,MPO,,Image,Geometry,1307.4,623.71,67140.9219,406,406,1669088.3,7693.8
Image_11.vsi - 40x_02,7634609e-0d8a-4c6c-b3ae-62eec1e5ef9d,MnPO,,Image,Polygon,1292.3,436.24,6825.7085,37,37,281588.1,2588.8
Image_11.vsi - 40x_02,4ab4b331-0f51-4d1b-823d-4e25835a7a54,AVPE_x05,,Image,Geometry,1484.9,1210.7,14745.7705,103,103,295327.9,3071.3
Image_11.vsi - 40x_04,da08823e-58cf-47c0-bbe1-f22538630237,AVPE,,Image,Geometry,1580.8,1520.4,13779.0889,85,85,669355.7,5233.7
Image_11.vsi - 40x_04,0a628b68-9286-4c30-9459-740b6e016798,MnPO,,Image,Polygon,1530.8,601.09,2871.0515,12,12,279706.6,2311.3
Image_11.vsi - 40x_04,bf754884-7966-4059-a5d9-7ca6f0fbd6d8,MPO,,Image,Geometry,1501,886.59,28120.457,191,191,1775365.7,7670
Image_11.vsi - 40x_05,796ed92e-c0f8-4c84-a261-d4bc5e779e65,Cg,,Image,Rectangle,238.22,441.87,17250.127,153,153,421047.1,2720.4
Image_11.vsi - 40x_06,bb33e7ac-0d2e-4aff-b306-66afebeccfe4,Cg,,Image,Rectangle,210.02,449.02,17444.209,127,127,376805.8,2634.2
Image_11.vsi - 40x_07,c114a648-65d0-468e-8b4a-2ef0c5db17a6,Cg,,Image,Rectangle,263.29,515.38,38740.4883,291,291,505119.8,2986.6
Image_12.vsi - 40x_02,b7511e54-f858-4a7c-afb6-88d0fb7f77a9,MnPO,,Image,Polygon,1084.3,862.16,10651.8232,93,93,312795.3,2842.4
Image_12.vsi - 40x_02,ff563bd2-4edd-4e3f-98f3-9a68e8db87f6,AVPE,,Image,Polygon,1048.1,1741.9,38660.2422,309,309,734971.1,4049.5
Image_12.vsi - 40x_02,a65918d0-5e4b-41d2-9cdd-dfaa356b0fd1,MPO_x05,,Image,Polygon,521.14,837.59,31335.0449,279,279,845477.2,3661.5
Image_12.vsi - 40x_03,7fec1e59-759d-47e4-aa0a-aac6f47d36da,AVPE,,Image,Polygon,1306.6,1499.3,7898.8843,51,51,702182.8,4173.5
Image_12.vsi - 40x_03,7972b071-6f7d-464f-a36a-44b8875ec8cb,MnPO,,Image,Polygon,1295.5,678.87,1234.2758,5,5,316863.2,2471.1
Image_12.vsi - 40x_03,8f9f5a80-4f40-49ab-9667-ad6d104f6a9f,MPO_x05,,Image,Polygon,613.82,821.93,3630.7664,22,22,823105.5,3751.5
Image_12.vsi - 40x_04,9b05a3a0-27df-4b8d-91b1-9950446a01b1,AVPE,,Image,Polygon,1250,1580.4,15218.7734,120,120,720102.6,4879.4
Image_12.vsi - 40x_04,0b129d5f-9281-4361-a373-1e32fca4d28f,MnPO,,Image,Polygon,1268.7,644.42,1467.4369,7,7,325897.2,2760.6
Image_12.vsi - 40x_04,b9be2b37-4d1c-49eb-8f9d-548dbd211ffb,MPO_x05,,Image,Polygon,563.45,863.92,6578.7109,49,49,910846.4,3670.5
Image_12.vsi - 40x_06,ec19400a-c059-4cff-b4ad-1ff7d8bb634f,Cg,,Image,Rectangle,397.04,451.54,16329.5234,137,137,502324.6,2864
Image_12.vsi - 40x_07,a2d2e4df-73e2-422c-a6f3-0cebcaadc610,Cg,,Image,Rectangle,245.37,314.06,10499.252,100,100,308244.5,2237.7
Image_12.vsi - 40x_08,7a2a8682-5741-403d-866f-72488fd26399,Cg,,Image,Rectangle,287.43,504.9,18831.6367,189,189,580498,3169.3
Image_13.vsi - 40x_02,363e42f0-e598-4851-b82c-56e400160c3b,AVPE,,Image,Polygon,1707.4,1677,12010.5752,93,93,733332.4,4195.7
Image_13.vsi - 40x_02,01561e9d-81b8-47a5-9013-42fd2a75e5d6,MnPO,,Image,Polygon,1486,713.56,3845.9189,29,29,320382.2,2801.8
Image_13.vsi - 40x_02,f5a57473-2416-493d-b6d2-41994c87ba89,MPO,,Image,Geometry,1601.4,964.35,38740.3828,349,349,1792159.3,7372.2
Image_13.vsi - 40x_03,534ad34a-dfd2-49fb-9e54-3980039d0ec9,AVPE,,Image,Polygon,1627.9,1670.2,4497.2651,35,35,724083.8,5071.1
Image_13.vsi - 40x_03,1d65b53f-882b-46ab-bc0d-e37f607aac91,MnPO,,Image,Polygon,1557.4,657.08,1308.8978,8,8,322671.6,2778.7
Image_13.vsi - 40x_03,ae5641e4-8c0b-48b1-84c7-bf9295ca45ef,MPO,,Image,Geometry,1623.9,984.72,18324.1484,154,154,1744987.7,7009.9
Image_13.vsi - 40x_04,1f95f767-1505-423f-99f5-c9ba7105e038,AVPE,,Image,Polygon,1924.6,1890.7,3619.5703,29,29,717011.7,5429.1
Image_13.vsi - 40x_04,8cb8048a-bb11-4ca5-9e04-2c2abd4bd2de,MnPO,,Image,Polygon,1686.5,891.5,882.8176,10,10,308680.9,2729.1
Image_13.vsi - 40x_04,b081aa97-5a5a-429e-914a-d8fe43008710,MPO,,Image,Geometry,1825.1,1149.2,18219.8457,147,147,1759341.3,7505
Image_13.vsi - 40x_06,160da246-1537-46a6-81eb-669a9157e85f,Cg,,Image,Rectangle,369.59,644.9,14472.8418,128,128,509166.4,2870.5
Image_13.vsi - 40x_07,eed3cd52-3fc1-4bb1-b340-085f58a198e1,Cg,,Image,Rectangle,377.39,396.99,15561.834,138,138,431306.6,2674.4
Image_13.vsi - 40x_09,6ed273f4-ee44-4b9f-b7d0-772d9cfd5a3a,Cg,,Image,Rectangle,497.49,524.72,17096.6582,148,148,477412.1,3008.7
Image_14.vsi - 40x_02,42c26be2-f086-4128-9830-2daa96fa3cb3,AVPE,,Image,Geometry,1537.2,1530.3,5718.708,45,45,717102.1,5942
Image_14.vsi - 40x_02,1f30b693-c16c-4520-aa5e-31f04c6ce1e4,MnPO_x05,,Image,Polygon,1533.5,571.14,1372.9843,10,10,219275.5,1904
Image_14.vsi - 40x_02,8c876215-7fb4-4a61-8566-12854c4b979b,MPO_x05,,Image,Polygon,757.2,929.37,11116.958,93,93,984138.4,3952.8
Image_14.vsi - 40x_03,0a2ede0d-2bae-4131-8e75-cd5c2b4cc43a,AVPE,,Image,Geometry,1557.9,1582.7,4368.5908,33,33,679216.1,5347.6
Image_14.vsi - 40x_03,1c7ac534-96c6-4427-9cae-a1f96b364b56,MnPO,,Image,Polygon,1626.9,767.25,2870.5234,24,24,308795.5,2165.8
Image_14.vsi - 40x_03,f70c4872-fb2d-4fe6-b851-b0e1467cda5d,MPO_x05,,Image,Polygon,810.01,1046.8,7564.9062,59,59,841413.8,3688.4
Image_14.vsi - 40x_04,07ba8977-9c5a-471d-89a2-d2271bca613c,Cg,,Image,Rectangle,359.76,406.93,68278.7422,413,413,502121.2,2834.8
Image_14.vsi - 40x_05,f098d35c-1a95-41f3-9254-a2d6e76e859a,Cg,,Image,Rectangle,330.4,444.62,45714.332,326,326,503117.9,2849.8
Image_14.vsi - 40x_06,69fa14ca-5d93-4324-9f2c-fb1c5ca534c7,Cg,,Image,Rectangle,361.61,361.46,51801.4492,335,335,504725.4,2842.2
Image_15.vsi - 40x_02,4ae98a78-4326-4468-9140-9409d4c17ca1,AVPE,,Image,Geometry,1672.1,1422.4,2561.3406,19,19,670854.6,5433.9
Image_15.vsi - 40x_02,12cb169c-34f9-4e3f-bb0b-baa35a23fbf7,MnPO,,Image,Geometry,1460.4,457.24,620.9799,7,7,299129.1,4178.6
Image_15.vsi - 40x_02,9ec3862b-15cc-44c6-98c2-bfc59898cf89,MPO,,Image,Geometry,1398.1,810.31,21567.834,178,178,1800879.8,7612
Image_15.vsi - 40x_03,c378b802-1610-448d-bd0e-018f69fd8f66,AVPE,,Image,Geometry,1467.1,1584.1,4600.0093,44,44,690664,6389.6
Image_15.vsi - 40x_03,b70e5950-5990-4122-a549-274033b070b3,MnPO,,Image,Geometry,1491.4,562.72,579.0479,6,6,285504.1,3522.2
Image_15.vsi - 40x_03,f65d56cc-759c-4cbd-b0f9-494fa4c2de6f,MPO_x05,,Image,Polygon,2287.7,1001.5,10450.3486,104,104,927133.3,3749.9
Image_15.vsi - 40x_04,232cbaa0-4c5c-46a5-9c47-0fda52ad7b3c,AVPE,,Image,Geometry,1495.4,1551.7,2582.4915,26,26,680890.5,6734.6
Image_15.vsi - 40x_04,607bbbda-6470-484f-a7f0-8eedeaaee45b,MnPO,,Image,Geometry,1463.7,668.1,704.2631,6,6,320433.4,4147.5
Image_15.vsi - 40x_04,e2c5f0fa-cd8d-4444-adfd-625968050abd,MPO,,Image,Geometry,1361.3,800.14,19670.1445,185,185,1796605.1,7292.2
Image_15.vsi - 40x_07,f14c626a-87b4-48d5-9b20-387383cd6faa,Cg,,Image,Rectangle,342.19,518.61,25147.7969,191,191,509012.4,2856.3
Image_15.vsi - 40x_08,70319f9c-96ef-4fd9-bd15-c91dc897a182,Cg,,Image,Rectangle,490.02,348.64,24940.8555,222,222,516270.5,2915.9
Image_17.vsi - 40x_02,7853c20f-e82f-466a-b77e-5983cf2d69cd,AVPE,,Image,Polygon,1522.3,1529.3,3963.6877,22,22,719723.7,4085.9
Image_17.vsi - 40x_02,58ad77f7-e9cd-43da-b9ce-507305a3b6c5,MnPO,,Image,Polygon,1505.4,670.18,533.6566,3,3,308974.1,2644.8
Image_17.vsi - 40x_02,18b6de4a-ef26-48ad-9062-8de1d6c0a733,MPO,,Image,Geometry,1534.1,1021.5,4328.7451,22,22,1757668.5,7043.1
Image_17.vsi - 40x_03,3957da84-d95a-41b4-8026-9d8034834cfc,AVPE,,Image,Polygon,1676.4,1462.5,9352.748,55,55,713539.1,4594
Image_17.vsi - 40x_03,3d7d2673-5fff-43fd-9ad0-5e10863890bf,MnPO,,Image,Polygon,1636.8,562.03,1918.1273,13,13,334810.4,2588.1
Image_17.vsi - 40x_03,8a495168-eb2f-4ea9-8fe4-6a3bd2ef4ae7,MPO,,Image,Geometry,1569.9,1002.2,9225.8174,38,38,1780812.7,7477.2
Image_17.vsi - 40x_04,7b872ae6-4e3b-44a3-a96d-e97c8c8fc4f1,AVPE,,Image,Geometry,1399.1,1379.8,4949.3813,22,22,697904.7,5057.1
Image_17.vsi - 40x_04,1b31e085-9eec-480b-bbcc-6179482c9c3f,MnPO,,Image,Polygon,1406.9,528.21,938.7446,3,3,302719.8,2227.2
Image_17.vsi - 40x_05,5325a606-f385-432b-8324-5eefd54ea8c9,Cg,,Image,Rectangle,231.2,517.82,27714.9473,201,201,478883,2996.1
Image_17.vsi - 40x_06,1e9d1919-1ad8-40cd-85f3-6133c3e0240b,Cg,,Image,Rectangle,129.9,414.25,14338.834,106,106,215254.1,2176.6
Image_17.vsi - 40x_07,60fc39ec-9cf5-405f-98b0-efce7ce1e68f,Cg,,Image,Rectangle,367.76,476.17,40513.832,259,259,612512.8,3136.6
Image_18.vsi - 40x_02,f6635e3d-57f8-4e00-a4d4-edc526818572,AVPE,,Image,Polygon,1814.5,1752,10352.3311,78,78,671830.9,4369.9
Image_18.vsi - 40x_02,acb43978-48ef-44b4-a8e8-0adbc409f66c,MnPO,,Image,Polygon,1800.2,885.85,1727.5582,15,15,344482.9,2657.7
Image_18.vsi - 40x_02,194c395c-ecc1-48d4-8f5c-55d00233b8a0,MPO,,Image,Geometry,1913.6,1223.2,21541.7988,197,197,1849198,7518.4
Image_18.vsi - 40x_03,720ce8e6-43d4-4dca-9f93-ffba47735dcc,AVPE,,Image,Polygon,1729.8,1760.6,12188.0732,98,98,722400.5,5218.4
Image_18.vsi - 40x_03,5a2e735f-977e-420f-bd17-1d59ecb60927,MnPO,,Image,Polygon,1731.5,811.32,965.1237,9,9,292753,2421.8
Image_18.vsi - 40x_03,ea480927-dadc-468d-bbfd-9a35078c7401,MPO,,Image,Geometry,1891,1002.6,11862.1758,125,125,1772299,7339.8
Image_18.vsi - 40x_04,b1247d3e-6762-4d68-a881-96ed406712f3,AVPE,,Image,Polygon,1366.4,1744.7,4872.6997,35,35,696371.4,5186.8
Image_18.vsi - 40x_04,9ca79807-2f60-4cea-b16b-f715583b2758,MnPO,,Image,Polygon,1387.4,763.18,509.0467,3,3,338445.6,2790.3
Image_18.vsi - 40x_04,07460948-1dee-4b09-bd3a-c76ea11cf577,MPO,,Image,Geometry,1262.8,995.29,8557.043,77,77,1901217.4,7563.6
Image_18.vsi - 40x_05,06497048-d5ce-48f6-8270-676058c4d954,Cg,,Image,Rectangle,375.26,465.47,9750.126,95,95,507064.3,2855.3
Image_18.vsi - 40x_06,8d079883-cf24-495d-9b14-f875e7b3d218,Cg,,Image,Rectangle,389.66,399.86,16988.7656,151,151,504930.2,2842.9
Image_18.vsi - 40x_07,71dfe584-fc73-4030-9ee2-0eb48bbe3aac,Cg,,Image,Rectangle,346.88,516.78,18551.6309,158,158,508774.5,2862.5
