Image,Name,DAB-Thesholder: FOS area µm^2,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max,MIDLOW-SENS-FOS-thersholder: FOS area µm^2,DAB_FOS_LOWSENS: FOS area µm^2,Num Detections,Num FOS,Area µm^2
SH4-36.vsi - 20x,ATAN,990.9812,0.2775,0.0171,0.2427,0.6678,572.7296,266.2869,19,19,37165.6
SH4-36.vsi - 20x,PH,6955.646,0.2782,0.0202,0.2365,3.348,4457.0801,2700.5413,101,101,714276.6
SH4-36.vsi - 20x,VMH,1722.4812,0.2738,0.0086,0.2386,0.5702,1077.1541,628.1038,35,35,599946.7
SH4-36.vsi - 20x,PT,2536.8367,0.2838,0.0347,0.2406,1.0425,1768.8894,1194.5944,20,20,40498.5
SH4-36.vsi - 20x,ME,10898.7979,0.2875,0.0336,0.2427,1.2931,7327.5352,4756.0791,89,89,159038.4
SH4-36.vsi - 20x,BTAN,325.085,0.2719,0.0137,0.2406,0.7095,226.7446,172.6347,5,5,51819.4
SH4-36.vsi - 20x,ARC,1395.8705,0.2744,0.0121,0.2204,0.982,807.6895,496.31,24,24,306885.9
SH4-36.vsi - 20x,VMH,1416.7604,0.2744,0.0139,0.2406,2.2785,765.2043,456.6427,31,31,608325.1
SH4-36.vsi - 20x,ATAN,754.2677,0.2794,0.017,0.2468,0.4995,421.5665,164.4196,11,11,26550.4
SH4-36.vsi - 20x,DMH,954.0131,0.2733,0.0082,0.2365,0.5858,567.0962,290.5802,17,17,404766.7
SH4-36.vsi - 20x,PH,4347.5723,0.2776,0.0125,0.2365,0.8224,2625.519,1572.7241,72,72,707844.1
SH6-30.vsi - 20x,PT,3007.4473,0.2947,0.0906,0.2406,2.2774,2415.5574,1879.6171,7,7,26454
SH6-30.vsi - 20x,ME,102.1025,0.272,0.009,0.2427,0.3631,25.5851,0.9389,7,7,50080.9
SH6-30.vsi - 20x,BTAN,1862.4907,0.3033,0.0589,0.2468,1.1446,1312.3488,874.7918,26,26,9017.1
SH6-30.vsi - 20x,ARC,3579.3386,0.275,0.0215,0.2365,1.5307,2141.6331,1343.7572,70,70,302431.6
SH6-30.vsi - 20x,VMH,3065.3054,0.2729,0.0098,0.2406,0.7355,1603.2908,614.1381,53,53,594982.5
SH6-30.vsi - 20x,DMH,7486.9312,0.2752,0.0156,0.2365,0.7971,4573.1519,2400.3376,105,105,412535.6
SH6-30.vsi - 20x,ATAN,12884.9854,0.3324,0.0685,0.2509,1.6429,9806.4688,6023.7881,23,23,26361.3
SH6-30.vsi - 20x,PH,7945.4536,0.275,0.018,0.2365,1.4324,5159.2607,3082.7786,97,97,701922.3
SH6-30.vsi - 20x,PT,4096.7754,0.3303,0.1471,0.2427,2.4401,3274.6519,2659.3484,14,14,16113.9
SH6-30.vsi - 20x,BTAN,930.4238,0.2905,0.0284,0.2489,0.5166,578.0109,353.015,9,9,8109.5
SH6-30.vsi - 20x,ARC,4550.9556,0.2742,0.0172,0.2365,0.9261,2992.864,1958.9517,67,67,300549.9
SH6-30.vsi - 20x,VMH,1572.144,0.2709,0.0085,0.2345,1.5891,935.8495,574.1188,26,26,618078.2
SH6-30.vsi - 20x,ATAN,2821.1982,0.2916,0.0403,0.2489,1.0854,1712.9075,847.6819,17,17,23875.7
SH6-30.vsi - 20x,DMH,9853.1279,0.2754,0.0176,0.2366,1.0125,6217.7544,3458.2092,109,109,400983.8
SH6-30.vsi - 20x,BTAN,2549.2769,0.3193,0.0911,0.2468,1.6769,1839.307,1281.0876,16,16,8023.4
SH6-30.vsi - 20x,PT,2304.583,0.2981,0.0799,0.2345,1.6444,1787.6674,1427.3167,5,5,15337.8
SH6-30.vsi - 20x,ME,263.4714,0.2754,0.0167,0.2406,0.5744,164.8945,104.2145,5,5,21552
SH6-30.vsi - 20x,ME,108.3226,0.2717,0.0171,0.2345,0.819,62.2022,67.8333,4,4,15320.4
SH6-30.vsi - 20x,PT,566.1409,0.294,0.0998,0.2406,1.3491,460.4135,391.9781,3,3,6635.2
SH6-30.vsi - 20x,BTAN,3649.8716,0.3068,0.0515,0.2406,0.7669,2604.1592,1594.9049,21,21,16785.6
SH6-30.vsi - 20x,ARC,1967.6445,0.274,0.0131,0.2345,1.8794,1081.3792,637.3752,50,50,304523
SH6-30.vsi - 20x,ATAN,5141.3896,0.3111,0.0475,0.2365,0.9056,3641.5273,1924.5656,15,15,14486.6
SH6-30.vsi - 20x,VMH,1939.7131,0.2708,0.0119,0.1924,1.2518,1259.4182,893.4518,29,29,607935.7
SH6-30.vsi - 20x,DMH,7918.2261,0.2747,0.0154,0.1825,0.8939,4631.1289,2269.6001,111,111,401808.9
SH6-30.vsi - 20x,PH,4627.8257,0.2735,0.0127,0.2387,1.0429,3019.9749,1892.7612,66,66,694449.7
SH6-30.vsi - 20x,cp,224608.6406,1.5392,1.3887,0.253,7.2196,223301.0469,222210.1562,1,1,228682
SH6-30.vsi - 20x,cp,133126.5469,1.0816,1.1304,0.2551,7.2196,131310.5781,127696.9609,2,2,140709
SH6-30.vsi - 20x,cp,101625.3359,0.9807,1.0917,0.2406,7.2196,96395.3203,90788.1094,35,35,121725.7
SH6-30.vsi - 20x,cp,160730.0156,0.6269,0.522,0.2365,7.2196,151271.2656,140369.2344,36,36,229023.4
SH14-34.vsi - 20x,PT,1133.5726,0.2776,0.03,0.2406,0.8089,790.0851,595.3607,19,19,27940.9
SH14-34.vsi - 20x,ME,1136.8588,0.2765,0.0193,0.2345,0.9606,770.603,637.7272,21,21,75733.5
SH14-34.vsi - 20x,BTAN,2150.0208,0.285,0.0388,0.2365,1.585,1384.6442,936.6399,32,32,25976.1
SH14-34.vsi - 20x,ARC,1074.1888,0.2698,0.0098,0.2304,0.5644,599.9577,361.2301,29,29,298477
SH14-34.vsi - 20x,VMH,1018.2086,0.2701,0.0097,0.2304,0.8814,643.9687,449.7186,20,20,582451.7
SH14-34.vsi - 20x,DMH,2018.109,0.2704,0.0097,0.2304,0.516,1046.5225,414.863,45,45,408592.4
SH14-34.vsi - 20x,ATAN,849.5634,0.2799,0.0428,0.2427,1.4109,515.2219,325.9052,16,16,25810.3
SH14-34.vsi - 20x,PH,3205.5496,0.2733,0.0149,0.2325,1.4802,1881.5575,1036.3948,63,63,699437.1
SH14-34.vsi - 20x,cp,211667.7812,0.6751,0.4258,0.2345,6.4415,206541.3125,201497.5156,6,6,247225.1
SH14-34.vsi - 20x,PT,1078.5311,0.2846,0.0321,0.2427,0.8381,744.079,560.5052,15,15,16366.6
SH14-34.vsi - 20x,ME,392.5666,0.2722,0.0154,0.2365,1.0504,257.3762,226.9717,11,11,61096.2
SH14-34.vsi - 20x,BTAN,2158.3533,0.2891,0.0384,0.2386,0.8681,1332.5352,841.6967,36,36,17012
SH14-34.vsi - 20x,ARC,1508.77,0.2703,0.0098,0.2365,0.6144,946.4122,574.7056,28,28,306620.7
SH14-34.vsi - 20x,VMH,363.5789,0.2686,0.0073,0.2043,1.2822,138.3705,68.6548,15,15,599828.5
SH14-34.vsi - 20x,DMH,1747.4788,0.2691,0.0085,0.2102,0.4454,892.5427,323.2059,52,52,401194.3
SH14-34.vsi - 20x,ATAN,2309.1599,0.2846,0.0312,0.2468,0.9216,1382.8838,813.5306,29,29,26718.2
SH14-34.vsi - 20x,PH,2707.3596,0.27,0.009,0.2123,0.6093,1542.849,863.6428,65,65,693279
SH14-34.vsi - 20x,PT,248.2147,0.2762,0.0228,0.2345,0.6425,152.454,108.6742,5,5,7021.8
SH14-34.vsi - 20x,ME,816.7028,0.2739,0.0313,0.2427,1.1826,585.17,543.3708,16,16,33584.4
SH14-34.vsi - 20x,BTAN,1558.6477,0.2925,0.0831,0.2406,1.581,1110.8372,829.7261,27,27,14963.7
SH14-34.vsi - 20x,ARC,2695.2717,0.2699,0.0147,0.2345,1.5459,1789.5452,1154.1056,52,52,299607
SH14-34.vsi - 20x,VMH,692.6541,0.269,0.0073,0.2304,0.5156,341.4079,164.7716,21,21,598824.3
SH14-34.vsi - 20x,DMH,2743.9758,0.2703,0.0102,0.2345,0.5832,1589.0898,780.5528,56,56,403689
SH14-34.vsi - 20x,ATAN,6437.5049,0.3163,0.0532,0.2489,0.8305,4505.5508,2841.2544,36,36,16561.2
SH14-34.vsi - 20x,PH,3324.1997,0.2709,0.0106,0.2304,0.9646,2069.9246,1150.5848,64,64,710551.2
SH14-34.vsi - 20x,cp,62948.6641,0.5474,0.3111,0.2386,4.6342,60185.4297,59339.2617,12,12,94478.6
SH14-34.vsi - 20x,cp,18655.6562,0.457,0.1846,0.2427,1.9659,17754.9688,16111.1211,4,4,26705
SH14-34.vsi - 20x,PT,359.5886,0.2806,0.0257,0.2427,0.6224,217.1208,124.7523,9,9,4847.5
SH14-34.vsi - 20x,ME,1185.5627,0.2731,0.0249,0.2365,0.8184,815.3181,637.0231,16,16,42416.3
SH14-34.vsi - 20x,BTAN,966.5705,0.2948,0.043,0.2406,0.7358,665.6808,400.6626,15,15,4628.1
SH14-34.vsi - 20x,ATAN,3859.5925,0.2988,0.0438,0.2407,0.8948,2700.2791,1784.4392,28,28,16599.5
SH19-11.vsi - 20x,ATAN,8953.6865,0.3238,0.0932,0.2427,3.2093,7062.4131,4550.8188,19,19,23981.2
SH19-11.vsi - 20x,BTAN,1628.4764,0.2912,0.0522,0.2365,0.894,1131.3756,764.7094,12,12,11624.1
SH19-11.vsi - 20x,PT,3425.3633,0.3122,0.1435,0.2406,4.7425,2692.0637,2190.7351,18,18,24334.4
SH19-11.vsi - 20x,ME,6665.2993,0.2896,0.0726,0.2427,3.5488,4743.0928,3505.1526,69,69,120456.4
SH19-11.vsi - 20x,VMH,904.7222,0.2706,0.0086,0.2365,0.9577,486.468,338.4625,26,26,567193.3
SH19-11.vsi - 20x,DMH,3339.9258,0.2719,0.014,0.2365,0.8501,2165.927,1345.8698,54,54,413643.4
SH19-11.vsi - 20x,PH,5926.2881,0.2738,0.0155,0.2345,1.8416,3857.5918,2552.7866,102,102,717598.1
SH19-11.vsi - 20x,ATAN,4939.6494,0.3188,0.0675,0.2427,1.3827,3711.1233,2222.8914,11,11,15137.2
SH19-11.vsi - 20x,ATAN,7280.4961,0.3731,0.0866,0.2718,1.2226,5932.563,4004.0444,7,7,10530.7
SH19-11.vsi - 20x,cp,37760.3281,0.8677,0.3788,0.3079,5.6176,37575.9883,36717.4336,1,1,37852.1
SH19-11.vsi - 20x,cp,102789.6562,0.9077,0.6777,0.2489,7.2196,101340.5078,99752.3203,5,5,108680.1
SH19-11.vsi - 20x,cp,128181.1406,1.1081,0.9316,0.2489,7.2196,126211.0547,124976.4688,2,2,135880.8
SH19-11.vsi - 20x,cp,128519.6094,0.8259,0.6373,0.253,7.2196,125619.6641,122400.5547,3,3,138819.8
SH19-11.vsi - 20x,PT,1243.7729,0.308,0.0948,0.2489,1.2252,978.3348,813.6479,5,5,7921.9
SH19-11.vsi - 20x,BTAN,2695.5063,0.3282,0.1275,0.2468,2.472,1945.5201,1230.8582,14,14,10126.5
SH19-11.vsi - 20x,BTAN,1276.5161,0.309,0.0469,0.2509,0.6911,816.8438,415.4498,12,12,5568
SH21-12.vsi - 20x,cp,572411.375,1.1817,1.245,0.2304,7.2196,556230.75,537725.0625,58,58,661369.3
SH21-12.vsi - 20x,ME,990.7465,0.2746,0.0173,0.2386,1.2553,579.0671,267.5779,17,17,67984.8
SH21-12.vsi - 20x,BTAN,1473.5623,0.2925,0.0529,0.2447,1.0938,1054.0337,660.7296,12,12,11292.2
SH21-12.vsi - 20x,PT,44013.9297,0.431,0.3739,0.2365,7.2196,38004.832,32088.8047,51,51,85846.2
SH21-12.vsi - 20x,ARC,326.6107,0.2677,0.0069,0.2365,0.3983,170.4105,58.7967,8,8,301826.9
SH21-12.vsi - 20x,VMH,637.9647,0.2691,0.0076,0.2365,1.0837,410.5344,312.5262,12,12,609441.7
SH21-12.vsi - 20x,DMH,12784.9951,0.2752,0.023,0.2243,1.1201,8848.6719,5883.1924,117,117,415978.7
SH21-12.vsi - 20x,ATAN,484.5762,0.2708,0.0138,0.2365,0.4979,278.1494,172.6347,9,9,27055.5
SH21-12.vsi - 20x,PH,2217.2676,0.2707,0.0107,0.2304,1.3855,1395.5588,848.0341,40,40,705568
SH21-12.vsi - 20x,PT,24494.7461,0.3697,0.2794,0.2345,5.9892,20581.7656,17412.043,56,56,81826.3
SH21-12.vsi - 20x,BTAN,1117.7291,0.2982,0.0897,0.2386,1.5455,835.3871,670.8224,12,12,9366.9
SH21-12.vsi - 20x,ME,5703.4229,0.2786,0.0273,0.2345,1.4169,3562.7771,2154.8232,91,91,187037.2
SH21-12.vsi - 20x,ARC,1599.8408,0.2697,0.0224,0.2304,1.6087,1091.4723,841.2272,25,25,303816.7
SH21-12.vsi - 20x,VMH,1023.3724,0.2681,0.0086,0.2304,0.7342,672.8399,442.2076,20,20,604488.3
SH21-12.vsi - 20x,DMH,7633.1606,0.2715,0.0211,0.2365,1.2286,4757.5283,2636.4634,111,111,404625.3
SH21-12.vsi - 20x,ATAN,2172.9058,0.2848,0.052,0.2406,1.3934,1374.4336,936.4052,29,29,27398.5
SH21-12.vsi - 20x,PH,5433.7314,0.2697,0.0139,0.2304,0.9858,3450.2263,2317.365,86,86,703400.8
SH21-12.vsi - 20x,VMH,741.1234,0.2678,0.0078,0.2325,0.674,443.0439,281.6609,18,18,595357
SH21-12.vsi - 20x,DMH,12541.3574,0.2749,0.0211,0.2345,1.0224,8481.5615,4964.0386,136,136,396747.7
SH21-12.vsi - 20x,ATAN,329.4273,0.2699,0.0265,0.2365,0.868,247.8698,204.9083,3,3,24588.8
SH21-12.vsi - 20x,ARC,1068.9077,0.2682,0.0111,0.2345,0.8681,723.7753,457.699,14,14,314830.8
SH21-12.vsi - 20x,PT,26308.416,0.3939,0.2633,0.2304,5.5664,22429.2871,17751.7969,31,31,55429.3
SH21-12.vsi - 20x,ME,744.7616,0.2778,0.0131,0.2406,0.5361,360.6553,131.0897,19,19,42153.6
SH21-12.vsi - 20x,BTAN,3234.3025,0.345,0.139,0.2427,2.259,2606.5063,2001.7875,9,9,7692.6
SH21-12.vsi - 20x,cp,386568.9375,1.1773,1.0227,0.2468,7.2196,381679.4375,377248.875,5,5,403312.9
SH21-12.vsi - 20x,cp,585331.875,1.7198,1.6923,0.2345,7.2196,578318.5,574186.4375,21,21,636270.2
SH26-25.vsi - 20x,PT,3339.4565,0.3023,0.0429,0.2427,0.8004,2225.6648,1340.0017,31,31,17240.2
SH26-25.vsi - 20x,BTAN,3808.1892,0.3212,0.0701,0.253,1.1878,2595.1223,1806.8547,34,34,12346.6
SH26-25.vsi - 20x,ME,2278.7639,0.287,0.0237,0.2489,0.9426,1282.0692,721.6387,39,39,52111.1
SH26-25.vsi - 20x,VMH,1300.1053,0.2802,0.01,0.2427,0.9035,805.6944,519.3123,22,22,613892.5
SH26-25.vsi - 20x,ATAN,1176.2914,0.2913,0.0371,0.2489,0.9279,827.5238,583.6249,14,14,24560.9
SH26-25.vsi - 20x,DMH,5708.939,0.2833,0.0147,0.2063,1.0184,3126.8923,1384.0112,93,93,412313.7
SH26-25.vsi - 20x,PH,16735.4238,0.2955,0.0225,0.2468,1.1066,8729.4316,5026.9429,360,360,698961.6
SH26-25.vsi - 20x,cp,109390.1719,0.4929,0.1514,0.2571,1.6617,105469.5625,93706.9375,4,4,120654.2
SH26-25.vsi - 20x,ARC,2655.4871,0.2816,0.0183,0.2224,1.3426,1532.4037,1017.6174,54,54,302741.9
SH26-25.vsi - 20x,BTAN,2175.3704,0.3135,0.0592,0.2365,0.9922,1543.7878,877.9605,11,11,10172.3
SH26-25.vsi - 20x,BTAN,1180.7511,0.296,0.0299,0.2365,0.5406,704.6451,305.3674,13,13,9769.2
SH26-25.vsi - 20x,ARC,1399.2739,0.2794,0.0133,0.2427,1.132,892.8948,536.9161,24,24,292366.1
SH26-25.vsi - 20x,VMH,494.5517,0.2787,0.0073,0.2427,0.5271,280.0272,123.9308,7,7,598512.7
SH26-25.vsi - 20x,DMH,5522.9248,0.281,0.0129,0.2406,0.631,3277.4685,1158.7999,59,59,400343
SH26-25.vsi - 20x,ATAN,1328.5063,0.2867,0.0218,0.2468,0.7091,735.0421,242.3457,18,18,32110.1
SH26-25.vsi - 20x,PH,5670.3276,0.2842,0.0224,0.2427,1.628,3392.4839,1601.0076,87,87,605338.5
SH26-25.vsi - 20x,BTAN,1416.1736,0.287,0.0569,0.2427,1.5002,1011.3137,790.8804,15,15,20141.2
SH26-25.vsi - 20x,ARC,1001.4261,0.2773,0.0088,0.2427,0.8619,545.6188,286.3553,23,23,312530.2
SH26-25.vsi - 20x,VMH,2058.8328,0.2777,0.0154,0.2365,1.4226,1403.3048,950.4882,18,18,606647.5
SH26-25.vsi - 20x,DMH,6276.2534,0.2813,0.0145,0.2427,1.188,3486.8435,1641.0269,104,104,410383.5
SH26-25.vsi - 20x,ATAN,1449.5037,0.2936,0.023,0.2551,0.5922,833.0399,349.8463,24,24,15322.8
SH26-25.vsi - 20x,PH,5889.5547,0.2824,0.0149,0.2427,1.2983,3505.2693,2056.1245,93,93,712463.4
H211-1.vsi - 20xPOA,MnPO,85.9062,0.2641,0.0121,0.2284,0.5132,,83.09,7,7,368996.2
H211-1.vsi - 20xPOA,AVPE,572.7083,0.2616,0.0135,0.2183,0.9166,,1011.7495,52,52,970128.2
H211-1.vsi - 20xPOA,OVLT,2.8166,0.2546,0.0089,0.2223,0.4444,,9.154,0,0,80103.5
H211-1.vsi - 20xPOA,cp,0,0.248,0.0064,0.2223,0.2844,,0,0,0,138781.6
H211-1.vsi - 20xPOA,cp,0,0.2488,0.007,0.2163,0.4323,,10.4449,0,0,201438.5
H211-1.vsi - 20xPOA,LSV,563.3196,0.258,0.0127,0.2223,0.5437,,383.5283,30,30,450459.2
H211-1.vsi - 20xPOA,BNST,330.4808,0.2596,0.0135,0.2223,0.5363,,272.3896,13,13,201611.4
H211-1.vsi - 20xPOA,OVLT,0,0.2481,0.007,0.2203,0.3057,,0,0,0,27769.5
H211-1.vsi - 20xPOA,BNST,1120.5365,0.2589,0.0189,0.2243,0.6962,,1062.6831,20,20,211392.4
H211-1.vsi - 20xPOA,LSV,99.5198,0.254,0.0094,0.2163,0.4832,,63.9605,15,15,456151.6
H211-1.vsi - 20xPOA,cp,5.1638,0.2469,0.007,0.2163,0.677,,23.0023,1,1,447812.5
H211-1.vsi - 20xPOA,dMPO,333.2974,0.2587,0.0117,0.2264,0.9894,,483.9873,6,6,506356.7
H211-1.vsi - 20xPOA,vMPO,9.8581,0.261,0.0097,0.2223,0.7386,,180.0283,9,9,505765.3
H211-1.vsi - 20xPOA,dMPO,18.3079,0.2597,0.0103,0.2223,0.7415,,71.3541,13,13,516864.9
H211-1.vsi - 20xPOA,vMPO,128.1552,0.2641,0.0185,0.2163,2.2886,,733.4919,18,18,506152.2
H211-1.vsi - 20xPOA,MnPO,90.1311,0.2578,0.0117,0.2243,1.7484,,145.5248,7,7,308356.4
H211-1.vsi - 20xPOA,AVPE,306.0703,0.2561,0.0106,0.2163,0.6945,,465.562,30,30,720742.7
H211-1.vsi - 20xPOA,MnPO,110.3167,0.2592,0.0111,0.2223,0.8581,,208.6638,5,5,300214.3
H211-1.vsi - 20xPOA,AVPE,138.4827,0.2562,0.009,0.2183,0.7025,,206.9034,17,17,694794.3
H211-1.vsi - 20xPOA,dMPO,376.9547,0.2627,0.0126,0.2243,0.7763,,707.673,19,19,501873.2
H211-1.vsi - 20xPOA,vMPO,35.6769,0.2654,0.0113,0.2243,0.5805,,246.688,13,13,509902.1
H211-1.vsi - 20xPOA,BNST,298.5594,0.2592,0.0124,0.2243,0.5968,,329.1912,14,14,211534.5
H211-1.vsi - 20xPOA,LSV,99.9892,0.258,0.0113,0.2223,0.632,,134.0237,11,11,466971.7
H211-1.vsi - 20xPOA,cp,18.3079,0.2501,0.0087,0.2163,0.8416,,47.4129,2,2,319215
H211-1.vsi - 20xPOA,cg,1.8777,0.2638,0.0086,0.2243,0.5646,,11.6185,1,1,508024.1
H211-1.vsi - 20xPOA,cg,1.4083,0.2594,0.007,0.2284,0.4394,,3.8728,0,0,508024.1
H211-1.vsi - 20xPOA,cg,1.4083,0.2563,0.0061,0.2243,0.5541,,8.0978,0,0,508024.1
H211-1.vsi - 20xPOA,cg,1.8777,0.2613,0.0077,0.2243,0.5489,,9.8581,1,1,508024.1
H216-1.vsi - 20xPOA,AVPE,453.4723,0.275,0.0106,0.2284,1.0081,,971.9648,6,6,697352.7
H216-1.vsi - 20xPOA,dMPO,1014.4447,0.2867,0.0154,0.2489,0.8429,,2475.7993,20,20,501044.3
H216-1.vsi - 20xPOA,vMPO,438.9198,0.2886,0.0148,0.2489,1.2672,,1596.0785,8,8,502470
H216-1.vsi - 20xPOA,BNSTx05,5650.5649,0.3086,0.104,0.253,3.408,,6725.0063,23,23,101270.1
H216-1.vsi - 20xPOA,LSVx05,335.1751,0.2775,0.0123,0.2427,0.6832,,518.7255,4,4,228319.5
H216-1.vsi - 20xPOA,BNSTx05,4708.4126,0.3075,0.0636,0.2551,1.5688,,6123.7773,23,23,112081.6
H216-1.vsi - 20xPOA,LSVx05,15.4913,0.2822,0.0106,0.2489,0.5105,,132.2633,0,0,221530.7
H216-1.vsi - 20xPOA,AVPEx05,314.9895,0.2912,0.0186,0.2489,2.8702,,1263.9534,2,2,333835
H216-1.vsi - 20xPOA,cg,28.6354,0.2752,0.0077,0.2365,0.8223,,217.7004,1,1,508452.1
H216-1.vsi - 20xPOA,cg,47.8822,0.2764,0.0088,0.2406,1.1219,,226.6197,0,0,508452.1
H216-1.vsi - 20xPOA,cg,52.5765,0.2891,0.0145,0.2468,0.9153,,376.3694,1,1,508452.1
H222-3.vsi - 20xPOA,OVLT,1265.1218,0.2847,0.0325,0.2365,1.0835,,1356.432,11,11,47231.2
H222-3.vsi - 20xPOA,AVPE,1929.839,0.2787,0.021,0.2243,1.1662,,3312.3323,18,18,702863.5
H222-3.vsi - 20xPOA,MnPO,939.3354,0.2961,0.0244,0.2406,0.923,,3492.8298,7,7,294678.3
H222-3.vsi - 20xPOA,BNST,69.4761,0.2732,0.0112,0.2365,0.6347,,113.4859,1,1,214384.6
H222-3.vsi - 20xPOA,LSV,2494.5669,0.2783,0.0295,0.2365,2.4393,,2893.8311,19,19,453206.1
H222-3.vsi - 20xPOA,OVLT,463.7998,0.2751,0.0302,0.2345,0.6387,,525.8844,6,6,24643.9
H222-3.vsi - 20xPOA,AVPE,2139.2061,0.2731,0.0189,0.2325,1.5108,,3014.9453,22,22,708475.8
H222-3.vsi - 20xPOA,dMPO,1973.4962,0.2856,0.0227,0.2406,1.2354,,4656.3242,20,20,504486.1
H222-3.vsi - 20xPOA,vMPO,2762.613,0.2948,0.0262,0.2345,1.5842,,6960.4277,25,25,503177.3
H222-3.vsi - 20xPOA,BNST,759.5425,0.2688,0.0305,0.2304,3.5259,,896.7379,7,7,304883.5
H222-3.vsi - 20xPOA,LSV,566.1362,0.2666,0.0113,0.2304,0.8469,,677.2771,10,10,455810.3
H222-3.vsi - 20xPOA,BNST,6464.5615,0.283,0.0461,0.2406,1.2404,,6553.6626,35,35,194836.3
H222-3.vsi - 20xPOA,OVLT,208.4282,0.2757,0.0289,0.2365,0.7823,,230.7272,2,2,14510.5
H222-3.vsi - 20xPOA,dMPO,5336.9834,0.3052,0.0315,0.2406,0.8628,,13615.0186,35,35,509460.5
H222-3.vsi - 20xPOA,vMPO,7822.6313,0.3128,0.039,0.2427,1.7867,,18322.8633,43,43,500599.8
H222-3.vsi - 20xPOA,dMPO,1518.6157,0.2773,0.0171,0.2345,0.8141,,2418.8804,17,17,479242.1
H222-3.vsi - 20xPOA,vMPO,3220.7798,0.2879,0.026,0.2345,1.39,,5669.5991,30,30,479242.1
H222-3.vsi - 20xPOA,MnPO,502.7627,0.2725,0.0159,0.2223,1.1862,,889.4617,7,7,302410.6
H222-3.vsi - 20xPOA,MnPO,1483.4082,0.2734,0.0197,0.2345,1.0225,,2110.3442,18,18,332490.8
H222-3.vsi - 20xPOA,cg,3999.5691,0.2808,0.0232,0.2345,1.3985,,3999.4675,18,18,516673.6
H222-3.vsi - 20xPOA,cg,3239.5569,0.2743,0.0189,0.2304,0.9097,,3271.7261,25,25,516673.6
H222-3.vsi - 20xPOA,cg,2345.2871,0.2731,0.0168,0.2365,0.9209,,2627.3096,19,19,516673.6
H222-3.vsi - 20xPOA,cg,3409.0222,0.2776,0.0198,0.2365,1.0589,,3536.7222,24,24,516673.6
H224-1.vsi - 20xPOA,AVPE,1856.1381,0.2888,0.0177,0.2509,3.0424,,3015.4148,72,72,522599.3
H224-1.vsi - 20xPOA,OVLT,38.4935,0.2845,0.0149,0.253,0.7073,,74.2881,3,3,17216.5
H224-1.vsi - 20xPOA,OVLT,485.8631,0.291,0.0213,0.2468,0.5912,,601.2287,15,15,63250.8
H224-1.vsi - 20xPOA,AVPE,2521.3245,0.2879,0.0157,0.2345,1.362,,3674.5012,105,105,705559.7
H224-1.vsi - 20xPOA,MnPO,971.7263,0.2962,0.0169,0.2592,0.7728,,1527.0715,41,41,304693.9
H224-1.vsi - 20xPOA,dMPO,184.9566,0.291,0.0113,0.2468,0.6827,,580.4562,17,17,500534.5
H224-1.vsi - 20xPOA,vMPO,111.2556,0.2941,0.0114,0.2468,0.6856,,938.5176,10,10,500534.5
H224-1.vsi - 20xPOA,cp,17.369,0.2807,0.0108,0.2447,0.5081,,31.6869,3,3,120221.9
H224-1.vsi - 20xPOA,cp,84.0285,0.2803,0.0118,0.2223,1.2208,,136.0188,6,6,152569.1
H224-1.vsi - 20xPOA,BNST,415.9176,0.2898,0.013,0.253,0.6105,,480.7013,10,10,205137.3
H224-1.vsi - 20xPOA,BNST,169.4653,0.2905,0.0131,0.253,0.9875,,328.3697,13,13,212096.7
H224-1.vsi - 20xPOA,LSV,158.6684,0.2895,0.0109,0.253,0.5626,,328.1349,16,16,463574.9
H224-1.vsi - 20xPOA,LSV,440.3281,0.2885,0.013,0.2468,0.8071,,752.0346,25,25,463574.9
H224-1.vsi - 20xPOA,LSV,1888.0594,0.2896,0.0243,0.2468,2.1945,,2136.6328,30,30,463574.9
H224-1.vsi - 20xPOA,BNST,517.3151,0.29,0.0146,0.2509,0.8334,,832.8948,19,19,212096.7
H224-1.vsi - 20xPOA,vMPO,242.6969,0.2968,0.0134,0.253,0.6102,,1147.8855,37,37,500534.5
H224-1.vsi - 20xPOA,dMPO,585.8524,0.2981,0.0164,0.1943,0.751,,2068.0952,62,62,500534.5
H224-1.vsi - 20xPOA,MnPO,901.7808,0.2936,0.0196,0.253,0.9763,,1704.9873,53,53,315235.2
H224-1.vsi - 20xPOA,AVPE,801.3221,0.2861,0.0124,0.2468,1.8225,,1026.7714,26,26,673178.4
H224-1.vsi - 20xPOA,dMPO,669.8809,0.3016,0.018,0.253,2.2205,,2486.7136,85,85,500534.5
H224-1.vsi - 20xPOA,vMPO,851.5515,0.3041,0.1319,0.2386,7.2196,,3070.1038,53,53,500534.5
H224-1.vsi - 20xPOA,OVLT,433.7561,0.3262,0.0546,0.2654,0.7519,,573.6494,4,4,4872.9
H224-1.vsi - 20xPOA,AVPE,702.2717,0.2925,0.0153,0.253,0.757,,1550.5433,42,42,694892.6
H224-1.vsi - 20xPOA,MnPO,196.6924,0.279,0.0109,0.2043,1.4779,,357.7094,10,10,293510
H224-1.vsi - 20xPOA,cg,269.4545,0.288,0.0098,0.2468,0.5595,,434.6967,12,12,500958.4
