"Date and Time","Time (seconds)","60 deg N day90 lock (lx)"
"2021-03-12 20:41:35",34615.0,3.5227
"2021-03-12 20:46:36",34916.0,3.5227
"2021-03-12 20:51:37",35217.0,3.5227
"2021-03-12 20:56:38",35518.0,3.5227
"2021-03-12 21:01:39",35819.0,3.5227
"2021-03-12 21:06:40",36120.0,3.5227
"2021-03-12 21:11:41",36421.0,3.5227
"2021-03-12 21:16:42",36722.0,3.5227
"2021-03-12 21:21:43",37023.0,3.5227
"2021-03-12 21:26:44",37324.0,3.5227
"2021-03-12 21:31:45",37625.0,3.5227
"2021-03-12 21:36:46",37926.0,3.5227
"2021-03-12 21:41:47",38227.0,3.5227
"2021-03-12 21:46:48",38528.0,3.5227
"2021-03-12 21:51:49",38829.0,3.5227
"2021-03-12 21:56:50",39130.0,3.5227
"2021-03-12 22:01:51",39431.0,3.5227
"2021-03-12 22:06:52",39732.0,3.5227
"2021-03-12 22:11:53",40033.0,3.5227
"2021-03-12 22:16:54",40334.0,3.5227
"2021-03-12 22:21:55",40635.0,3.5227
"2021-03-12 22:26:56",40936.0,3.5227
"2021-03-12 22:31:57",41237.0,3.5227
"2021-03-12 22:36:58",41538.0,3.5227
"2021-03-12 22:41:59",41839.0,3.5227
"2021-03-12 22:47:00",42140.0,3.5227
"2021-03-12 22:52:01",42441.0,3.5227
"2021-03-12 22:57:02",42742.0,3.5227
"2021-03-12 23:02:03",43043.0,3.5227
"2021-03-12 23:07:04",43344.0,3.5227
"2021-03-12 23:12:05",43645.0,3.5227
"2021-03-12 23:17:06",43946.0,3.5227
"2021-03-12 23:22:07",44247.0,3.5227
"2021-03-12 23:27:08",44548.0,3.5227
"2021-03-12 23:32:09",44849.0,3.5227
"2021-03-12 23:37:10",45150.0,3.5227
"2021-03-12 23:42:11",45451.0,3.5227
"2021-03-12 23:47:12",45752.0,3.5227
"2021-03-12 23:52:13",46053.0,3.5227
"2021-03-12 23:57:14",46354.0,3.5227
"2021-03-13 00:02:15",46655.0,3.5227
"2021-03-13 00:07:16",46956.0,3.5227
"2021-03-13 00:12:17",47257.0,3.5227
"2021-03-13 00:17:18",47558.0,3.5227
"2021-03-13 00:22:19",47859.0,3.5227
"2021-03-13 00:27:20",48160.0,3.5227
"2021-03-13 00:32:21",48461.0,3.5227
"2021-03-13 00:37:22",48762.0,3.5227
"2021-03-13 00:42:23",49063.0,3.5227
"2021-03-13 00:47:24",49364.0,3.5227
"2021-03-13 00:52:25",49665.0,3.5227
"2021-03-13 00:57:26",49966.0,3.5227
"2021-03-13 01:02:27",50267.0,3.5227
