"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-18 20:41:03",207000.0,4.6138
"2021-03-18 21:11:03",208800.0,4.8261
"2021-03-18 21:41:03",210600.0,4.8261
"2021-03-18 22:11:03",212400.0,4.6138
"2021-03-18 22:41:03",214200.0,4.6138
"2021-03-18 23:11:03",216000.0,4.6138
"2021-03-18 23:41:03",217800.0,4.6138
"2021-03-19 00:11:03",219600.0,4.6138
"2021-03-19 00:41:03",221400.0,4.8261
"2021-03-19 01:11:03",223200.0,4.6138
"2021-03-19 01:41:03",225000.0,4.6138
"2021-03-19 02:11:03",226800.0,4.6138
"2021-03-19 02:41:03",228600.0,4.6138
"2021-03-19 03:11:03",230400.0,230.8242
"2021-03-19 03:41:03",232200.0,210.9691
"2021-03-19 04:11:03",234000.0,210.9691
"2021-03-19 04:41:03",235800.0,210.9691
"2021-03-19 05:11:03",237600.0,220.6734
"2021-03-19 05:41:03",239400.0,220.6734
"2021-03-19 06:11:03",241200.0,220.6734
"2021-03-19 06:41:03",243000.0,210.9691
"2021-03-19 07:11:03",244800.0,210.9691
"2021-03-19 07:41:03",246600.0,220.6734
"2021-03-19 08:11:03",248400.0,220.6734
"2021-03-19 08:41:03",250200.0,220.6734
"2021-03-19 09:11:03",252000.0,220.6734
"2021-03-19 09:41:03",253800.0,210.9691
"2021-03-19 10:11:03",255600.0,201.6915
"2021-03-19 10:41:03",257400.0,210.9691
"2021-03-19 11:11:03",259200.0,230.8242
"2021-03-19 11:41:03",261000.0,220.6734
"2021-03-19 12:11:03",262800.0,192.8219
"2021-03-19 12:41:03",264600.0,230.8242
"2021-03-19 13:11:03",266400.0,201.6915
"2021-03-19 13:41:03",268200.0,210.9691
"2021-03-19 14:11:03",270000.0,210.9691
"2021-03-19 14:41:03",271800.0,220.6734
"2021-03-19 15:11:03",273600.0,210.9691
"2021-03-19 15:41:03",275400.0,220.6734
"2021-03-19 16:11:03",277200.0,201.6915
"2021-03-19 16:41:03",279000.0,192.8219
"2021-03-19 17:11:03",280800.0,192.8219
"2021-03-19 17:41:03",282600.0,201.6915
"2021-03-19 18:11:03",284400.0,201.6915
"2021-03-19 18:41:03",286200.0,230.8242
"2021-03-19 19:11:03",288000.0,4.8261
"2021-03-19 19:41:03",289800.0,4.8261
"2021-03-19 20:11:03",291600.0,4.8261
"2021-03-19 20:41:03",293400.0,4.8261
"2021-03-19 21:11:03",295200.0,4.6138
"2021-03-19 21:41:03",297000.0,4.8261
"2021-03-19 22:11:03",298800.0,4.8261
"2021-03-19 22:41:03",300600.0,4.8261
"2021-03-19 23:11:03",302400.0,4.6138
"2021-03-19 23:41:03",304200.0,4.6138
"2021-03-20 00:11:03",306000.0,4.8261
"2021-03-20 00:41:03",307800.0,4.6138
"2021-03-20 01:11:03",309600.0,4.6138
"2021-03-20 01:41:03",311400.0,4.6138
"2021-03-20 02:11:03",313200.0,4.8261
"2021-03-20 02:41:03",315000.0,4.8261
"2021-03-20 03:11:03",316800.0,230.8242
"2021-03-20 03:41:03",318600.0,201.6915
"2021-03-20 04:11:03",320400.0,192.8219
"2021-03-20 04:41:03",322200.0,201.6915
"2021-03-20 05:11:03",324000.0,192.8219
"2021-03-20 05:41:03",325800.0,192.8219
"2021-03-20 06:11:03",327600.0,201.6915
"2021-03-20 06:41:03",329400.0,210.9691
"2021-03-20 07:11:03",331200.0,220.6734
"2021-03-20 07:41:03",333000.0,192.8219
"2021-03-20 08:11:03",334800.0,210.9691
"2021-03-20 08:41:03",336600.0,192.8219
"2021-03-20 09:11:03",338400.0,220.6734
"2021-03-20 09:41:03",340200.0,220.6734
"2021-03-20 10:11:03",342000.0,220.6734
"2021-03-20 10:41:03",343800.0,71.6917
"2021-03-20 11:11:03",345600.0,201.6915
"2021-03-20 11:41:03",347400.0,220.6734
"2021-03-20 12:11:03",349200.0,210.9691
"2021-03-20 12:41:03",351000.0,201.6915
"2021-03-20 13:11:03",352800.0,210.9691
"2021-03-20 13:41:03",354600.0,220.6734
"2021-03-20 14:11:03",356400.0,192.8219
"2021-03-20 14:41:03",358200.0,210.9691
"2021-03-20 15:11:03",360000.0,192.8219
"2021-03-20 15:41:03",361800.0,230.8242
"2021-03-20 16:11:03",363600.0,201.6915
"2021-03-20 16:41:03",365400.0,210.9691
"2021-03-20 17:11:03",367200.0,192.8219
"2021-03-20 17:41:03",369000.0,210.9691
"2021-03-20 18:11:03",370800.0,210.9691
"2021-03-20 18:41:03",372600.0,210.9691
