"Time","H264"
2021-06-28 16:25:01,10.4
2021-06-28 16:25:10,10.5
2021-06-28 16:25:49,10.4
2021-06-28 16:29:30,10.5
2021-06-28 16:29:42,10.5
2021-06-28 16:30:03,10.5
2021-06-28 16:33:58,10.6
2021-06-28 16:36:27,10.6
2021-06-28 16:36:38,10.6
2021-06-28 16:37:07,10.6
2021-06-28 16:37:16,10.6
2021-06-28 16:37:46,10.7
2021-06-28 16:37:58,10.6
2021-06-28 16:38:04,10.6
2021-06-28 16:38:12,10.6
2021-06-28 16:38:24,10.6
2021-06-28 16:38:30,10.6
2021-06-28 16:38:37,10.6
2021-06-28 16:39:02,10.6
2021-06-28 16:39:09,10.6
2021-06-28 16:39:15,10.6
2021-06-28 16:39:21,10.6
2021-06-28 16:39:28,10.6
2021-06-28 16:39:35,10.6
2021-06-28 16:39:41,10.6
2021-06-28 16:39:47,10.6
2021-06-28 16:39:53,10.6
2021-06-28 16:39:59,10.6
2021-06-28 16:40:07,10.6
2021-06-28 16:40:13,10.6
2021-06-28 16:40:22,10.6
2021-06-28 16:40:28,10.6
2021-06-28 16:40:46,10.6
2021-06-28 16:41:08,10.6
2021-06-28 16:41:14,10.6
2021-06-28 16:41:20,10.6
2021-06-28 16:41:27,10.6
2021-06-28 16:41:35,10.6
2021-06-28 16:41:43,10.6
2021-06-28 16:41:49,10.6
2021-06-28 16:41:55,10.6
2021-06-28 16:42:01,10.6
2021-06-28 16:42:07,10.6
2021-06-28 16:42:13,10.6
2021-06-28 16:42:44,10.6
2021-06-28 16:43:22,10.6
2021-06-28 16:43:27,10.6
2021-06-28 16:43:40,10.6
2021-06-28 16:43:47,10.6
2021-06-28 16:43:53,10.6
2021-06-28 16:44:00,10.6
2021-06-28 16:44:06,10.6
2021-06-28 16:44:19,10.6
2021-06-28 16:44:32,10.6
2021-06-28 16:44:39,10.6
2021-06-28 16:44:53,10.6
2021-06-28 16:45:12,10.6
2021-06-28 16:45:20,10.6
2021-06-28 16:45:26,10.6
2021-06-28 16:45:32,10.6
2021-06-28 16:45:52,10.6
2021-06-28 16:46:04,10.5
2021-06-28 16:46:10,10.6
2021-06-28 16:46:16,10.6
2021-06-28 16:46:23,10.6
2021-06-28 16:46:30,10.6
2021-06-28 16:46:35,10.6
2021-06-28 16:46:41,10.6
2021-06-28 16:46:47,10.6
2021-06-28 16:47:03,10.6
2021-06-28 16:47:10,10.6
2021-06-28 16:47:17,10.6
2021-06-28 16:47:23,10.5
2021-06-28 16:47:31,10.6
2021-06-28 16:47:44,10.6
2021-06-28 16:48:04,10.6
2021-06-28 16:48:09,10.6
2021-06-28 16:48:21,10.6
2021-06-28 16:48:34,10.6
2021-06-28 16:48:40,10.6
2021-06-28 16:48:46,10.6
2021-06-28 16:48:59,10.6
2021-06-28 16:49:05,10.6
2021-06-28 16:49:26,10.6
