datetime, temp
2021-07-06 15:40:30,9 
2021-07-06 16:27:51,10.8 
2021-07-06 16:28:40,10.8 
2021-07-06 16:28:51,10.9 
2021-07-06 16:28:59,10.9 
2021-07-06 16:33:36,10.9 
2021-07-06 16:33:51,10.9 
2021-07-06 16:33:59,10.8 
2021-07-06 16:34:07,10.9 
2021-07-06 16:34:23,10.9 
2021-07-06 16:34:32,10.9 
2021-07-06 16:34:48,10.9 
2021-07-06 16:34:56,10.9 
2021-07-06 16:35:12,10.9 
2021-07-06 16:35:20,10.9 
2021-07-06 16:35:29,10.9 
2021-07-06 16:35:37,10.9 
2021-07-06 16:36:01,10.9 
2021-07-06 16:36:18,10.9 
2021-07-06 16:36:26,10.9 
2021-07-06 16:36:42,10.9 
2021-07-06 16:37:06,10.9 
2021-07-06 16:37:23,10.9 
2021-07-06 16:37:31,10.9 
2021-07-06 16:37:40,11 
2021-07-06 16:38:04,11 
2021-07-06 16:38:12,11 
2021-07-06 16:38:21,10.9 
2021-07-06 16:38:29,10.9 
2021-07-06 16:38:53,11.1 
2021-07-06 16:39:02,10.9 
2021-07-06 16:39:11,10.9 
2021-07-06 16:39:27,10.9 
2021-07-06 16:39:43,10.9 
2021-07-06 16:44:48,11 
2021-07-06 16:44:59,11 
2021-07-06 16:45:09,11 
2021-07-06 16:45:29,11.1 
2021-07-06 16:46:37,11 
2021-07-06 16:46:55,11.1 
2021-07-06 16:47:04,11.1 
2021-07-06 16:47:23,11.1 
2021-07-06 16:47:49,11.1 
2021-07-06 16:47:58,11.1 
2021-07-06 16:48:30,11 
2021-07-06 16:48:47,11.1 
2021-07-06 16:49:12,11.1 
2021-07-06 16:49:28,11.1 
2021-07-06 16:49:46,11.1 
2021-07-06 16:49:54,11 
2021-07-06 16:50:20,11 
2021-07-06 16:50:36,11.1 
2021-07-06 16:51:46,11.1 
2021-07-06 16:52:02,11 
2021-07-06 16:52:09,11 
2021-07-06 16:52:17,11.1 
2021-07-06 16:52:25,11 
2021-07-06 16:53:05,11.1 
2021-07-06 16:53:40,11.1 
2021-07-06 16:53:56,11.1 
2021-07-06 16:54:06,11.1 
2021-07-06 16:54:14,11.1 
2021-07-06 16:54:38,11 
2021-07-06 16:54:46,11 
2021-07-06 16:55:03,11.1 
2021-07-06 16:55:20,11.1 
2021-07-06 16:55:28,11.1 
2021-07-06 16:55:36,11.1 
2021-07-06 16:55:44,11.1 
2021-07-06 16:56:09,11.1 
2021-07-06 16:56:17,11.1 
2021-07-06 16:56:27,11.1 
2021-07-06 16:56:36,11.1 
2021-07-06 16:56:44,11 
2021-07-06 16:56:52,11.1 
2021-07-06 16:57:03,11.1 
2021-07-06 16:57:20,11.1 
2021-07-06 16:57:38,11.1 
2021-07-06 16:57:46,11.1 
2021-07-06 16:57:55,11.1 
2021-07-06 16:58:03,11.1 
2021-07-06 16:58:19,11.1 
2021-07-06 16:58:27,11.1 
2021-07-06 16:58:35,11.1 
2021-07-06 16:58:51,11.1 
2021-07-06 16:59:08,11.1 
2021-07-06 16:59:24,11.1 
2021-07-06 16:59:32,11.1 
2021-07-06 16:59:58,11.1 
2021-07-06 17:00:16,11.1 
2021-07-06 17:00:23,11.1 
2021-07-06 17:00:31,11.1 
2021-07-06 17:00:40,11.1 
2021-07-06 17:00:56,11.1 
2021-07-06 17:01:13,11.1 
2021-07-06 17:01:20,11.1 
2021-07-06 17:01:29,11.1 
2021-07-06 17:01:38,11.1 
2021-07-06 17:01:46,11.1 
2021-07-06 17:01:54,11.1 
2021-07-06 17:02:11,11.1 
2021-07-06 17:02:27,11.1 
2021-07-06 17:02:43,11.1 
2021-07-06 17:03:08,11.1 
2021-07-06 17:03:23,11.1 
2021-07-06 17:03:48,11.1 
2021-07-06 17:03:56,11.1 
2021-07-06 17:04:04,11.1 
2021-07-06 17:04:21,11.1 
2021-07-06 17:04:29,11.1 
2021-07-06 17:04:37,11.1 
2021-07-06 17:04:53,11.1 
2021-07-06 17:05:11,11.1 
2021-07-06 17:05:19,11.1 
2021-07-06 17:05:26,11.1 
2021-07-06 17:05:34,11.1 
2021-07-06 17:05:42,11.1 
2021-07-06 17:05:50,11.1 
2021-07-06 17:05:58,11.1 
2021-07-06 17:06:06,11.1 
2021-07-06 17:06:14,11.1 
2021-07-06 17:06:30,11.1 
2021-07-06 17:06:38,11.1 
2021-07-06 17:07:05,11.1 
2021-07-06 17:07:21,11.1 
2021-07-06 17:07:29,11.1 
2021-07-06 17:07:37,11.1 
2021-07-06 17:07:45,11.1 
2021-07-06 17:08:09,11.1 
2021-07-06 17:08:17,11.1 
2021-07-06 17:08:25,11.1 
2021-07-06 17:08:32,11.1 
2021-07-06 17:08:40,11.1 
2021-07-06 17:08:48,11.1 
2021-07-06 17:09:04,11.1 
2021-07-06 17:09:12,11.1 
2021-07-06 17:09:20,11.1 
2021-07-06 17:09:28,11.1 
2021-07-06 17:09:44,11.1 
2021-07-06 17:10:01,11.1 
2021-07-06 17:10:25,11.1 
2021-07-06 17:10:33,11.1 
2021-07-06 17:10:41,11.1 
2021-07-06 17:10:56,11.1 
2021-07-06 17:11:04,11.1 
2021-07-06 17:11:12,11.1 
2021-07-06 17:11:20,11.1 
2021-07-06 17:11:36,11.1 
2021-07-06 17:11:45,11.1 
2021-07-06 17:12:17,11.1 
2021-07-06 17:12:25,11.1 
2021-07-06 17:12:33,11.1 
2021-07-06 17:12:41,11.1 
2021-07-06 17:12:49,11.1 
2021-07-06 17:12:57,11.1 
2021-07-06 17:13:13,11.1 
2021-07-06 17:13:31,11.1 
2021-07-06 17:13:48,11.1 
2021-07-06 17:13:55,11.1 
2021-07-06 17:14:04,11.1 
2021-07-06 17:14:12,11.1 
2021-07-06 17:14:20,11.1 
2021-07-06 17:14:28,11.1 
2021-07-06 17:14:44,11.1 
2021-07-06 17:14:52,11.1 
2021-07-06 17:15:00,11.1 
2021-07-06 17:15:08,11.1 
2021-07-06 17:15:24,11.1 
2021-07-06 17:15:40,11.1 
2021-07-06 17:16:14,11.1 
2021-07-06 17:16:22,11.1 
2021-07-06 17:16:30,11.1 
2021-07-06 17:16:37,11.1 
2021-07-06 17:16:45,11.1 
2021-07-06 17:16:53,11.1 
2021-07-06 17:17:01,11.1 
2021-07-06 17:17:09,11.1 
2021-07-06 17:17:17,11.1 
2021-07-06 17:17:25,11.1 
2021-07-06 17:17:41,11.1 
2021-07-06 17:17:50,11.1 
2021-07-06 17:17:58,11.1 
2021-07-06 17:18:13,11.1 
2021-07-06 17:18:21,11.1 
2021-07-06 17:18:28,11 
2021-07-06 17:18:37,11.1 
2021-07-06 17:18:53,11.1 
2021-07-06 17:19:01,11.1 
2021-07-06 17:19:17,11.1 
2021-07-06 17:19:32,11.1 
2021-07-06 17:19:41,11.1 
2021-07-06 17:19:49,11.1 
2021-07-06 17:20:13,11.1 
2021-07-06 17:20:21,11.1 
2021-07-06 17:20:29,11.1 
2021-07-06 17:20:37,11.1 
2021-07-06 17:20:45,11.1 
2021-07-06 17:20:53,11.1 
2021-07-06 17:21:08,11.1 
2021-07-06 17:21:17,11.1 
2021-07-06 17:21:48,11.1 
2021-07-06 17:21:56,11.1 
2021-07-06 17:22:05,11.1 
2021-07-06 17:22:13,11.1 
2021-07-06 17:22:28,11.1 
2021-07-06 17:22:36,11.1 
2021-07-06 17:22:44,11.1 
2021-07-06 17:22:52,11.1 
2021-07-06 17:23:00,11.1 
2021-07-06 17:23:15,11.1 
2021-07-06 17:23:23,11.1 
2021-07-06 17:23:32,11.2 
2021-07-06 17:24:05,11.1 
2021-07-06 17:24:13,11.1 
2021-07-06 17:24:28,11.2 
2021-07-06 17:24:36,11.1 
2021-07-06 17:24:44,11.1 
2021-07-06 17:24:52,11.1 
2021-07-06 17:25:00,11.1 
2021-07-06 17:25:08,11.1 
2021-07-06 17:25:16,11.1 
2021-07-06 17:25:32,11.1 
2021-07-06 17:25:40,11.2 
2021-07-06 17:25:48,11.1 
2021-07-06 17:25:55,11.2 
2021-07-06 17:26:03,11.2 
2021-07-06 17:26:11,11.2 
2021-07-06 17:26:19,11.1 
2021-07-06 17:26:28,11.2 
2021-07-06 17:26:44,11.2 
2021-07-06 17:27:01,11.1 
2021-07-06 17:27:08,11.2 
2021-07-06 17:27:25,11.2 
2021-07-06 17:27:41,11.1 
2021-07-06 17:27:57,11.2 
2021-07-06 17:28:05,11.2 
2021-07-06 17:28:21,11.2 
2021-07-06 17:28:44,11.2 
2021-07-06 17:28:53,11.2 
2021-07-06 17:29:01,11.2 
2021-07-06 17:29:25,11.2 
2021-07-06 17:29:33,11.2 
2021-07-06 17:29:41,11.2 
2021-07-06 17:29:57,11.2 
2021-07-06 17:30:05,11.2 
2021-07-06 17:30:13,11.2 
