"Time","H216"
2021-07-06 15:43:43,10.1 
2021-07-06 15:43:49,10 
2021-07-06 15:50:14,10.1 
2021-07-06 15:50:26,10.1 
2021-07-06 15:50:32,10.1 
2021-07-06 15:50:44,10.1 
2021-07-06 15:50:50,10.1 
2021-07-06 15:50:56,10.1 
2021-07-06 15:51:02,10.1 
2021-07-06 15:51:07,10.1 
2021-07-06 15:51:13,10.1 
2021-07-06 15:51:19,10.1 
2021-07-06 15:51:25,10.1 
2021-07-06 15:51:31,10.1 
2021-07-06 15:51:37,10.1 
2021-07-06 15:51:49,10.1 
2021-07-06 15:51:54,10.1 
2021-07-06 15:52:00,10.1 
2021-07-06 15:52:06,10.1 
2021-07-06 15:52:12,10.1 
2021-07-06 15:52:18,10.1 
2021-07-06 15:52:24,10.1 
2021-07-06 15:52:30,10.1 
2021-07-06 15:52:36,10.1 
2021-07-06 15:52:42,10.1 
2021-07-06 15:52:47,10.1 
2021-07-06 15:52:54,10.1 
2021-07-06 15:52:59,10.1 
2021-07-06 15:53:05,10.1 
2021-07-06 15:53:11,10.1 
2021-07-06 15:53:17,10.1 
2021-07-06 15:53:23,10.1 
2021-07-06 15:53:29,10.1 
2021-07-06 15:53:47,10.1 
2021-07-06 15:53:53,10.1 
2021-07-06 15:53:58,10.1 
2021-07-06 15:54:10,10.1 
2021-07-06 15:54:16,10.1 
2021-07-06 15:54:22,10.1 
2021-07-06 15:54:28,10.1 
2021-07-06 15:54:34,10.1 
2021-07-06 15:54:40,10.1 
2021-07-06 15:54:46,10.1 
2021-07-06 15:54:52,10.1 
2021-07-06 15:55:04,10.1 
2021-07-06 15:55:09,10.1 
2021-07-06 15:55:15,10.1 
2021-07-06 15:55:39,10.1 
2021-07-06 15:55:51,10.1 
2021-07-06 15:55:57,10.1 
2021-07-06 15:56:02,10.1 
2021-07-06 15:56:08,10.1 
2021-07-06 15:56:15,10.1 
2021-07-06 15:56:20,10.1 
2021-07-06 15:56:27,10.1 
2021-07-06 15:56:33,10.1 
2021-07-06 15:56:39,10.1 
2021-07-06 15:56:45,10.1 
2021-07-06 15:57:03,10.1 
2021-07-06 15:57:10,10.1 
2021-07-06 15:57:15,10.2 
2021-07-06 15:57:22,10.1 
2021-07-06 15:57:27,10.1 
2021-07-06 15:57:33,10.2 
2021-07-06 15:57:40,10.1 
2021-07-06 15:57:46,10.2 
2021-07-06 15:57:52,10.2 
2021-07-06 15:57:58,10.1 
2021-07-06 15:58:10,10.1 
2021-07-06 15:58:28,10.2 
2021-07-06 15:58:34,10.2 
2021-07-06 15:58:40,10.1 
2021-07-06 15:58:46,10.1 
2021-07-06 15:58:58,10.2 
2021-07-06 15:59:04,10.1 
2021-07-06 15:59:10,10.2 
2021-07-06 15:59:16,10.1 
2021-07-06 15:59:22,10.1 
2021-07-06 15:59:28,10.1 
2021-07-06 15:59:33,10.2 
2021-07-06 15:59:39,10.1 
2021-07-06 15:59:45,10.2 
2021-07-06 16:00:09,10.2 
2021-07-06 16:00:15,10.1 
2021-07-06 16:00:21,10.2 
2021-07-06 16:00:39,10.1 
2021-07-06 16:00:44,10.2 
2021-07-06 16:00:50,10.2 
2021-07-06 16:00:56,10.2 
2021-07-06 16:01:02,10.1 
2021-07-06 16:01:08,10.2 
2021-07-06 16:01:14,10.1 
2021-07-06 16:01:20,10.1 
2021-07-06 16:01:26,10.2 
2021-07-06 16:01:32,10.1 
2021-07-06 16:01:38,10.1 
2021-07-06 16:01:44,10.1 
2021-07-06 16:01:49,10.2 
2021-07-06 16:01:55,10.2 
2021-07-06 16:02:01,10.1 
2021-07-06 16:02:19,10.2 
2021-07-06 16:02:25,10.1 
2021-07-06 16:02:31,10.2 
2021-07-06 16:02:43,10.2 
2021-07-06 16:02:49,10.1 
2021-07-06 16:02:55,10.1 
2021-07-06 16:03:00,10.2 
2021-07-06 16:03:06,10.1 
2021-07-06 16:03:12,10.2 
2021-07-06 16:03:18,10.1 
2021-07-06 16:03:24,10.1 
2021-07-06 16:03:30,10.2 
2021-07-06 16:03:36,10.2 
2021-07-06 16:03:42,10.1 
2021-07-06 16:03:48,10.1 
2021-07-06 16:03:54,10.1 
2021-07-06 16:04:00,10.1 
2021-07-06 16:04:17,10.2 
2021-07-06 16:04:23,10.1 
2021-07-06 16:04:35,10.2 
2021-07-06 16:04:41,10.1 
2021-07-06 16:04:47,10.1 
2021-07-06 16:04:53,10.1 
2021-07-06 16:04:59,10.2 
2021-07-06 16:05:05,10.2 
2021-07-06 16:05:11,10.1 
2021-07-06 16:05:17,10.2 
2021-07-06 16:05:22,10.2 
2021-07-06 16:05:28,10.2 
2021-07-06 16:05:34,10.2 
2021-07-06 16:05:40,10.2 
2021-07-06 16:05:46,10.2 
2021-07-06 16:06:16,10 
2021-07-06 16:06:22,10.1 
2021-07-06 16:06:34,10.1 
2021-07-06 16:06:39,10.2 
2021-07-06 16:06:45,10.2 
2021-07-06 16:06:51,10.2 
2021-07-06 16:06:57,10.1 
2021-07-06 16:07:03,10.2 
2021-07-06 16:07:09,10.1 
2021-07-06 16:07:15,10.1 
2021-07-06 16:07:21,10.2 
2021-07-06 16:07:27,10.2 
2021-07-06 16:07:33,10.2 
2021-07-06 16:07:39,10.2 
2021-07-06 16:07:44,10.2 
2021-07-06 16:07:50,10.1 
2021-07-06 16:07:56,10.2 
2021-07-06 16:08:08,10.2 
2021-07-06 16:08:14,10.2 
2021-07-06 16:08:20,10.2 
2021-07-06 16:08:32,10.1 
2021-07-06 16:08:44,10.2 
2021-07-06 16:08:50,10.2 
2021-07-06 16:08:55,10.1 
2021-07-06 16:09:01,10.2 
2021-07-06 16:09:07,10.2 
2021-07-06 16:09:13,10.2 
2021-07-06 16:09:19,10.2 
2021-07-06 16:09:25,10.2 
2021-07-06 16:09:31,10.1 
2021-07-06 16:09:37,10.1 
2021-07-06 16:09:43,10.2 
2021-07-06 16:09:49,10.1 
2021-07-06 16:09:55,10.2 
2021-07-06 16:10:12,10.1 
2021-07-06 16:10:18,10.1 
2021-07-06 16:10:30,10.1 
2021-07-06 16:10:36,10.2 
2021-07-06 16:10:42,10.2 
2021-07-06 16:10:48,10.2 
2021-07-06 16:10:54,10.2 
2021-07-06 16:11:00,10.2 
2021-07-06 16:11:06,10.2 
2021-07-06 16:11:11,10.1 
2021-07-06 16:11:17,10.1 
2021-07-06 16:11:23,10.2 
2021-07-06 16:11:29,10.1 
2021-07-06 16:11:35,10.2 
2021-07-06 16:11:41,10.2 
2021-07-06 16:11:47,10.1 
2021-07-06 16:12:23,10.2 
2021-07-06 16:12:28,10.2 
2021-07-06 16:12:40,10.2 
2021-07-06 16:12:46,10.1 
2021-07-06 16:12:52,10.2 
2021-07-06 16:12:58,10.2 
2021-07-06 16:13:04,10.1 
2021-07-06 16:13:10,10.2 
2021-07-06 16:13:16,10.1 
2021-07-06 16:13:22,10.1 
2021-07-06 16:13:28,10.2 
2021-07-06 16:13:33,10.2 
2021-07-06 16:13:39,10.1 
2021-07-06 16:13:45,10.2 
2021-07-06 16:13:51,10.2 
2021-07-06 16:13:57,10.1 
2021-07-06 16:14:03,10.2 
2021-07-06 16:14:09,10.2 
2021-07-06 16:14:21,10.1 
2021-07-06 16:14:27,10.1 
2021-07-06 16:14:51,10.1 
