"Time","H222"
2021-07-02 10:12:55,9.50
2021-07-02 11:15:58,9.10
2021-07-02 11:32:29,9.20
2021-07-02 11:32:47,9.30
2021-07-02 11:32:54,9.30
2021-07-02 11:33:01,9.20
2021-07-02 11:33:10,9.30
2021-07-02 11:33:18,9.30
2021-07-02 11:33:32,9.30
2021-07-02 11:33:40,9.30
2021-07-02 11:33:55,9.30
2021-07-02 11:34:19,9.30
2021-07-02 11:34:28,9.30
2021-07-02 11:34:58,9.30
2021-07-02 11:35:04,9.30
2021-07-02 11:35:27,9.30
2021-07-02 11:35:50,9.30
2021-07-02 11:36:10,9.30
2021-07-02 12:03:05,9
2021-07-02 12:04:51,9
2021-07-02 12:05:36,9
2021-07-02 12:05:53,9.10
2021-07-02 12:06:18,9.10
2021-07-02 12:07:02,9.10
2021-07-02 12:07:48,9
2021-07-02 12:08:01,9.10
2021-07-02 12:08:23,9
2021-07-02 12:08:52,9
2021-07-02 12:09:25,9
2021-07-02 12:09:49,9.10
2021-07-02 12:09:56,9.10
2021-07-02 12:11:33,9.10
2021-07-02 12:12:07,9.20
2021-07-02 12:12:25,9.10
2021-07-02 12:12:38,9.20
2021-07-02 12:13:17,9.20
2021-07-02 12:13:31,9.10
2021-07-02 12:13:42,9.20
2021-07-02 12:13:57,9.10
2021-07-02 12:15:22,9.10
2021-07-02 12:15:56,9.20
2021-07-02 12:16:18,9.20
2021-07-02 12:16:50,9.20
2021-07-02 12:17:11,9.10
2021-07-02 12:17:26,9.10
2021-07-02 12:17:35,9.20
2021-07-02 12:17:51,9.10
2021-07-02 12:17:59,9.10
2021-07-02 12:18:07,9.20
2021-07-02 12:18:15,9.20
2021-07-02 12:18:30,9.20
2021-07-02 12:18:38,9.10
2021-07-02 12:18:55,9.20
2021-07-02 12:19:03,9.20
2021-07-02 12:19:11,9.10
2021-07-02 12:19:19,9.20
2021-07-02 12:19:27,9.10
2021-07-02 12:19:35,9.10
2021-07-02 12:19:43,9.20
2021-07-02 12:19:59,9.10
