Column1,Period,ID,ap_t,unix
164,LP,H298,36.23,1619110577
165,LP,H298,36.76,1619111474
166,LP,H298,36.66,1619112371
167,LP,H298,35.56,1619113269
168,LP,H298,36.39,1619114166
169,LP,H298,36.07,1619115064
170,LP,H298,36.42,1619115962
171,LP,H298,36.31,1619116860
172,LP,H298,36.08,1619117757
173,LP,H298,35.52,1619118655
174,LP,H298,36.85,1619119553
175,LP,H298,36.88,1619120449
176,LP,H298,36.24,1619121347
177,LP,H298,35.15,1619122249
178,LP,H298,34.98,1619123150
179,LP,H298,35.15,1619124055
180,LP,H298,35.64,1619124960
181,LP,H298,36.06,1619125858
182,LP,H298,36.25,1619126756
183,LP,H298,37.01,1619127653
184,LP,H298,36.44,1619128551
185,LP,H298,36.47,1619129448
186,LP,H298,36.33,1619130346
187,LP,H298,37.14,1619131243
188,LP,H298,37.26,1619132141
189,LP,H298,36.71,1619133038
190,LP,H298,36.62,1619133935
191,LP,H298,37.49,1619134832
192,LP,H298,37.32,1619135733
193,LP,H298,35.24,1619136634
194,LP,H298,36.99,1619137538
195,LP,H298,35.19,1619138436
196,LP,H298,35.79,1619139333
197,LP,H298,37.16,1619140231
198,LP,H298,35.44,1619141128
199,LP,H298,37.63,1619142026
200,LP,H298,37.72,1619142925
201,LP,H298,36.63,1619143824
202,LP,H298,36.88,1619144723
203,LP,H298,37.11,1619145620
204,LP,H298,36.95,1619146517
205,LP,H298,37,1619147414
206,LP,H298,36.46,1619148311
207,LP,H298,37.44,1619149208
208,LP,H298,37.36,1619150109
209,LP,H298,37.37,1619151005
210,LP,H298,37.12,1619151901
211,LP,H298,36.81,1619152799
212,LP,H298,36.54,1619153696
213,LP,H298,35.27,1619154594
214,LP,H298,34.8,1619155493
215,LP,H298,35.97,1619156398
216,LP,H298,36.84,1619157295
217,LP,H298,36.85,1619158192
218,LP,H298,36.54,1619159089
219,LP,H298,36.33,1619159986
220,LP,H298,36.84,1619160884
221,LP,H298,36.56,1619161781
222,LP,H298,36.22,1619162679
223,LP,H298,36.42,1619163576
224,LP,H298,36.38,1619164474
225,LP,H298,36.36,1619165372
226,LP,H298,36.34,1619166269
227,LP,H298,36.64,1619167167
228,LP,H298,35.44,1619168064
229,LP,H298,35.64,1619168966
230,LP,H298,35.51,1619169868
231,LP,H298,36.26,1619170766
232,LP,H298,36.08,1619171664
233,LP,H298,36.38,1619172562
234,LP,H298,36.69,1619173460
235,LP,H298,36.48,1619174357
236,LP,H298,35.28,1619175256
237,LP,H298,34.86,1619176153
238,LP,H298,34.24,1619177059
239,LP,H298,34.27,1619177958
240,LP,H298,36.16,1619178863
241,LP,H298,35.85,1619179761
242,LP,H298,36.45,1619180659
243,LP,H298,35.81,1619181557
244,LP,H298,35.49,1619182455
245,LP,H298,35.38,1619183353
246,LP,H298,35.52,1619184252
247,LP,H298,36.36,1619185150
248,LP,H298,35.49,1619186048
249,LP,H298,36.56,1619186946
250,LP,H298,35.29,1619187843
251,LP,H298,35.99,1619188748
252,LP,H298,36.66,1619189647
253,LP,H298,36.38,1619190544
254,LP,H298,36.51,1619191442
255,LP,H298,36.42,1619192339
256,LP,H298,35.39,1619193237
257,LP,H298,35.73,1619194142
258,LP,H298,35.31,1619195044
259,LP,H298,35.49,1619195946
260,LP,H298,35.57,1619196851
261,LP,H298,35.43,1619197757
262,LP,H298,34.75,1619198654
263,LP,H298,35.3,1619199560
264,LP,H298,34.54,1619200457
265,LP,H298,34.25,1619201362
266,LP,H298,34.17,1619202267
267,LP,H298,33.49,1619203171
268,LP,H298,33.57,1619204074
269,LP,H298,33.38,1619204978
270,LP,H298,33.59,1619205881
271,LP,H298,34.1,1619206784
272,LP,H298,32.57,1619207688
273,LP,H298,32.84,1619208592
274,LP,H298,33.34,1619209496
275,LP,H298,33.53,1619210399
276,LP,H298,33.64,1619211303
277,LP,H298,33.97,1619212206
278,LP,H298,33.12,1619213109
279,LP,H298,33.78,1619214013
280,LP,H298,35.86,1619214915
281,LP,H298,36.67,1619215812
282,LP,H298,36.51,1619216710
283,LP,H298,36.27,1619217608
284,LP,H298,36.03,1619218506
285,LP,H298,35.22,1619219404
286,LP,H298,35.68,1619220303
287,LP,H298,35.85,1619221202
288,LP,H298,35.43,1619222100
289,LP,H298,35.63,1619222998
290,LP,H298,35.44,1619223896
291,LP,H298,34.86,1619224798
292,LP,H298,35.47,1619225700
293,LP,H298,35.36,1619226605
294,LP,H298,34.88,1619227503
295,LP,H298,36.59,1619228407
296,LP,H298,35.83,1619229305
297,LP,H298,35.06,1619230203
298,LP,H298,36.06,1619231108
299,LP,H298,35.85,1619232006
300,LP,H298,35.51,1619232905
301,LP,H298,36.21,1619233803
302,LP,H298,36.14,1619234701
303,LP,H298,35.08,1619235599
304,LP,H298,35.37,1619236497
305,LP,H298,35.79,1619237395
306,LP,H298,35.36,1619238293
307,LP,H298,36.83,1619239191
308,LP,H298,37.05,1619240088
309,LP,H298,37.07,1619240985
310,LP,H298,35.87,1619241883
311,LP,H298,35.54,1619242782
312,LP,H298,35.22,1619243688
313,LP,H298,36.32,1619244593
314,LP,H298,37.18,1619245490
315,LP,H298,35.37,1619246388
316,LP,H298,37,1619247286
317,LP,H298,36.53,1619248183
318,LP,H298,36.24,1619249080
319,LP,H298,36.1,1619249978
320,LP,H298,36.1,1619250876
321,LP,H298,36.32,1619251774
322,LP,H298,36.32,1619252672
323,LP,H298,36.14,1619253569
324,LP,H298,36.21,1619254467
325,LP,H298,36.19,1619255365
326,LP,H298,36.22,1619256263
327,LP,H298,36.25,1619257161
328,LP,H298,36.16,1619258058
329,LP,H298,37.15,1619258955
330,LP,H298,36.74,1619259856
331,LP,H298,36.01,1619260753
332,LP,H298,35.39,1619261651
333,LP,H298,36.03,1619262550
334,LP,H298,35.8,1619263448
335,LP,H298,34.7,1619264347
336,LP,H298,34.41,1619265253
337,LP,H298,34.35,1619266160
338,LP,H298,34.12,1619267066
339,LP,H298,33.9,1619267969
340,LP,H298,34.08,1619268871
341,LP,H298,33.56,1619269778
342,LP,H298,35.93,1619270681
343,LP,H298,36.34,1619271579
344,LP,H298,35.95,1619272477
345,LP,H298,36.48,1619273374
346,LP,H298,36.04,1619274272
347,LP,H298,36.74,1619275169
348,LP,H298,36.56,1619276067
349,LP,H298,36.42,1619276964
350,LP,H298,36.1,1619277862
351,LP,H298,35.59,1619278761
352,LP,H298,35.03,1619279659
353,LP,H298,34.61,1619280566
354,LP,H298,34.35,1619281472
355,LP,H298,36.41,1619282376
356,LP,H298,36.39,1619283274
357,LP,H298,36.16,1619284171
358,LP,H298,35.3,1619285070
359,LP,H298,35.22,1619285976
360,LP,H298,34.82,1619286881
361,LP,H298,34.84,1619287787
362,LP,H298,36.45,1619288692
363,LP,H298,36.41,1619289590
364,LP,H298,36.07,1619290487
365,LP,H298,36.91,1619291384
366,LP,H298,35.65,1619292283
367,LP,H298,36.52,1619293181
368,LP,H298,36.16,1619294078
369,LP,H298,35.47,1619294976
370,LP,H298,35.39,1619295874
371,LP,H298,35.74,1619296773
372,LP,H298,35.11,1619297671
373,LP,H298,36.02,1619298568
374,LP,H298,38.16,1619299465
375,LP,H298,37.89,1619300365
376,LP,H298,36.36,1619301265
377,LP,H298,37.15,1619302162
378,LP,H298,36.09,1619303062
379,LP,H298,35.77,1619303960
380,LP,H298,37.35,1619304857
381,LP,H298,37.35,1619305754
382,LP,H298,37.08,1619306654
383,LP,H298,36.39,1619307551
384,LP,H298,36.99,1619308448
385,LP,H298,35.68,1619309346
386,LP,H298,34.91,1619310244
387,LP,H298,36.98,1619311148
388,LP,H298,36.51,1619312045
389,LP,H298,35.66,1619312942
390,LP,H298,35.59,1619313841
391,LP,H298,35.66,1619314739
392,LP,H298,35.89,1619315636
393,LP,H298,37.48,1619316534
394,LP,H298,36.72,1619317434
395,LP,H298,37.46,1619318332
396,LP,H298,36.98,1619319232
397,LP,H298,36.74,1619320130
398,LP,H298,36.14,1619321027
399,LP,H298,36.92,1619321924
400,LP,H298,35.33,1619322821
401,LP,H298,37.36,1619323717
402,LP,H298,37.04,1619324614
403,LP,H298,36.53,1619325511
404,LP,H298,37.32,1619326411
405,LP,H298,36,1619327311
406,LP,H298,36.6,1619328211
407,LP,H298,36.62,1619329111
408,LP,H298,36.66,1619330011
409,LP,H298,36.63,1619330911
410,LP,H298,36.13,1619331811
411,LP,H298,36.54,1619332711
412,LP,H298,36.63,1619333611
413,LP,H298,36.3,1619334511
414,LP,H298,36.17,1619335411
415,LP,H298,35.87,1619336311
416,LP,H298,36.14,1619337211
417,LP,H298,35.77,1619338111
418,LP,H298,35.38,1619339011
419,LP,H298,35.07,1619339911
420,LP,H298,34.19,1619340811
421,LP,H298,33.71,1619341711
422,LP,H298,34.97,1619342611
423,LP,H298,36.16,1619343511
424,LP,H298,36.22,1619344411
425,LP,H298,36.73,1619345311
426,LP,H298,36.59,1619346211
427,LP,H298,36.59,1619347111
428,LP,H298,36.48,1619348011
429,LP,H298,36.24,1619348911
430,LP,H298,35.9,1619349811
431,LP,H298,34.38,1619350711
432,LP,H298,34.96,1619351611
433,LP,H298,35,1619352511
434,LP,H298,34.47,1619353411
435,LP,H298,34.17,1619354311
436,LP,H298,36.15,1619355211
437,LP,H298,36.37,1619356111
438,LP,H298,35.73,1619357011
439,LP,H298,35.49,1619357911
440,LP,H298,35.09,1619358811
441,LP,H298,34.46,1619359711
442,LP,H298,34.57,1619360611
443,LP,H298,34.78,1619361511
444,LP,H298,34.81,1619362411
445,LP,H298,34.94,1619363311
446,LP,H298,34.82,1619364211
447,LP,H298,36.12,1619365111
448,LP,H298,36.08,1619366011
449,LP,H298,35.62,1619366911
450,LP,H298,35.22,1619367811
451,LP,H298,36.46,1619368711
452,LP,H298,36.37,1619369611
453,LP,H298,36.41,1619370511
454,LP,H298,36.31,1619371411
455,LP,H298,36.21,1619372311
456,LP,H298,35.04,1619373211
457,LP,H298,34.98,1619374111
458,LP,H298,35.55,1619375011
459,LP,H298,35.35,1619375911
460,LP,H298,35.11,1619376811
461,LP,H298,35.34,1619377711
462,LP,H298,34.82,1619378611
463,LP,H298,34.62,1619379511
464,LP,H298,35,1619380411
465,LP,H298,35.79,1619381311
466,LP,H298,35.08,1619382211
467,LP,H298,35.29,1619383112
468,LP,H298,36.1,1619384012
469,LP,H298,35.29,1619384912
470,LP,H298,36.51,1619385812
471,LP,H298,37.22,1619386712
472,LP,H298,37.38,1619387612
473,LP,H298,37.69,1619388512
474,LP,H298,35.74,1619389412
475,LP,H298,37.1,1619390312
476,LP,H298,37.47,1619391212
477,LP,H298,34.98,1619392112
478,LP,H298,36.8,1619393012
479,LP,H298,36.67,1619393912
480,LP,H298,35.57,1619394812
481,LP,H298,36.3,1619395712
482,LP,H298,35.4,1619396612
483,LP,H298,35.33,1619397512
484,LP,H298,34.55,1619398412
485,LP,H298,37.38,1619399312
486,LP,H298,35.43,1619400212
487,LP,H298,37.08,1619401112
488,LP,H298,36.14,1619402012
489,LP,H298,36.03,1619402912
490,LP,H298,35.77,1619403812
491,LP,H298,35.44,1619404712
492,LP,H298,34.8,1619405612
493,LP,H298,34.9,1619406512
494,LP,H298,37.35,1619407412
495,LP,H298,36.25,1619408312
496,LP,H298,36.23,1619409212
497,LP,H298,36.71,1619410112
498,LP,H298,36.91,1619411012
499,LP,H298,36.78,1619411912
500,LP,H298,34.96,1619412812
501,LP,H298,36.63,1619413712
502,LP,H298,36.67,1619414612
503,LP,H298,36.46,1619415512
504,LP,H298,36.78,1619416412
505,LP,H298,36.73,1619417312
506,LP,H298,36.34,1619418212
507,LP,H298,36.44,1619419112
508,LP,H298,36.26,1619420012
509,LP,H298,36.18,1619420912
510,LP,H298,35.51,1619421812
511,LP,H298,36.78,1619422712
512,LP,H298,36.48,1619423612
513,LP,H298,35.71,1619424512
514,LP,H298,34.6,1619425412
515,LP,H298,34.22,1619426312
516,LP,H298,34.23,1619427212
517,LP,H298,34.42,1619428112
518,LP,H298,34.94,1619429012
519,LP,H298,35.68,1619429912
520,LP,H298,36.29,1619430812
521,LP,H298,36.21,1619431712
522,LP,H298,36.26,1619432612
523,LP,H298,36.88,1619433512
524,LP,H298,34.93,1619434412
525,LP,H298,36.78,1619435312
526,LP,H298,36.26,1619436212
527,LP,H298,36.64,1619437112
528,LP,H298,35.92,1619438012
529,LP,H298,35.98,1619438912
530,LP,H298,35.95,1619439812
531,LP,H298,36.85,1619440712
532,LP,H298,35.8,1619441610
533,LP,H298,35.63,1619442508
534,LP,H298,35.22,1619443407
535,LP,H298,35.04,1619444310
536,LP,H298,34.88,1619445214
537,LP,H298,35.33,1619446117
538,LP,H298,35.98,1619447019
539,LP,H298,36.12,1619447921
540,LP,H298,35.95,1619448819
541,LP,H298,35.7,1619449718
542,LP,H298,35.93,1619450617
543,LP,H298,35.71,1619451515
544,LP,H298,35.95,1619452414
545,LP,H298,36.59,1619453312
546,LP,H298,36.27,1619454210
547,LP,H298,36.33,1619455108
548,LP,H298,36.42,1619456006
549,LP,H298,36.24,1619456904
550,LP,H298,35.64,1619457802
551,LP,H298,36.1,1619458700
552,LP,H298,36.03,1619459598
553,LP,H298,35.83,1619460497
554,LP,H298,35.7,1619461395
555,LP,H298,35.57,1619462293
556,LP,H298,35.55,1619463192
557,LP,H298,35.08,1619464092
558,LP,H298,35.24,1619464997
559,LP,H298,35.4,1619465903
560,LP,H298,34.92,1619466801
561,LP,H298,35.3,1619467706
562,LP,H298,35.7,1619468612
563,LP,H298,36.36,1619469510
564,LP,H298,36.97,1619470408
565,LP,H298,37.37,1619471305
566,LP,H298,37.41,1619472202
567,LP,H298,36.93,1619473099
568,LP,H298,35.48,1619473997
569,LP,H298,37.32,1619474894
570,LP,H298,36.57,1619475791
571,LP,H298,36.82,1619476690
572,LP,H298,36.82,1619477588
