Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num Negative,Positive %,Area µm^2,Perimeter µm,Num 1+,H-score,Allred proportion,Allred intensity,Allred score,Num 2+,Num 3+
Image_25.vsi - 40x_04 #7,be8a5cf5-4c34-4cc8-b826-f4a602dc5e32,PathAnnotationObject,,Image,Polygon,414.55,508.99,1107,177,84.01,191996.3,2715,541,119.15,5,1,6,389,
Image_25.vsi - 40x_06 #11,a94c621f-373d-4c44-8a16-1d590f4553fd,PathAnnotationObject,,Image,Polygon,406.59,211.67,272,242,11.03,63680.7,1119.8,29,11.76,3,1,4,,1
Image_25_01.vsi - 40x_04 #7,1653b75a-690d-4242-88c3-1370cd52fc22,PathAnnotationObject,,Image,Geometry,470.09,484.39,1297,220,83.04,217247.8,2815.4,673,114.19,5,1,6,404,
Image_25_01.vsi - 40x_05 #9,f863aa94-5924-4d12-ba2e-bb18486b3ef4,PathAnnotationObject,,Image,Polygon,184.64,355.14,432,244,43.52,79481.8,1647.5,184,44.44,4,1,5,4,
Image_25_01.vsi - 40x_06 #11,67fe796e-ad61-4f96-b46c-67d366626132,PathAnnotationObject,,Image,Polygon,405.45,197.12,236,209,11.44,48677.4,1053.6,26,12.29,3,1,4,,1
Image_28.vsi - 40x_05 #9,b4fe60fb-e009-4b45-a94e-27f1af2ac90d,PathAnnotationObject,,Image,Geometry,842.88,422.5,837,367,56.15,232547.9,3000.9,395,65.11,4,1,5,75,
Image_28.vsi - 40x_07 #13,283c37d1-ac98-4fb7-822c-ded6d8ea31d3,PathAnnotationObject,,Image,Polygon,551.62,262.52,696,170,75.57,151898.5,2555.4,335,103.02,5,1,6,191,
Image_31.vsi - 40x_04 #7,49ae9c33-55a1-45c8-917e-bbf156ce57b9,PathAnnotationObject,,Image,Polygon,391.07,417.99,1463,309,78.88,268638.3,2429.4,492,124.13,5,1,6,662,
Image_31.vsi - 40x_05 #9,c7b87dcf-69aa-497a-8418-15b7da2341e8,PathAnnotationObject,,Image,Polygon,330.05,228.76,155,155,0,37219.9,1283.6,,,,,,,
Image_31.vsi - 40x_06 #11,7c53dc73-201e-4802-a981-8509e730aa91,PathAnnotationObject,,Image,Geometry,701.94,187.87,422,88,79.15,124350.5,2309.7,251,98.82,5,1,6,83,
Image_31.vsi - 40x_07 #13,61f64a12-badf-4b73-b4db-2e701d9ff90d,PathAnnotationObject,,Image,Polygon,834.28,639.91,1718,390,77.3,315939.5,3199.2,789,108.67,5,1,6,539,
Image_37.vsi - 40x_06 #11,81ab193c-8579-454d-8cd3-0451981831e2,PathAnnotationObject,,Image,Polygon,637.58,161.83,308,74,75.97,59869.7,1078.1,230,77.27,5,1,6,4,
Image_37.vsi - 40x_07 #13,4de96ef5-5020-4697-87c9-ef115e2faae6,PathAnnotationObject,,Image,Polygon,490.4,434.72,1033,367,64.47,184011.2,2126.1,666,64.47,4,1,5,,
Image_37.vsi - 40x_08 #15,d8725224-ab02-45a1-aab0-200000407ec4,PathAnnotationObject,,Image,Polygon,460.9,587.58,997,557,44.13,208878.6,2837,439,44.23,4,1,5,1,
