"","Name","Image","group","num_detections_mean","num1_mean","num2_mean","num3_mean","num_neg_mean","tot_num_pos_mean","num23_mean","fraq_pos_mean","area_mean","IBE_K","FOS_to_IBE_k_individual","trans_num_detections_mean","trans_tot_num_pos_mean","trans_num23_mean","trans_area_mean","ID","numFOSmm2"
"1","AVPE","Image_01.vsi","T40",39.6281724461635,4.65638238720224,9.16730624954687,6.40139050853497,37.7101336197795,12.1181249676735,11.1861429470269,3.04642378775235,853.650514204617,0.000207208854648656,1.59583470013172,NA,NA,NA,NA,NA,13103.8905979569
"2","AVPE","Image_02.vsi","IBE1",34.5942286230828,11.3539825278208,9.9757531767617,2.97606613580075,30.7726943594973,15.4908250086055,10.4422091490147,4.46150080982287,833.667941089539,0.000207208854648656,1.74737985774335,NA,NA,NA,NA,NA,12525.6215746614
"3","AVPE","Image_04.vsi","T40",37.9833907551822,3.89323529701984,8.73561707162872,7.11562017769691,36.0406816972175,11.9679361468142,11.3081756553157,3.14865875310886,834.312217747125,0.000207208854648656,1.7221140143473,NA,NA,NA,NA,NA,13553.8895568987
"4","AVPE","Image_05.vsi","IBE2",38.7899726314742,2.94720641765459,5.02220694014715,3.19484573528311,38.1921995118624,6.69810980712649,6.00837888587107,1.72646031113483,844.158213354718,0.000207208854648656,0.885534891148947,NA,NA,NA,NA,NA,7117.59808862552
"5","AVPE","Image_06.vsi","ENT",39.6655494236728,6.2263832895187,5.07517002889293,2.91421356237309,38.7318973769357,8.55120266155273,5.86111178672503,2.15315436500578,840.93065455281,0.000207208854648656,0.848004264003814,NA,NA,NA,NA,NA,6969.792045269
"6","AVPE","Image_07.vsi","A2",34.3371692783196,5.12732783752436,5.32932415452319,5.17494936472101,33.0615952366029,9.08732700303824,7.42864936268302,3.66970661851713,841.897286719588,0.000207208854648656,1.24016065895387,NA,NA,NA,NA,NA,8823.70032528361
"7","AVPE","Image_08.vsi","T40",41.9691538227301,5.05464504910959,9.0392771222788,5.85842150900551,40.2078608620045,11.9981453148552,10.8635675175194,2.85910912367001,830.573153421452,0.000207208854648656,1.50402846346892,NA,NA,NA,NA,NA,13079.6034915987
"8","AVPE","Image_09_01.vsi","IBE2",38.4165833504563,4.70506894337763,4.84226165994005,4.83990271760208,37.4432697192651,8.58950432929095,6.98574579534273,2.23272182958435,839.269959335937,0.000207208854648656,1.04564448703252,NA,NA,NA,NA,NA,8323.59804808232
"9","AVPE","Image_12.vsi","A2",34.7746045522011,4.09865567842914,4.09837883789267,2.29393976285479,34.2067080329725,6.24074119115002,4.70502985721234,1.792442295281,835.04037556113,0.000207208854648656,0.781959749323822,NA,NA,NA,NA,NA,5634.49384594207
"10","AVPE","Image_13.vsi","ENT",36.8513090054656,0.707106781186548,1.4142135623731,0.707106781186548,36.7718647584579,1.73205080756888,1.58113883008419,0.64730209330729,851.785487706128,0.000207208854648656,0.2430964061873,NA,NA,NA,NA,NA,1856.264109808
"11","AVPE","Image_14.vsi","IBE1",35.7111480737662,3.8528230492482,7.36494384928699,5.8253559628165,34.2095799666309,10.1918588055317,9.40552252307903,2.84584030814665,895.910737975305,0.000207208854648656,1.41875061636614,NA,NA,NA,NA,NA,10498.2808268766
"12","AVPE","Image_16.vsi","IBE2",39.2811718097844,4.96196038324419,3.35922907682119,5.3148490159924,38.2464701864781,8.05409255338946,6.33638500581157,2.10289337178904,838.243666580751,0.000207208854648656,0.92870659965848,NA,NA,NA,NA,NA,7559.12064526307
"13","AVPE","Image_17.vsi","IBE1",37.4177622300403,3.81069104886579,9.04827297036923,6.14086192658143,35.5168381915355,11.6114577071289,10.9567741151323,3.08112450833248,836.230284368086,0.000207208854648656,1.68993770413506,NA,NA,NA,NA,NA,13102.5798992822
"14","AVPE","Image_18.vsi","A1",33.0873873870682,4.82167959076703,4.36110586249534,5.93745382155815,31.8701570323725,8.83495726772295,7.3724903128964,3.77357335558505,840.041474565551,0.000207208854648656,1.28009645722158,NA,NA,NA,NA,NA,8776.34085472896
"15","AVPE","Image_19.vsi","A1",35.1686647024756,6.98437814598894,5.54619875511899,4.24905714938321,33.7486165204879,9.88255374908265,6.98802667269012,2.80537297048253,839.241906621758,0.000207208854648656,1.14262363439729,NA,NA,NA,NA,NA,8326.59405774834
"16","AVPE","Image_20.vsi","A1",38.1458491562197,7.64740174780813,5.28359800372802,5.56703991227202,36.5606388445906,10.8658272514054,7.71883403860312,4.02076732639478,835.733314710499,0.000207208854648656,1.16849912461731,NA,NA,NA,NA,NA,9236.00136878227
"17","AVPE","Image_22_01.vsi","IBE1",38.4732450578547,4.52979841512993,10.2439001641829,5.5058661585551,36.3737431613382,12.5243304453096,11.6580896198303,4.60130970080113,840.318066700615,0.000207208854648656,1.74026970406476,NA,NA,NA,NA,NA,13873.4249349227
"18","AVPE","Image_23.vsi","A2",36.9705481604068,5.4361783777229,4.46343798586754,3.36349363014796,36.1106197345883,7.8488636902757,5.63802402947175,2.10915001953518,837.587562486706,0.000207208854648656,0.878683563592823,NA,NA,NA,NA,NA,6731.26522167195
"19","AVPE","Image_25_01.vsi","A2",37.4112853198811,7.04346967811844,5.66042034362125,3.50624488575734,36.1185590426173,9.71308588412505,6.6652263944859,2.59643361218425,831.323374096151,0.000207208854648656,1.03427011115731,NA,NA,NA,NA,NA,8017.60975592993
"20","AVPE","Image_26.vsi","st64",39.753715866981,7.97539892903074,7.43230628457751,4.33274830812874,37.973129483769,11.7522502887823,8.61961085293149,2.95369960242273,834.687735750086,0.000207208854648656,1.25365370188872,NA,NA,NA,NA,NA,10326.7491347355
