Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_26.vsi - 40x_02 #3,6fd82a07-a9a7-416b-9582-c272aea8ae6e,OVLT,,Image,Geometry,562.24,1298.1,255,1,1,1,252,1.176,2.353,2,2,4,41127.6,1164.5
Image_26.vsi - 40x_02 #3,ed9eed6e-69e0-48cc-bb2b-9a309a7a1a63,AVPE,,Image,Polygon,835.07,1268.6,1602,60,58,28,1456,9.114,16.23,2,2,4,692455.1,4106.2
Image_26.vsi - 40x_02 #3,839dd739-accf-4cf4-93ce-5bc08c774c12,MnPO,,Image,Polygon,1665.7,1281.4,448,1,3,1,443,1.116,2.232,2,2,4,286308.7,2437.6
Image_26.vsi - 40x_02 #3,d14c9f0f-0c7e-4dea-b938-4b45f0aaed88,LPO,,Image,Rectangle,1568.4,311.92,912,13,13,2,884,3.07,4.934,2,1,3,607620.2,3195.7
Image_26.vsi - 40x_03 #5,c8c204a4-7b87-49ce-878a-609f6bc57dbc,OVLT,,Image,Polygon,2133.8,1661.4,332,4,2,1,325,2.108,3.313,2,1,3,91839,1569.1
Image_26.vsi - 40x_03 #5,b28a5dcb-2cfc-4d63-9a67-1805a526ef22,AVPE,,Image,Polygon,2019.3,1680.7,1646,78,59,18,1491,9.417,15.19,2,1,3,693825.1,4675.7
Image_26.vsi - 40x_03 #5,02e404ea-b0ec-4534-9003-2f4cd74d2d2f,MnPO,,Image,Polygon,1103.6,1654.7,612,16,14,1,581,5.065,7.68,2,1,3,296615.7,2520.6
Image_26.vsi - 40x_03 #5,eb1b1922-6a10-42b4-8777-8707a588c53c,LPO,,Image,Rectangle,933.39,2605.3,1135,38,16,7,1074,5.374,8.018,2,1,3,706249.1,3364.1
Image_27.vsi - 40x_02 #3,363af4b2-2b74-4375-a031-e5c6ec9cdc8c,OVLT,,Image,Polygon,575.64,1344,323,9,5,1,308,4.644,6.811,2,1,3,87480.8,1147.4
Image_27.vsi - 40x_02 #3,a1556c87-bebd-42de-aec1-4a02d8f4ee73,AVPE,,Image,Polygon,877.92,1270.9,1566,184,184,20,1178,24.78,39.08,3,1,4,706461.2,4008.4
Image_27.vsi - 40x_02 #3,f978717d-3aef-4599-bdfd-021c352c3d94,MnPO,,Image,Polygon,1794.7,1124.2,669,66,39,1,563,15.84,21.97,3,1,4,315276.9,2838.1
Image_27.vsi - 40x_02 #3,cab69d8a-9d63-4abc-a0d1-2956464ee066,LPO,,Image,Rectangle,2104.4,2175.2,1087,33,16,3,1035,4.784,6.808,2,1,3,601600.6,3106
Image_27.vsi - 40x_03 #5,abfa8bda-3eb6-40a3-9285-e33c63a64d05,AVPE,,Image,Polygon,2433.3,1892.6,1383,92,28,6,1257,9.111,12,2,1,3,702366.1,4387.9
Image_27.vsi - 40x_03 #5,8ffc60bc-4931-4d73-9aff-03992a928a14,MnPO,,Image,Polygon,1654.6,1834.7,427,27,5,0,395,7.494,8.665,2,1,3,203940.9,2235.6
Image_27.vsi - 40x_03 #5,44e1e936-522f-4738-b80d-e5b78887ab9f,LPO,,Image,Rectangle,1603.5,2864.8,849,87,7,1,754,11.19,12.25,3,1,4,599441.5,3097
Image_27.vsi - 40x_04 #7,2770b16b-d725-4149-a5b3-462dd4f9ca1b,AVPE,,Image,Polygon,774.08,1331.1,1575,198,126,21,1230,21.9,32.57,3,1,4,702366.4,4361.1
Image_27.vsi - 40x_04 #7,53e3c3be-7f27-4fb3-92a2-180cb36041a6,MnPO,,Image,Polygon,1659.3,1336.7,593,31,18,1,543,8.432,11.8,2,1,3,293082.5,2575.4
Image_27.vsi - 40x_04 #7,a1f2de32-1482-4bc8-940a-fd0d6c1d546e,LPO,,Image,Rectangle,1341.8,409.32,1056,103,50,1,902,14.58,19.51,3,1,4,605234.3,3120.1
