"","Name","ID","group","num_det_mean","num_neg_mean","num_pos_mean","fraq_pos_mean","area_mean","pos_th_mean","neg_th_mean"
"1","ARC","H028","T40",334.375,331.5,2.875,0.823625,88066.025,172.9361625,87893.4121
"2","ARC","H038","T40",245.25,244.75,0.5,0.24125,96918.225,125.44585,96791.019525
"3","ARC","H069","T40",374.9,372.3,2.6,0.67887,102904.19,561.65908,102342.31405
"4","ARC","H074","T40",382.5,380.833333333333,1.66666666666667,0.473066666666667,93814.4833333333,262.95245,93550.7656166667
"5","ARC","H211","IBE2",393,393,0,0,100153.5,13.7291,100138.8594
"6","ARC","H216","A1",397.666666666667,396.666666666667,1,0.2446,108383.833333333,91.0968,108286.2422
"7","ARC","H222","A1",421.333333333333,420.333333333333,1,0.229366666666667,105355.033333333,209.924066666667,105145.6719
"8","ARC","H224","IBE1",330,330,0,0,106532.666666667,78.3251333333333,106455.283866667
"9","ARC","H236","A2",306,305.571428571429,0.428571428571429,0.156271428571429,98300.2714285714,181.8021,98118.4933
"10","ARC","H241","ENT",245.333333333333,245.333333333333,0,0,111515.266666667,102.6047,111408.098966667
"11","ARC","H243","ENT",323.5,323,0.5,0.19085,98904.65,190.6029,98713.01955
"12","ARC","H245","IBE1",397.333333333333,397.333333333333,0,0,110599.933333333,26.4391666666667,110571.7031
"13","ARC","H248","A2",326.666666666667,325.166666666667,1.5,0.434633333333333,102908.95,547.9661,102357.447933333
"14","ARC","H254","ENT",367,367,0,0,104278.666666667,53.5548333333333,104224.585933333
"15","ARC","H263","A1",392.666666666667,392.333333333333,0.333333333333333,0.0966333333333333,97301.9333333333,218.426766666667,97081.388
"16","ARC","H264","IBE1",541,541,0,0,101539.85,18.40645,101523.165975
"17","ARC","H268","IBE1",504.666666666667,504.333333333333,0.333333333333333,0.0570666666666667,104613.3,211.109,104398.708333333
"18","ARC","H273","A2",366.333333333333,366,0.333333333333333,0.0854666666666667,97836.5666666667,105.203566666667,97729.5807333333
"19","ARC","H274","IBE2",271.333333333333,271.333333333333,0,0,109742.6,55.0217333333333,109690.3854
"20","ARC","H275","IBE2",535.6,535.6,0,0,153631.18,112.34656,153510.96562
"21","ARC","H276","A1",301,297.25,3.75,1.085525,102431.9,592.761625,101838
"22","ARC","H278","IBE1",404,403,1,0.2558,105989.45,115.4389,105873.81055
"23","ARC","H298","A1",341.75,340.25,1.5,0.512475,91617.275,51.451125,91566.046875
"24","ARC","H300","A2",524,524,0,0,101546.8,2.5561,101547.5781
"25","ARC","H301","IBE2",399.615384615385,399.384615384615,0.272727272727273,0.0703,95608.4307692308,51.6163153846154,95556.1562384615
